"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"c808ac2dd7407371d65d8c33d87542d8","2015","2014-12-16T00:58:27+00:00","1418691507","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","28.946","45.249","28.321","44.34","50.563","29.884","44.34","","","","","","","","27.872","29.052","45.249","27.223","44.34","44.34","","","","","","","Navy Active","","50.563","","71.179","","70.107","",
"c808ac2dd7407371d65d8c33d87542d8","2015","2014-12-16T00:58:27+00:00","1418691507","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","28.946","45.249","28.321","44.34","50.563","29.884","44.34","","","","","","","","1.074","0.832","","1.098","","","","","","","","","Navy Reserve","Navy","","","71.179","","1.072","",
"84e7b39c72cd0ae53778f0d2501c8489","2015","2014-12-16T00:58:37+00:00","1418691517","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","47.126","46.71","48.06","43.906","30.022","45.539","43.906","","","","","","","","47.068","45.482","46.653","48.001","43.849","43.849","","","","","","","Navy Active","","29.967","","40.807","","40.752","",
"84e7b39c72cd0ae53778f0d2501c8489","2015","2014-12-16T00:58:37+00:00","1418691517","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","47.126","46.71","48.06","43.906","30.022","45.539","43.906","","","","","","","","0.058","0.057","0.057","0.059","0.057","0.057","","","","","","","Navy Reserve","Navy","0.055","","40.807","","0.055","",
"7181782f412c7fecccfd54b054faf849","2015","2014-12-16T00:58:26+00:00","1418691506","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","162.958","139.743","203.053","89.23","","102.952","89.23","","","","","","","","162.958","102.952","139.743","80.966","89.23","89.23","4","2","3","2","2","2","Navy Active","","","","","","","",
"7181782f412c7fecccfd54b054faf849","2015","2014-12-16T00:58:26+00:00","1418691506","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","162.958","139.743","203.053","89.23","","102.952","89.23","","","","","","","","","","","122.087","","","","","","4","","","Navy Reserve","Navy","","","","","","",
"b3e2af8ef492ac99df4cbbeb32fb8056","2015","2014-12-16T00:58:30+00:00","1418691510","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","30.83","48.524","31.47","11.035","13.942","32.204","11.035","","","","","","","","21.816","32.204","48.524","22.269","11.035","11.035","","","","","","","Navy Active","","13.942","","31.05","","31.05","",
"b3e2af8ef492ac99df4cbbeb32fb8056","2015","2014-12-16T00:58:30+00:00","1418691510","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","30.83","48.524","31.47","11.035","13.942","32.204","11.035","","","","","","","","9.014","","","9.201","","","","","","","","","Navy Reserve","Navy","","","31.05","","","",
"e1d2ecdab8aea06fa30ece1da57f3e3e","2015","2014-12-16T00:58:30+00:00","1418691510","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","8.385","8.14","10.691","0.938","47.833","8.07","0.938","","","","","","","","7.885","6.864","7.103","10.18","0.469","0.469","","","","","","","Navy Active","","47.833","","3.137","","1.542","",
"e1d2ecdab8aea06fa30ece1da57f3e3e","2015","2014-12-16T00:58:30+00:00","1418691510","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","8.385","8.14","10.691","0.938","47.833","8.07","0.938","","","","","","","","0.5","1.206","1.037","0.511","0.469","0.469","","","","","","","Navy Reserve","Navy","","","3.137","","1.595","",
