"id","timestamp.meta.partial.fields","timestamp_iso8601.meta.partial.fields","fiscal_year.meta.partial.fields","source.meta.partial.fields","catalog.meta.partial.fields","data_type.meta.partial.fields","classification.meta.partial.fields","resource.meta.partial.fields","source_filename.meta.partial.fields","type.meta.partial.fields","value.ServiceAgencyName.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"f9d9c2506aa5475887dbb963dd8db3c6","1418676973","2014-12-15T20:56:13+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","Air Force","1","","5","1","0.000","0.000","0.000","5.678","7.3","3.428","0.000","5.678","0.000","Air National Guard","","","4","","0.000","0.000","0.000","3.679","0.000","1.917","0.000","3.679","0.000","","","","","","","","","","",
"88c01831374dc855a1f3a07a453549a5","1418676974","2014-12-15T20:56:14+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","","30","3","18","1556","0.000","0.000","0.000","9.227","2.548","79.353","0.000","108.817","99.59","Air Force Active","26","1","12","1552","0.000","0.000","0.000","8.552","1.265","39.87","0.000","108.142","99.59","1526","1526","","","","","","","","",
"88c01831374dc855a1f3a07a453549a5","1418676974","2014-12-15T20:56:14+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","Air Force","30","3","18","1556","0.000","0.000","0.000","9.227","2.548","79.353","0.000","108.817","99.59","Air National Guard","4","2","6","4","0.000","0.000","0.000","0.675","1.283","39.483","0.000","0.675","0.000","1526","","","","","","","","","",
"eeefd38d0594baa21d650924dc914081","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","","","2158","894","286","249.122","248.944","","","343.813","223.91","","95.624","95.624","Army Active","","527","33","286","249.122","248.944","","","126.424","9.659","","95.624","95.624","286","286","870","884","","","870","","884","",
"eeefd38d0594baa21d650924dc914081","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","","","2158","894","286","249.122","248.944","","","343.813","223.91","","95.624","95.624","Army National Guard","","752","641","","","","","","139.176","150.052","","","","286","","870","884","","","","","","",
"eeefd38d0594baa21d650924dc914081","1418676970","2014-12-15T20:56:10+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Army_PBAmended_2015.xml","2015","Army","","2158","894","286","249.122","248.944","","","343.813","223.91","","95.624","95.624","Army Reserve","","879","220","","","","","","78.213","64.199","","","","286","","870","884","","","","","","",
"2f9ecbca2781fdf6ed57f7a476638102","1418676971","2014-12-15T20:56:11+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","","","","","","","","","35.869","79.163","101.895","","83.709","47.84","Air Force Active","","","","","","","","29.153","34.258","66.491","","76.993","47.84","","","","","","","","","","",
"2f9ecbca2781fdf6ed57f7a476638102","1418676971","2014-12-15T20:56:11+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","","","","","","","","","35.869","79.163","101.895","","83.709","47.84","Air National Guard","","","","","","","","4.166","22.163","31.909","","4.166","","","","","","","","","","","",
"2f9ecbca2781fdf6ed57f7a476638102","1418676971","2014-12-15T20:56:11+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","Air Force","","","","","","","","35.869","79.163","101.895","","83.709","47.84","Air Force Reserve","","","","","","","","2.55","22.742","3.495","","2.55","","","","","","","","","","","",
"438e57ea8d241e227ecb716a0dc4a19e","1418676972","2014-12-15T20:56:12+00:00","2015","http://comptroller.defense.gov/budgetmaterials.aspx","dodbudget","record","public","procurement-amended","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","2015","","","","","","30.091","21.18","10.302","32.106","18.807","6.948","37.667","144.096","111.99","Air Force Active","","","","","30.091","21.18","10.302","32.106","15.382","6.948","37.667","144.096","111.99","","","","","","","","","","",
