"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-924a385103b1a45c07c934a3abcd3db82c1d450e","0.192","","0.163","0.168","0.168","","","","","","","","","Acceptance Testing","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-780bd14552ca6129869812c845f5ae0f4be9785a","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-6675a19833ac40597fae76707fa126c89571eec1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-9924b2d3d2cb70794a9d69c255d7c89f7156df2f","","","0.25","0.253","0.253","","","","","","","","","Product Improvement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-fdfd20b6d153489eee290482523c98e0bbdcfc71","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-6675a19833ac40597fae76707fa126c89571eec1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-c91a2fd7b5c15f80955893fc0a7f530794f84363","1.147","1.656","1.672","1.865","1.865","","","","","","","","","Production Engineering","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-49d3807da5c068032a0b94d713c44069c8af8fe8","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-6675a19833ac40597fae76707fa126c89571eec1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-94ddf8a0ce2296f15ec78d47f244859a2450f596","","0.235","","","","","","","","","","","","Study & Analysis","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-4776556a53da24ac026deb4b0ea4e817dd01cccd","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-6675a19833ac40597fae76707fa126c89571eec1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b80a53b12e3a3b17c1d7d3da95585cf2ce885f13","","0.842","0.873","0.621","0.621","","","","","","","","","Acceptance Testing","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-792dc719b7c99559403c8b13720e25abd48b8471","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-950696a643306d41481167ba7a1fb02693d2949a","","4.073","3.803","3.802","3.802","","","","","","","","","Product Improvement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-e59947883bcaeea2503b416530800ca49bc15a83","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-11011a8a9c39ecc5d21b15c2309b3d691bd49a2a","","3.121","3.251","","","","","","","","","","","Production Engineering","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-dbe038b6a1dc24b5e1ca55175c017922558f8f6c","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-f9be709a436bb2d7afd5f0206cda62dcd25e4306","","0.008","0.008","0.008","0.008","","","","","","","","","Quality Assurance","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-24158ce5fc96573039dac2e963fe1e6c75bf1eae","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-333798355620c9a0a0338d6f67a8f1786b8a56cd","","","10.432","19.291","19.291","","","","","","","","","Recapitalization","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-5ff81677267b7e6d691bd3558e8cf0a55a4807cf","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-aeec6694143823d2f2aad73fbb1b91e6b146213c","","","","1.202","1.202","","","","","","","","","Acceptance Testing","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-ded68c78ffd7268005764d9c48f7d0d5da82410f","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-caf63cdcb04015119dd789a653a904b900f26db6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-3805c178d5b13cb0806dd2e1f92f1f4d646272f8","","4.917","2.787","2.703","2.703","","","","","","","","","Product Improvement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-dc2d95dd5e7bcd9ffba9808b1cf0a9eaafcc6cfd","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-caf63cdcb04015119dd789a653a904b900f26db6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-f35f0df8a78e7e162313f9919817f77d18fdb55f","2591.626","2.363","2.847","1.276","1.276","","","","","","","","","Production Engineering","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-3c910a66f7925155286ef4739ca6ee24e63b42c1","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-caf63cdcb04015119dd789a653a904b900f26db6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-e0c81c75f27dc6d219ce992b106b54d47ce2a6b8","","0.01","0.01","0.009","0.009","","","","","","","","","Quality Assurance","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-30f5fc70c1183944294aee14f8c0214663ff90d6","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-caf63cdcb04015119dd789a653a904b900f26db6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-8e91ccb56bff5e4eae905c9e2e9808efb36c6803","","20.625","22.619","26.71","26.71","","","","","","","","","Recapitalization","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-13f826e2e90efe87be9521d36f71398006c16c3d","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-caf63cdcb04015119dd789a653a904b900f26db6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-1396267332853ca923aefea73ed784b036dd6486","","","","","0.234","0.234","","","","","","","","Acceptance Testing","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-a9b25280bc164501ea7057b30737eb7fbe3a6b18","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-5237ed800031885e47d601c5659a4d270f8b62d6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-036def9a2819c9f6c157bb93a1387711b9f5a2b8","565.934","","","","0.63","0.63","","","","","","","","Production Engineering","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-cada48ac32c803f233629e9c4c05dc6ec584b11a","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-5237ed800031885e47d601c5659a4d270f8b62d6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-39b77a9248337dbccf53088cbfcd56a018eaa98a","","","","","0.003","0.003","","","","","","","","Quality Assurance","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-27792bd400470fa1ff779a917eeeb54563ba7fb0","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-5237ed800031885e47d601c5659a4d270f8b62d6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-a74c69d74a229d3f5e984fc55a8c57dc9eab7a49","","","","","8.132","8.132","","","","","","","","Recapitalization","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-89b13656167e7be4d0d0a7119b5df407adf6b506","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-5237ed800031885e47d601c5659a4d270f8b62d6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-88c5ee2bbbb17e3160a6e0f6790b359cb3f01515","","","0.156","0.444","0.444","","","","","","","","","Acceptance Testing","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-607080e4ce24e900f900dbc73c8df33b2921db40","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-a21ced491b3b2a27b2aff8c196fe11eea90f22f2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-06b98287151b3b4df35b31ed57a1c48f363c57d2","","4.146","3.982","3.54","3.54","","","","","","","","","Production Engineering","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-2c65bd0e2a8212c6fcab5dfb4c5e86460e9aec79","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-a21ced491b3b2a27b2aff8c196fe11eea90f22f2"
