"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-203850983258a4e8dc5d76de48bb369b81577ac8-2-aaba4b0e28b002661b216579a3830a89bdf7a641","","","","","","","","","","","","","","Other","203850983258a4e8dc5d76de48bb369b81577ac8-2-ccafd28629cd375b5aac25857a2443b679716325","203850983258a4e8dc5d76de48bb369b81577ac8","root.record.ItemExhibitList.P5Item","203850983258a4e8dc5d76de48bb369b81577ac8-0-d24b0ea658c3d800bd27b9bdb5cf15061698377b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2097492f88539490da6b607a2504d195e4cdbf6e-0-b3f51fafa2327f339fd0eb5d9ba1953d13ab52c8","","","","","","","","","","","","","","","2097492f88539490da6b607a2504d195e4cdbf6e-0-8d31f95a227904d9af70deb19479137eb5ac1931","2097492f88539490da6b607a2504d195e4cdbf6e","root.record.ItemExhibitList.P5Item","2097492f88539490da6b607a2504d195e4cdbf6e-0-8769e5feccea2d1f9a91cc6b3cd5063ebc82d535"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-24db7556a12306abac46ad9496675023d20beaee-0-bcf66e19ff1a5127b82ce1f51855379ca46f2c61","","","","","","","","","","","","","","Suballocations","24db7556a12306abac46ad9496675023d20beaee-0-fac1c45565ea30876455e0c2d4752a9a84273166","24db7556a12306abac46ad9496675023d20beaee","root.record.ItemExhibitList.P5Item","24db7556a12306abac46ad9496675023d20beaee-1-a385b5d750ca7decddb23720200521024e700cbd"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-24db7556a12306abac46ad9496675023d20beaee-0-4458673191d5063dde01a02cae9b907287ced154","","","","","","","","","","","","","","New Mission Managers","24db7556a12306abac46ad9496675023d20beaee-0-c728a10110e29a883f03e618b666b9f3b056f6bb","24db7556a12306abac46ad9496675023d20beaee","root.record.ItemExhibitList.P5Item","24db7556a12306abac46ad9496675023d20beaee-3-a3c15fb7a104e4e60e41fb50365d48deed9bf394"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-24db7556a12306abac46ad9496675023d20beaee-1-e104c3cef2cc160078fa169c6dc7d33e6a5fecba","","","","","","","","","","","","","","Integration with other Programs of Record (PORs)","24db7556a12306abac46ad9496675023d20beaee-1-e90322e63bd5315d8979f59bf59bf40ad39308f9","24db7556a12306abac46ad9496675023d20beaee","root.record.ItemExhibitList.P5Item","24db7556a12306abac46ad9496675023d20beaee-3-a3c15fb7a104e4e60e41fb50365d48deed9bf394"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-24db7556a12306abac46ad9496675023d20beaee-2-29b81f62d410f8dc56e3d4cc2d48f21d8e3f58a7","","","","","","","","","","","","","","JCTD Procurement Projects","24db7556a12306abac46ad9496675023d20beaee-2-2ecd9a2a231012249a41944c593b76493a907c06","24db7556a12306abac46ad9496675023d20beaee","root.record.ItemExhibitList.P5Item","24db7556a12306abac46ad9496675023d20beaee-3-a3c15fb7a104e4e60e41fb50365d48deed9bf394"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be-0-54e56c9573eed01403408ad07dc72ec4e485fc9e","","","","","","","","","","","","","","","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be-0-d20207df36cd1830d8874f35aed26bf7fdf1056e","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be","root.record.ItemExhibitList.P5Item","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be-0-7a79f9381126648d2796ab92d1a9e4394229ac58"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-298d0cc155f41a762d53de68fd96713b4bb7ea33-0-59be01149560fcef0e38e42556d31e5998c04c63","","","","","","","","","","","","","","Management Headquarters","298d0cc155f41a762d53de68fd96713b4bb7ea33-0-821ecf508e3b1df85566ab19d2a089f51244d4c9","298d0cc155f41a762d53de68fd96713b4bb7ea33","root.record.ItemExhibitList.P5Item","298d0cc155f41a762d53de68fd96713b4bb7ea33-0-6d1b20109ca0c04d0a4f3aa9497f54ff35166f43"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2d801bf63135b2a104c59569e075559be5385d87-0-dadd9d984f87a834530d5b152e142278efe2afcc","","","","","","","","","","","","","","","2d801bf63135b2a104c59569e075559be5385d87-0-b6f52ade2c2af1b37e4427d366e7fe85e10753f2","2d801bf63135b2a104c59569e075559be5385d87","root.record.ItemExhibitList.P5Item","2d801bf63135b2a104c59569e075559be5385d87-0-f1ae11087f06b705eff786a3c029ffad467bbf7d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-8500b24662c25fd7044a31a4f14c52a4a9409e3a","","","","","","","","","","","","","","","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-9e11186595e7e19421329a12f9249abac67347c4","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74","root.record.ItemExhibitList.P5Item","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-1-4a1bbe82153c1ccd5e8122b96fc832921fbad1b7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-9d5f3d803dde712584bf784cc928ea13131d17fe","","","","","","","","","","","","","","","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-9a83d2ef418231f5744f68dc527472e65453031e","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74","root.record.ItemExhibitList.P5Item","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-2-379f43a2b576fb8a7c14350ca496c3f4a1ed1865"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-c1d3e1e293f96dcf0c8d400547aaec91cdae8804","","","","","","","","","","","","","","","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-435004f06ad2722032afa63a6868408756b4510d","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74","root.record.ItemExhibitList.P5Item","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-5-8d85f45bc8a9247c780d0d3e88efac1070097ba8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-301cf823497c2aac1bb87d7db94a71db00c4869f-0-956a1dca0ebf4bffbb11aaf615a1b7345023fdbe","","","","","","","","","","","","","","SUPPORT COST - FLEET","301cf823497c2aac1bb87d7db94a71db00c4869f-0-a7f0e5df6e196d2db3c9a576671ac282918b1906","301cf823497c2aac1bb87d7db94a71db00c4869f","root.record.ItemExhibitList.P5Item","301cf823497c2aac1bb87d7db94a71db00c4869f-0-4995d8008d54fe5c5cbc1e30a88d9d33ee0fa61b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-32fef85690e00049bb9267129dc9af5a44fe7cc4-0-17de96496087f9d61cf0e7b24d4825f3cfae9fc7","","","","","","","","","","","","","","","32fef85690e00049bb9267129dc9af5a44fe7cc4-0-09f304144eb8d7aa442854e19dd684f13861d40e","32fef85690e00049bb9267129dc9af5a44fe7cc4","root.record.ItemExhibitList.P5Item","32fef85690e00049bb9267129dc9af5a44fe7cc4-0-a03327bc57773e57d4b635c1cdb7f11ce8c50221"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3391e27bdd26f20f62f6748fc10ce7653c8db237-0-0d9978d0194d6b4c43edd4af5aed7d63f0c060b0","","","","","","","","","","","","","","","3391e27bdd26f20f62f6748fc10ce7653c8db237-0-82c5ab276fb1f446fe22d652471697a1214055c2","3391e27bdd26f20f62f6748fc10ce7653c8db237","root.record.ItemExhibitList.P5Item","3391e27bdd26f20f62f6748fc10ce7653c8db237-0-43343c45a1c1b8573f13fba4a156368190e04166"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-364fd7cd7eee624a3774b1f04899c07aac4b5971-0-6a89477e7e1e8ad8ebd84bddd974986730acb494","","","","","","","","","","","","","","","364fd7cd7eee624a3774b1f04899c07aac4b5971-0-b043e645bcfeb1f007a76414eb9b5ef06cd8666d","364fd7cd7eee624a3774b1f04899c07aac4b5971","root.record.ItemExhibitList.P5Item","364fd7cd7eee624a3774b1f04899c07aac4b5971-0-a31fc2c5cff0ac0bc5848ce77dd99a572c700f2f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-364fd7cd7eee624a3774b1f04899c07aac4b5971-0-c631ed221983efe8b9c03d350cedc98ce1456e34","","","","","","","","","","","","","","","364fd7cd7eee624a3774b1f04899c07aac4b5971-0-0e855bbce4b499acd53140ff34e9958c97dbf8f7","364fd7cd7eee624a3774b1f04899c07aac4b5971","root.record.ItemExhibitList.P5Item","364fd7cd7eee624a3774b1f04899c07aac4b5971-1-119982bf83e4b048da159fb2f4bfa908c9b63cdc"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-364fd7cd7eee624a3774b1f04899c07aac4b5971-0-0aa6801e4aef2560d2cd825f6c77f332101e2674","","","","","","","","","","","","","","","364fd7cd7eee624a3774b1f04899c07aac4b5971-0-f26e530f8739bb76c4205c0f4a93b05d002d2375","364fd7cd7eee624a3774b1f04899c07aac4b5971","root.record.ItemExhibitList.P5Item","364fd7cd7eee624a3774b1f04899c07aac4b5971-2-4f3a8ed7374753d7a014e9fb6f6fcb1c4805a0b3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-364fd7cd7eee624a3774b1f04899c07aac4b5971-0-a2242055314664b91de991dc19048aa81feed0c6","","","","","","","","","","","","","","","364fd7cd7eee624a3774b1f04899c07aac4b5971-0-3ddef5eae3b27cd0fd143f6b755a69395b7b2ed0","364fd7cd7eee624a3774b1f04899c07aac4b5971","root.record.ItemExhibitList.P5Item","364fd7cd7eee624a3774b1f04899c07aac4b5971-3-46d14623e6a10f3614c97230a3891cbe77d354fc"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-1ac30be9dc090758d66a5df2fa7d35f9daca9299","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-0161f53d99e022093203edb13747ada0b218ba73","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-c569b6342950f8fbbe4e62e76754d03a2633ab3d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-d0dfad307c0b18cdb27232b37acbbd8562d6c737","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-28b9227adc08afae249e00acbea6b1153730fe68","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-1-73662f085a10aacbe69faf1fe2514f47fdb0fda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-c24d811a0ef3d2fc8a18ad40f0c08dceb04afa95","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-04f311b6a8464d53c2747c35204f73e23fc90ce7","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-2-c4390c8f59f45ea932bb7ce9e7b5eefed394c4a5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-7e03abc9f4133fa160121d9a5693d08810a4b049","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-3caf73108b1818f49716f045feb97e49d2ccaa57","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-3-145ed686a439f7978357d63dee1b5971102c812c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-d1377dc019fb75975bf6320b8b5ae68500f9bf72","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-cfdafadf919f2abdbcd212b38552b40503cff2f2","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-4-947a0aa8fe1bffc8bdee42c3b94ab2bfa3e78fc5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-8f968d54ddb70e2391586c31377cf1a070edb7e1","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-d2ff029855a514648ea7167c27c35212a17de94b","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-5-2e772e2c5f28219f1f0f35681298e9efd8999642"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-6ddc3ccbe1c496f47f558fdc1fab1dd9b185ba3c","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-27c9b5c2bd97d91c60e9b4f857d32832fdb2a8cf","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-6-a5e95cfc8b9ef3e90651241b75a8cb5f534384d7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-0cea2f14e63b8222806a0bdb7890cf634a4dda91","","","","","","","","","","","","","","","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-0-4af5defaf218dfcd851aed88497ac6f1619d9f2a","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef","root.record.ItemExhibitList.P5Item","36d1b2a1e4ab5d3cdf0a468dcd94c5416e0ad7ef-7-f8eece1c8990e658a11d4f30bd03cc8c655be8c6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-38bb423fa18b6cd03cadf5c7c08665005b75ffc1-0-00d2514f9aab865e527521af67c559af8d3eefec","","","","","","","","","","","","","","","38bb423fa18b6cd03cadf5c7c08665005b75ffc1-0-fb6068c4fa9ece99b6b6dee187df2084f014d987","38bb423fa18b6cd03cadf5c7c08665005b75ffc1","root.record.ItemExhibitList.P5Item","38bb423fa18b6cd03cadf5c7c08665005b75ffc1-0-5ddba312416c3d6f5c58b9333a6895089f0e80d5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-38bb423fa18b6cd03cadf5c7c08665005b75ffc1-0-5c5202b883e6dc61022b94739ffb472973916c93","","","","","","","","","","","","","","","38bb423fa18b6cd03cadf5c7c08665005b75ffc1-0-ad710bea7cb26dc35ee3e8f9f68a934db69090ab","38bb423fa18b6cd03cadf5c7c08665005b75ffc1","root.record.ItemExhibitList.P5Item","38bb423fa18b6cd03cadf5c7c08665005b75ffc1-1-80cbe51cb0f4f773d89c5c6c64af11811a5ae553"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-38cc8193cb6ed1f57d201b47fc690c0e389ba3e4-0-6cc299f950cb94baabb12a5f50afdf711e770177","","","","","","","","","","","","","","","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4-0-b2f2c2f65a620f51ae894aefef963fdb603a89ef","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4","root.record.ItemExhibitList.P5Item","38cc8193cb6ed1f57d201b47fc690c0e389ba3e4-0-f912448e3bde7f458503d792dbe2121ea84bf096"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3ce7eb61d8faf12ab0acdeec614637cd28b56dcc-0-a335adc5df568af09f73f08f76ee67480c49a70f","","","","","","","","","","","","","","","3ce7eb61d8faf12ab0acdeec614637cd28b56dcc-0-5a3dd8faa5fd974431c0f3916480699ac02c4938","3ce7eb61d8faf12ab0acdeec614637cd28b56dcc","root.record.ItemExhibitList.P5Item","3ce7eb61d8faf12ab0acdeec614637cd28b56dcc-0-2aab038363ff80ba024c8f7507488c8f829d8d10"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3e158675794b037f7079bf9c873d98ffc14426cc-0-6bcf63977b55d4d73ed232a36312ea75d6569c69","","","","","","","","","","","","","","EF830 Procurement Support","3e158675794b037f7079bf9c873d98ffc14426cc-0-4dbb928c97e0296286f87dfdd1646f4c1e26936d","3e158675794b037f7079bf9c873d98ffc14426cc","root.record.ItemExhibitList.P5Item","3e158675794b037f7079bf9c873d98ffc14426cc-0-cfab384e36b17c9e8d091e84487c9567cc52af71"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3e158675794b037f7079bf9c873d98ffc14426cc-1-de84a2699f3b06000fc6714137e07f83361ba440","","","","","","","","","","","","","","EF860 Product Acceptance","3e158675794b037f7079bf9c873d98ffc14426cc-1-87f363c5df068dfbe644ac8526730354be562843","3e158675794b037f7079bf9c873d98ffc14426cc","root.record.ItemExhibitList.P5Item","3e158675794b037f7079bf9c873d98ffc14426cc-0-cfab384e36b17c9e8d091e84487c9567cc52af71"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3e158675794b037f7079bf9c873d98ffc14426cc-2-c86d02fe7c86e0a31e9dc23d83bb0e544e22f470","","","","","","","","","","","","","","EF950 Tool & Test Equipment","3e158675794b037f7079bf9c873d98ffc14426cc-2-e15c7c9a43304644b34a97fbe51a041587395eec","3e158675794b037f7079bf9c873d98ffc14426cc","root.record.ItemExhibitList.P5Item","3e158675794b037f7079bf9c873d98ffc14426cc-0-cfab384e36b17c9e8d091e84487c9567cc52af71"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3e158675794b037f7079bf9c873d98ffc14426cc-3-843f33f31c93f2aa76542e0e1d0df1e83ab836da","","","","","","","","","","","","","","EF974 ILS","3e158675794b037f7079bf9c873d98ffc14426cc-3-3be08e2e646a2f9fbfe4760ccf4617fe9f16b8c3","3e158675794b037f7079bf9c873d98ffc14426cc","root.record.ItemExhibitList.P5Item","3e158675794b037f7079bf9c873d98ffc14426cc-0-cfab384e36b17c9e8d091e84487c9567cc52af71"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3f2df16ae9db5f4f122b2250c345cd4973584589-0-9701d6475d30d8c68d033efa575c22485ffff308","","","","","","","","","","","","","","","3f2df16ae9db5f4f122b2250c345cd4973584589-0-ed027e936371403e1e5d1b49fb1277f1b8f33449","3f2df16ae9db5f4f122b2250c345cd4973584589","root.record.ItemExhibitList.P5Item","3f2df16ae9db5f4f122b2250c345cd4973584589-0-f4b5134af8296962df00f58b48bae07169d1ed19"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-e6e91207f23f8dd65b10893332713a6b4bba0631","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-611f584425ad59d6c8a2f211f9df967332eb0bea","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-0-4880e8f9dae7908f020020b4db965e62f64c4a27"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-60918f8ad942e579818fca0f81ea4199af1b9397","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-b98cd6df83ba113bafb3797972937778cbf2d6fe","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-1-daf46d4443312488f45e18242c442c8821f0d7ff"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-918e0672f7dbd842e22662eefa247d13a0c6effc","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-fc183454882e9d11fa6d844cfe117830743cd072","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-3-be810d29fd198f034d82d7f58c46ac4aad101cbd"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-d2a1e109eedcbb32602a9942ab8cb35116d45eef","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-58091d04a54659bd0d35599e8ff0ca1127d348b0","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-4-08c039d1ebd3ed9abd01382115821c8ebde34c18"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-3e567660888031a84cc5e08575f3092e041e8375","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-ef1a15464cb8b1a8a90896706e1f2134cd279d8c","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-5-e27e520f3082ce6c3bc578faa28a088eae11f60a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-775d7bafc4015787e5c382799cea9094cffcdfea","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-828c560d792964d03e6a306ac61fa888d4204086","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-6-6a126fdcae2d7ee66c0d3267d26fdee9c2b8e1ff"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-40d365317c2695995273930668a57d384a824c91-0-69064705c4112be5107079d6031c4fa3152cf1dc","","","","","","","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-018a4f7ba7edc6ab8e378db0abde2aa3aea0c2f9","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-7-ac277a5b0a8f0b4ed4a3f129dc1be2c39ba139b4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-4374119651b84f1e184574d1bf5845f146f77f87-0-f32b2a26ed4234487a961e5ad01d038b2b138d18","","","","","","","","","","","","","","","4374119651b84f1e184574d1bf5845f146f77f87-0-5fe808a7919b3c81bf7a659fedbe88c810d617b5","4374119651b84f1e184574d1bf5845f146f77f87","root.record.ItemExhibitList.P5Item","4374119651b84f1e184574d1bf5845f146f77f87-0-a4561e4a77c0823d6d6ccb68619ca504cd208572"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-ffc7dae42b101083ffecb081c2abf29005011033","","","","","","","","","","","","","","","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-a42f7bb01fccf5959fad1448ce845444c141cdca","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a","root.record.ItemExhibitList.P5Item","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-0cff2907f4f3fe388bd7b146d40de1e7358de4ce"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-44acf2341a685b0152bbd96443013ead3326a3d8-0-1af588732798cfb4e4cad7ad378aed382a602311","","","","","","","","","","","","","","","44acf2341a685b0152bbd96443013ead3326a3d8-0-1e0a7d656ecf3e57c3a2db954695b0e752b06218","44acf2341a685b0152bbd96443013ead3326a3d8","root.record.ItemExhibitList.P5Item","44acf2341a685b0152bbd96443013ead3326a3d8-0-023dc22c67d87f0bdae3d66aac6aa1e2a3be046c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-7195ab8ee108c194f67e0967b3cb426575f16d80","","","","","","","","","","","","","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-b66c652c343847eef73c105f3b862fe8c98d0a82","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-dce1d4236a24029776cd093970bf521f06229801"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-c24f2625f41f0fe40c4ddf93616ce84b38dac731","","","","","","","","","","","","","","","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-abd1b7015916d09b89a07b5724aeac61568d536a","48ed89541e261d9cb75ce9a922aa2ebc5b063b55","root.record.ItemExhibitList.P5Item","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-a2b09ad38b1293327b6cd1e44b34c43da5f2e624"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-49b5c709daad1a8741796ffa9d359a26e4c6ab28-0-df9c9fdc003d7d4d48c07ceffda3a380e933554a","","","","","","","","","","","","","","","49b5c709daad1a8741796ffa9d359a26e4c6ab28-0-7b65ca5b9e619fd67cb03d347f892e45a39679ba","49b5c709daad1a8741796ffa9d359a26e4c6ab28","root.record.ItemExhibitList.P5Item","49b5c709daad1a8741796ffa9d359a26e4c6ab28-0-e8299677cabc054d9e3fe5e507c0dc675719570e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-49b5c709daad1a8741796ffa9d359a26e4c6ab28-0-2fdea56c74cc1979e39273424b81edd60dcce314","","","","","","","","","","","","","","","49b5c709daad1a8741796ffa9d359a26e4c6ab28-0-b3b632d775f1395dd3ff0a009b73ace3042d090a","49b5c709daad1a8741796ffa9d359a26e4c6ab28","root.record.ItemExhibitList.P5Item","49b5c709daad1a8741796ffa9d359a26e4c6ab28-1-5951e982e031de6665c26f67a2a05827982ffcf7"
