"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","","","0.254","0.254","0.821","0.811","0.923","0.749","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-2-d4ab48df9eba4ff0d78c6bb3d26780c8693449bc","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-cdf509cba5bb2847c936fcd828b5fe26f6f0ea70"
"Army Active","12.456","","","","","","","","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-af2c48d9880724aba49d50d3c84e203ee34f5c2d","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-d5f4beefd3f053a4a0c79a2f2f09495f2fd724d6"
"Army Active","41.821","18.64","19.881","19.881","33.086","16.395","16.573","14.426","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-cc6aa71fe2f65c2a89e525a14a1cb17d45881f1b","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-12a9d2607ed0af726a40c7b4c118547cf5e7b672"
"Army National Guard","","13.556","22.596","22.596","24.499","11.923","12.052","3.995","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-dea2a14957e99c026ad046a33314daf01af6ed8b","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-12a9d2607ed0af726a40c7b4c118547cf5e7b672"
"Army Reserve","","1.694","2.825","2.825","3.062","1.49","1.506","0.499","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-2-1f600a78f6f1a00dbb3e03743c76de848e87e5fb","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-12a9d2607ed0af726a40c7b4c118547cf5e7b672"
"Army Active","1.806","14.878","8.685","8.685","4.826","4.558","","","","","","","","","","","","","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829-0-5ca070086fb6f53e23b2b8bff4747b35af26b508","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829","root.record.ItemExhibitList.P3AModificationItemGroup","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829-0-55ff57978f8ea35e9438ae5d6d9496b54f1bedad"
"Army National Guard","0.169","","","","","","","","","","","","","","","","","","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829-1-2470627475f44de0c3e7b15d31cfb5d282355c8b","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829","root.record.ItemExhibitList.P3AModificationItemGroup","2a2be11da1c3d296bcf4aa85ad4e7c11ea1e5829-0-55ff57978f8ea35e9438ae5d6d9496b54f1bedad"
"Air Force Active","","28.716","71.729","71.729","73.721","118.52","132.02","134.462","","","","","","","","","","","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-852293ba362f78a0b6013a32f9471dd700ec4bc3","2fe8f17cfcc08a710f1d7a66780241bcc70db238","root.record.ItemExhibitList.P3AModificationItemGroup","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-9025133fac6649219042a74b0f0101936418a466"
"Air Force Active","25.337","0.5","12.795","12.795","31.253","19.625","0.496","0.505","","","","","","","","","","","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-8bc865d88a19129f0efb6e952088a68737fd00e4","2fe8f17cfcc08a710f1d7a66780241bcc70db238","root.record.ItemExhibitList.P3AModificationItemGroup","2fe8f17cfcc08a710f1d7a66780241bcc70db238-1-5b25aba8702e6a0378ae24b03364910c702c8efd"
"Army Active","7.735","23.934","24.504","24.504","25.589","27.169","14.105","37.358","","","","","","","","","","","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-a943b86b2148d65bda97f43627e626ecdd1ba91e","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
