"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","16.801","2","2","4","","","","","","","","","","","","","","aeb5019273f703e37819eda3d0329f9c6e0b6a22-1-62c1b22a164a7061c64c0008824bf65af0b2cf03","aeb5019273f703e37819eda3d0329f9c6e0b6a22","root.record.ItemExhibitList.P3AModificationItemGroup","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-a870098324d37cc72e2b7a0ada40cb522efd8150"
"Air Force Active","28.5","64.325","78.41","78.41","112.762","13.081","14.901","20.749","","","","","","","","","","","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-0ade8ddc7eed624a358f3490cc10098bfc5d1b89","b2c26ce1e78ba44a52067554392835ac6c994ee5","root.record.ItemExhibitList.P3AModificationItemGroup","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-0797a2504a5c627ff171e56e0ea0e85ea633960b"
"Air National Guard","","","","","30.917","","5.472","","","","","","","","","","","","b2c26ce1e78ba44a52067554392835ac6c994ee5-1-0547d7f76dea85d3d97ce1d833694e738c27a5f5","b2c26ce1e78ba44a52067554392835ac6c994ee5","root.record.ItemExhibitList.P3AModificationItemGroup","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-0797a2504a5c627ff171e56e0ea0e85ea633960b"
"Army Active","59.955","149.449","64","219.456","27.067","15.843","19.156","17.866","155.456","9","14","9","23","196","404","749","22","345","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-cf39fc51e3e7041e1ae8d34374155c3a8ea25fd6","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-1fff6a77cbe7b1074a86358620e7148d41f1b839"
"Army National Guard","16.237","16.337","","","38.455","43.019","20.097","33.964","","125","104","13","7","15","","","146","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-1-15b23a5fcfe9f9c37e762dab8aca3e09b47264fc","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-1fff6a77cbe7b1074a86358620e7148d41f1b839"
"Army Reserve","6.981","40.207","","","38.454","48.019","25.095","12.176","","127","50","13","2","22","","","149","","c04b1032fd759fadd41cf9238cbdb30b557c8d63-2-1d4eec496f478d8a8ab8e4596ee7048634672795","c04b1032fd759fadd41cf9238cbdb30b557c8d63","root.record.ItemExhibitList.P3AModificationItemGroup","c04b1032fd759fadd41cf9238cbdb30b557c8d63-0-1fff6a77cbe7b1074a86358620e7148d41f1b839"
"Air Force Active","","","2.775","2.775","18.098","36.978","67.479","112.546","0","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-bde4d221aae2a189b4a6cc9118b14583d96e316a","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-fc0adc2a61778afc50512278d06d62fb3ee8264d"
"Air Force Active","","","6.925","6.925","5.298","1.163","","","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-52781932e815540671aae5eeb82881ee1ad50421","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-1-35dcd751deb4c309f16a1a243516ae0bb1b69a0a"
"Air Force Active","","3.2","6.447","6.447","6.117","4.148","5.36","8.525","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-20b5eb574c3eaace56f8272ad406b76d7f3a65c1","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-2-4dc0167ba92ac63be368f54097570d386a7a8aac"
"Air National Guard","","","","","","2.607","3.011","","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-1-ae8a0619f45f4158a22fe0385648783c9eefaad5","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-2-4dc0167ba92ac63be368f54097570d386a7a8aac"
"Air Force Active","","","1.757","1.757","71.193","154.695","30.627","42.84","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-ab26e79815651449a3d4412e31e6f25c0a17cf52","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-3-dd44bedd5bfade03a4dd936838937531e8b2dc25"
"Air National Guard","","","12.318","12.318","4.996","1.473","17.416","1.444","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-1-c811d15a44776f10bbaed6dc2cc33c3a0b8479ee","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-3-dd44bedd5bfade03a4dd936838937531e8b2dc25"
"Air Force Active","","","56.496","56.496","15.873","1.984","0.992","","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-4a60199eb386161fe6f9d22a90410d1e59ac6921","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup","c0aaa97b08909bc7881106bbccc837671dcb56a8-4-7fe9d2a50b13c9941b40b357b22b391edd543db5"
"Air Force Active","6.522","7.752","10.84","10.84","17.45","18.489","18.847","19.117","","","","","","","","","","","cbbf9b7977245b6974a4e764b864dc46d92969b6-0-319b4ba5ecb20467b94b45bfe6ede2b5cdcb295c","cbbf9b7977245b6974a4e764b864dc46d92969b6","root.record.ItemExhibitList.P3AModificationItemGroup","cbbf9b7977245b6974a4e764b864dc46d92969b6-0-96b848f5de8c82e89db930c13847a68b31451e1c"
"Army Active","116.892","68.54","74.38","74.38","53.365","7.613","8.215","","","","","","","","","","","","ce616e7355f5841c46febf0d7dffa47aaedac9c4-0-4f2215c213a9683ba8b176524f3936ebbf346419","ce616e7355f5841c46febf0d7dffa47aaedac9c4","root.record.ItemExhibitList.P3AModificationItemGroup","ce616e7355f5841c46febf0d7dffa47aaedac9c4-0-77db21369984e5957b2806bb0f6ad0c9741bfa97"
"Army Active","","13.515","6.95","24.45","5.595","7.232","5.851","8.927","17.5","","","","","","","","","","ce616e7355f5841c46febf0d7dffa47aaedac9c4-0-f1a8ffe5677ae1d8a8856594a693fb0c44b1dfc5","ce616e7355f5841c46febf0d7dffa47aaedac9c4","root.record.ItemExhibitList.P3AModificationItemGroup","ce616e7355f5841c46febf0d7dffa47aaedac9c4-1-a5b733a718fd1b7e6e5ffc50e9abbb8460cdcf73"
"Army Active","","13.67","13.197","17.097","3.279","21.138","4.418","5.982","3.9","","","","","","","","","","ce616e7355f5841c46febf0d7dffa47aaedac9c4-0-fd1e72e9a8913aefce5e201d2736bee04fac2deb","ce616e7355f5841c46febf0d7dffa47aaedac9c4","root.record.ItemExhibitList.P3AModificationItemGroup","ce616e7355f5841c46febf0d7dffa47aaedac9c4-2-746423f386e900f89a2ff7450ed1ce2733971e3d"
"Army Active","2.836","8.424","1.784","1.784","1.931","1.938","1.966","0.992","","","","","","","","","","","d43df2f49c2dffcf07ccf9c5dc827d0c8e7b1984-0-b5b7469dc282ee3e8e2c6d99b7013363393d281d","d43df2f49c2dffcf07ccf9c5dc827d0c8e7b1984","root.record.ItemExhibitList.P3AModificationItemGroup","d43df2f49c2dffcf07ccf9c5dc827d0c8e7b1984-0-54e666ccfb1fa6135d9dce6cd2cd29679bec41f3"
"Army Active","607.177","746.111","564.964","564.964","132.804","135.11","190.208","426.915","","8","14","4","20","27","22","22","6","","d583b39decd7c1f032d610a31e87a4e7ce36b8a4-0-150c9018327a27a0790b5e6703f5c548bffae50c","d583b39decd7c1f032d610a31e87a4e7ce36b8a4","root.record.ItemExhibitList.P3AModificationItemGroup","d583b39decd7c1f032d610a31e87a4e7ce36b8a4-0-4e3173c1c88e2805f904e8b5b0807060f80b8cd9"
"Army Reserve","151.445","","","","","","","","","","","","6","","","","","","d583b39decd7c1f032d610a31e87a4e7ce36b8a4-1-2afba0466659f7ccd7305c97034f35f5482650cc","d583b39decd7c1f032d610a31e87a4e7ce36b8a4","root.record.ItemExhibitList.P3AModificationItemGroup","d583b39decd7c1f032d610a31e87a4e7ce36b8a4-0-4e3173c1c88e2805f904e8b5b0807060f80b8cd9"
"Air Force Active","","12.616","10.589","10.589","12.543","2.559","14.166","5.404","","","","","","","","","","","d64915e329f53b0c79af7f63a57d457724538331-0-84bc5e405edd907d1b712db3f4e9e689526dd79c","d64915e329f53b0c79af7f63a57d457724538331","root.record.ItemExhibitList.P3AModificationItemGroup","d64915e329f53b0c79af7f63a57d457724538331-0-57ce793563977c0d15046912db47d05305d546af"
"Army Active","14.182","","","","","","","","","","","","","","","","","","d70878766715de85ad69ea99f5811aba91aa1473-0-61143f96cf18b90dbc569c97567bfc0f01353d95","d70878766715de85ad69ea99f5811aba91aa1473","root.record.ItemExhibitList.P3AModificationItemGroup","d70878766715de85ad69ea99f5811aba91aa1473-0-d46cbefff9c001fd38c24d3cca76c5d976d98708"
"Army Active","10.373","13.237","16.683","16.683","14.946","18.651","26.306","24.047","","80","68","38","51","35","44","44","50","","dd21c32789015fdb418f83aa0b00c348cf970861-0-9f8d9fca5772af04ea30c24209a064b79c531568","dd21c32789015fdb418f83aa0b00c348cf970861","root.record.ItemExhibitList.P3AModificationItemGroup","dd21c32789015fdb418f83aa0b00c348cf970861-0-4fa7b097ecd011d8d91bc1339dbaa195c075056e"
"Army National Guard","6.512","9.077","11.375","11.375","11.052","12.784","19.906","16.224","","54","46","26","32","24","30","30","33","","dd21c32789015fdb418f83aa0b00c348cf970861-1-64c7253d4ecf01d2b781f1f4fecb6ab13dc87561","dd21c32789015fdb418f83aa0b00c348cf970861","root.record.ItemExhibitList.P3AModificationItemGroup","dd21c32789015fdb418f83aa0b00c348cf970861-0-4fa7b097ecd011d8d91bc1339dbaa195c075056e"
"Army Active","","4.019","4.055","4.055","5.514","5.622","5.727","2.976","","","","","","","","","","","dd5430c00e71f991b6f75519c271e8ef62d2a14d-0-d7cc2626d057b6b35494ef6bbc32aff2df30eb99","dd5430c00e71f991b6f75519c271e8ef62d2a14d","root.record.ItemExhibitList.P3AModificationItemGroup","dd5430c00e71f991b6f75519c271e8ef62d2a14d-0-c4b2c5c200d7a36b072e471fea33b3160d6120a6"
"Army Active","","9.567","","","","83.539","135.112","149.601","","31","35","","","8","","","17","","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0-0-39c9b63ea6158229401170435d1eaffe5d20066f","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0","root.record.ItemExhibitList.P3AModificationItemGroup","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0-0-a3b6e8eb727cd8c4fc8cddf89cb90d346cf888b4"
"Army National Guard","","45.874","46.173","46.173","75.133","83.54","74.093","64.115","","17","15","36","","38","38","38","17","","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0-1-caf8d3b8d159b422cfdde8b600dfce191f7d0342","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0","root.record.ItemExhibitList.P3AModificationItemGroup","e56d6ad9f637b9cb6aab71957988c204bd4bb9c0-0-a3b6e8eb727cd8c4fc8cddf89cb90d346cf888b4"
"Army Active","59.7","63.108","43.356","43.356","80.886","83.842","70.121","78.477","","","","","","","","","","","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-0-42396b84917250b71f6ae0b90cf891dead520b0b","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332","root.record.ItemExhibitList.P3AModificationItemGroup","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-0-b3ce57e6713727be569a4e18821bf7492b0f3f31"
"Army National Guard","39.113","41.346","28.406","28.406","52.994","54.931","45.942","51.415","","","","","","","","","","","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-1-41ab2a46d42129d80a839766a516b9c88dc24349","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332","root.record.ItemExhibitList.P3AModificationItemGroup","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-0-b3ce57e6713727be569a4e18821bf7492b0f3f31"
"Army Reserve","4.117","4.353","2.99","2.99","5.578","5.782","4.835","5.413","","","","","","","","","","","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-2-b295b648994505e45f846b2258a0983a4ff1af6b","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332","root.record.ItemExhibitList.P3AModificationItemGroup","e6c13f315d8014d3e8f31c2ff1442ae01c3f2332-0-b3ce57e6713727be569a4e18821bf7492b0f3f31"
"Air Force Active","","","2.178","2.178","2.026","1.823","1.856","1.875","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-509cfd750d06b421f9f37f5642ba128550d53751","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-0d78e71d8fac7e62f225317efc3622910088dc43"
"Air Force Active","11.557","3.219","7.121","7.121","3.996","0","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-0d7ca4dcbecb0bd81b1ce6c3020f1979a267a230","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-1-74068414a29c27500941d1b95e56bc9551b108b0"
"Air National Guard","1.36","0","","","","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-1-1ff980c89021a71150705d7b810d6e04c50b5556","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-1-74068414a29c27500941d1b95e56bc9551b108b0"
"Air Force Reserve","0.51","0","","","","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-2-461ebc3f5ee80cb6d4f9a95b5c1eec2a871d9ddc","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-1-74068414a29c27500941d1b95e56bc9551b108b0"
"Air Force Active","","","0","3.8","","","","","3.8","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-f1a02f7ef9080186c8b84aa53470e4b113d29ba6","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-2-71896458a0b022a9b29168fdef8e348849966258"
"Air National Guard","","","0","0","","","","","0","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-1-709584ec07e67a265d84d60c1911cd268629bc87","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-2-71896458a0b022a9b29168fdef8e348849966258"
"Air Force Reserve","","","0","0","","","","","0","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-2-bf1a19bab6fcb50993bdb267ac9f7df94338dd44","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-2-71896458a0b022a9b29168fdef8e348849966258"
"Air Force Active","","","1.519","1.519","7.435","3.861","5.814","5.918","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-78b2adedcf408033f654ee8e28fd948e2414ef10","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-3-a23bde7c0e90e7eea02f4ef577a92fe50729f28e"
"Air Force Active","","49","18.943","18.943","","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-8df6d771f4f9e14976427d382435e429bd63065b","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-4-448d1562b4b5da6de1786d84fa7dcdc95762b966"
"Air Force Active","26.361","9.858","17.486","17.486","","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-cf6228248316dfac60b3ffeeade983ca424fbd27","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-5-9785089b6cad45dfb2143bb2273d16c8e07a3d8e"
"Air Force Active","","","4.69","4.69","0.6","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-e9d30f96564783f051445498d56b772bc2789c17","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-6-18a871d614da5ba561c848b8718d03cccd8e32c6"
"Air Force Active","","","0.75","0.75","8.763","9.102","8.148","8.294","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-652025cca41666ecdc6f64a30c55d3cc21251e90","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-7-243022beee8abfd2863f7d9524bda31392221397"
"Air Force Active","","","0.3","0.3","8.913","9.103","8.148","8.295","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-640244fcd0253ad40b42b8b2207ddb66e65fad12","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-8-fc91e77b0a6c33c742ca1bfa4fedc903b359ae14"
"Air Force Active","","","4.24","4.24","0.75","","","","","","","","","","","","","","eceb31f766ea429fac71a6bf1ae379423c84fdd9-0-6643b037fecfad351eaa94db8661ab34949bfe85","eceb31f766ea429fac71a6bf1ae379423c84fdd9","root.record.ItemExhibitList.P3AModificationItemGroup","eceb31f766ea429fac71a6bf1ae379423c84fdd9-9-c24bef151cd6e84ca5b60b72be9dafba6b85270f"
"Air Force Active","","","","23","","","","","23","","","","","","","","","","ee3e22ad81801e5285edd11faeb18d95e80dd59f-0-36ef27432cf8faad7d29ea2a771d4d53f85983bc","ee3e22ad81801e5285edd11faeb18d95e80dd59f","root.record.ItemExhibitList.P3AModificationItemGroup","ee3e22ad81801e5285edd11faeb18d95e80dd59f-0-5f8249b4fdcacb905bfd77ba2f45e66dc5fa77a1"
"Air Force Active","","0.293","16.846","17.646","19.436","31.131","15.178","16.033","0.8","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-d8bfc9c4b1d621b17d3f7f87f84bd78d5978caa2","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-0-54d67688efa0788f5dcd4e743c151440da0d0bc7"
"Air Force Active","","12.067","11.192","11.192","12.1","12.878","15.236","16.754","","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-f25203846a58746082c478b9e84c9bb57b3f2637","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-1-7132ff6c0eb725d0408c6a748edc538103474339"
"Air Force Active","","51.194","45.415","45.415","34.886","35.541","21.054","16.726","","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-88c4a9f4fcc2257986928ccf32b6326dde03d4d3","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-2-c5ffd5db4d2704746a3b6c26b740c22a916abbd1"
"Air Force Active","","24","23.388","23.388","29.168","15.39","9.295","15.948","","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-ac3f76fe932025f873d38a4c66a1abb429cbb609","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-3-074f14c35791036e0c39e3eebad839f735797129"
"Air Force Active","","7.6","18.057","18.057","7.682","","15.086","16.736","","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-a1a904cfb9e4420f1c07fab1fc2c0764a0fc25dd","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-4-dc7e22db6aed24262caeaa414fde78a7169f2c1b"
"Air Force Active","","23.655","18.16","18.16","25.615","34.937","23.77","16.043","","","","","","","","","","","ef72073763b43883b1b5c1d40a67584ee68651fc-0-e5819de920cb457406e21390f0482511447a1c24","ef72073763b43883b1b5c1d40a67584ee68651fc","root.record.ItemExhibitList.P3AModificationItemGroup","ef72073763b43883b1b5c1d40a67584ee68651fc-5-a851cc18cbc66aff37facae6fc8bc7f6c98795e7"
"Army Active","8.63","","27.625","27.625","","","","","","","","","","","","","","","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1-0-7badfa64b2b92a0febe198292e66b3286ecbd602","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1","root.record.ItemExhibitList.P3AModificationItemGroup","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1-0-07a9ebbba961f06fc4952f133150047c3c5e22f0"
"Army National Guard","","4.769","17.786","17.786","","","","","","","","","","","","","","","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1-1-e63b66aa5681f5bb12de705accc40c04cf2a9eb7","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1","root.record.ItemExhibitList.P3AModificationItemGroup","0378982dcd0b7d3330376bbdd07c9cdc6ff316f1-0-07a9ebbba961f06fc4952f133150047c3c5e22f0"
"Air Force Active","86.311","189.995","240.947","240.947","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-c1ffefc9b20bdf4f720827369dc496e01c2dbdae","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-3e4fbf1d65755a596ba3bd8702056215bef74762"
"Air Force Active","24.98","101.508","30.356","30.356","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-48d57bd8ca1ff3a4133def69bea8a234489b9dc4","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-6c177b1aebcd4e2d5b19e0d2416f7790c2fea20c"
"Air National Guard","46.912","8.783","87.104","87.104","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-6c3e4c348692c1e935e96b5d0d78d833cf5cef7b","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-6c177b1aebcd4e2d5b19e0d2416f7790c2fea20c"
"Air Force Active","4.097","21.17","15.771","15.771","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-36083a61328a58f9d79fcfbff07701f8873f60b5","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-2-a2150af514d51c4a3e4b87736d470f3558190168"
"Air Force Active","11.32","11.611","9.059","9.059","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-a5c61c1d0a9a2587be57fb638cb2ce19328b697f","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-3-fd2ee3652f03cdd7b353bda5ad7e01688f02ef94"
"Air National Guard","","0.615","","","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-1-8e87f035375288bbf35f5ed5a561db9f762967a6","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup","039c77147a4b50d0f39ff452dca8b99aae40cab9-3-fd2ee3652f03cdd7b353bda5ad7e01688f02ef94"
"Army Active","49.933","32.925","8.36","8.36","","","","","","","","","267","108","21","21","","","03fca1d18abfcc0c92e44af1045b2fec32c517d4-0-94b77a804974ce55b2add4226ba6a39ad3083ea4","03fca1d18abfcc0c92e44af1045b2fec32c517d4","root.record.ItemExhibitList.P3AModificationItemGroup","03fca1d18abfcc0c92e44af1045b2fec32c517d4-0-475b4dd97a167f3aa737233994b56d0ae557c236"
"Army National Guard","18.354","5.112","5.725","5.725","","","","","","","","","98","17","14","14","","","03fca1d18abfcc0c92e44af1045b2fec32c517d4-1-7f09b60048ec62bf683d6aba5478d0f0295ac0aa","03fca1d18abfcc0c92e44af1045b2fec32c517d4","root.record.ItemExhibitList.P3AModificationItemGroup","03fca1d18abfcc0c92e44af1045b2fec32c517d4-0-475b4dd97a167f3aa737233994b56d0ae557c236"
"Army Active","2.329","9.287","8.38","8.38","","","","","","","","","","","","","","","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e-0-9f19d477eb529d277d6e1d6849ec6e0a28d4d5b2","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e","root.record.ItemExhibitList.P3AModificationItemGroup","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e-0-799985ef1cbb5d595cabd46b53c83dcade5367dc"
"Army National Guard","0.032","2.284","2","2","","","","","","","","","","","","","","","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e-1-0365afb867f83fd1f270d4b54c11d856401f7d76","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e","root.record.ItemExhibitList.P3AModificationItemGroup","059665f54b9fb2a7acd93fbcd3afd07eed17ff6e-0-799985ef1cbb5d595cabd46b53c83dcade5367dc"
"Air Force Active","12.065","27.485","32.173","32.173","","","","","","","","","","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-ced565d861427360cc7178d3bea3bd00afd7c6fd","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-8da63b58dab72b4d9495b00b8691cdae8f0fc157"
