"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","QuantityPerAssembly_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Warhead","See End Item P-5A/NA","See End Item P-5A","19","19","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-0-c97a1341aac5b3322fa5e25c5f3b104d58cd5fda","19","6.92","6.965","0","27.902","","6.999","7.018","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-0-856bd8fe5ae24e26eb47eb5a1ecb0e4301029c71","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Launch Motor","See End Item P-5A/NA","See End Item P-5A","14","14","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-1-ea755685409be368fb323fef2203867dd2e8e2e7","14","0.905","0.905","0","3.62","","0.905","0.905","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-1-39fd96d2d9a52af342a79746c6e4e3d341086c2b","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Flight Motor","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-2-5816b30ec1c2d81482e14566045175bad94ea2a7","12","0.17","0.17","0","0.68","","0.17","0.17","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-2-4e4eea90951459acbea51cc604a5960337fd3fc8","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"2B Sensor","See End Item P-5A/NA","See End Item P-5A","18","18","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-3-abd655ee763698b27b86e870044af883c095e93d","18","8.533","8.533","0","34.132","","8.533","8.533","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-3-7348ac5ff826469da98c45fda9e47a0fb2cc1a52","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Gyro","See End Item P-5A/NA","See End Item P-5A","13","13","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-4-34b2e57290c49d4a21af7a8bf7b084dda0b6a1d3","13","1.548","1.548","0","6.192","","1.548","1.548","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-4-13fd141061a241642b82834209be4497634a4578","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Flight Motor Case Kit","See End Item P-5A/NA","See End Item P-5A","10","10","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-5-1d86d77307f5b240790c51e3d6eb3a9a98aef4d4","10","0.351","0.351","0","1.404","","0.351","0.351","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-5-cdd480a4cd0cd8eb78a2ab7d344bfe4c66b8fc82","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Control Surface Actuators","See End Item P-5A/NA","See End Item P-5A","13","13","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-6-ca92fc05ea7bf971bd309f9e776fb9128b92bece","13","0.916","0.916","0","3.664","","0.916","0.916","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-6-09a967f8e437af4a1b37236c825ff83c23a45f12","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Beacon Shutter Actuator","See End Item P-5A/NA","See End Item P-5A","11","11","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-7-561fdef8f49ee0d1223cc266e3ebe11c556411aa","11","0.543","0.543","0","2.172","","0.543","0.543","","","","0","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-7-ff577ebefbb8e41fb123cb43f98027d931891f44","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e","root","fd236e9df7cbfb0fc31e62ffb3af145f3de8178e-a4e0380907ac3cbdb01e7b1913e3e3ef7dd16dd9"
"Parts Obsolescence Study","","","","","","0","0","0","0","5","5","0","0","0","0","0","","0b8980caf4046a422e4c103a160b7ba165276f60-0-3d1b87416b0c497e85a6890775f2be34b18694ea","0b8980caf4046a422e4c103a160b7ba165276f60","root","0b8980caf4046a422e4c103a160b7ba165276f60-4ec3b5e3c4378dad2b2aa2e13259506026407d90"
"Advance Funding","","","","","","0","227.172","0","0","1081.205","380.438","0","0","0","227.119","246.476","","0b8980caf4046a422e4c103a160b7ba165276f60-1-3135416b0eb92da6f26207bc772afba852f4d5c4","0b8980caf4046a422e4c103a160b7ba165276f60","root","0b8980caf4046a422e4c103a160b7ba165276f60-4ec3b5e3c4378dad2b2aa2e13259506026407d90"
