"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.3.1) X1036 - PAR Tech Refresh - NonOrganic","","1","1","3","36","3","3","3","16","3","3","3","","2.87","2.369","7.2","86.873","7.2","7.2","7.2","38","7.49","7.2","7.344","","","","","","","","","","","","","","","","","","","","","","","","","","","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-0-2f51a3343e97ef8e22d9f019a17603942cd0a352","9f1b5274c7b67d45f4a9a64e6795ce189b56341b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-0-2416ae3f1cf71c5354076bcba06cd4596b039be6"
"1.3.2) Integrated Logistics Support - Organic","","","","","","","","","","","","","","0.764","0.509","0.241","2.684","0.12","0.12","0.24","0.000","0.306","0.203","0.301","","","","","","","","","","","","","","","","","","","","","","","","","","","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-1-c489df35d6b722ab215151c336e38b75ec7039f4","9f1b5274c7b67d45f4a9a64e6795ce189b56341b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-0-2416ae3f1cf71c5354076bcba06cd4596b039be6"
"1.3.3) Production Engineering - Organic","","","","","","","","","","","","","","0.241","0.23","0.873","4.9","0.69","0.69","0.767","0.000","0.719","0.688","0.692","","","","","","","","","","","","","","","","","","","","","","","","","","","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-2-25a99ec4d7591f16e94ee341673e925d58d6462f","9f1b5274c7b67d45f4a9a64e6795ce189b56341b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-0-2416ae3f1cf71c5354076bcba06cd4596b039be6"
"1.3.4) Quality Assurance - Organic","","","","","","","","","","","","","","","0.03","0.03","0.21","0.03","0.03","0.03","0.000","0.03","0.03","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-3-3b1d09cc46bc3824a27b54508b65b235c00135b9","9f1b5274c7b67d45f4a9a64e6795ce189b56341b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9f1b5274c7b67d45f4a9a64e6795ce189b56341b-0-2416ae3f1cf71c5354076bcba06cd4596b039be6"
"Nonrecurring","","0","0","","0","","","","","","","","","1.2","0.341","","1.541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b04ddc8065bee207591d328def67982d8ab7eabf-0-65f0b1dfff04f0dd4cd2f6f10eb78e9188715ae8","b04ddc8065bee207591d328def67982d8ab7eabf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b04ddc8065bee207591d328def67982d8ab7eabf-0-2b0882f2abf925d2251ba10c2516e099de729db0"
"Tooling","","","0","0","0","","","","","","","","","","12.974","1.799","14.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b04ddc8065bee207591d328def67982d8ab7eabf-0-43b668e0e83bd2b8194a0af31bf29038038e137a","b04ddc8065bee207591d328def67982d8ab7eabf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b04ddc8065bee207591d328def67982d8ab7eabf-1-352cdc162732a90ee7285412b932c4e0a02c62f4"
"1.1.1) AUR Installation Kits - Organic","Production engineering support consists of prime contractor support and government support.","","","500","500","","","","","","","","","","","55.55","55.55","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b62ac1131256ab91073695a9699404a6f1b74f85-0-7428489ba15989f6b86f2daee4a2eeb2d7730e49","b62ac1131256ab91073695a9699404a6f1b74f85","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b62ac1131256ab91073695a9699404a6f1b74f85-0-b1701fc014e45aa3fe95f4d9d0f0bba9b4a7e134"
"Engineering Change Orders","","0","","","0","","","","","","","","","7.2","","","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-0-2b92c0c159d59f8119e8eebd421542e4afdf5535","b6a0d3237720baad9c923830282651aae689cd4d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b6a0d3237720baad9c923830282651aae689cd4d-0-5087b450c152c5e59218f5859cae9c9933e8fb81"
"Non-Recurring Engineering","","0","0","0","0","0","0","0","","0","0","0","","10.7","1.177","12.029","42.109","4.575","4.575","7.709","","1.6","3.221","1.098","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-0-c6c4ab56a6af681b896c982f47bb5453b91547fe","b6a0d3237720baad9c923830282651aae689cd4d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b6a0d3237720baad9c923830282651aae689cd4d-3-c14c8ad59903ef7ba76d620bd98a79af87ce750c"
"NRE (A-Kit)","","0","","","0","","","","","","","","","2.495","","","2.495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-0-98ad9e7061abab57fb8b92378f3e68db2a4ce277","b6a0d3237720baad9c923830282651aae689cd4d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b6a0d3237720baad9c923830282651aae689cd4d-4-f6cad5b452d6583e75eb7bb178c95d8fd2f36d05"
"Equipment, Nonrecurring","","0","","","0","","","","","","","","","10.4","","","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-0-c278ca976f35eb2b85f6c58ac24f317904ecfee8","b6a0d3237720baad9c923830282651aae689cd4d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b6a0d3237720baad9c923830282651aae689cd4d-5-5aef1d83f69705c8bb1b30248cd2e8026dcfe034"
"Nonrecurring Engineering (NRE)","","0","0","0","0","","","","","","","","","47.761","4.919","14.15","66.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b725b0435294df54d5a44a9122033c987a40fa28-0-9d710094b9e73002f4ed5ce4e6033d6018f53e38","b725b0435294df54d5a44a9122033c987a40fa28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b725b0435294df54d5a44a9122033c987a40fa28-0-4a417504bcec2ec6b744f7ca770c8103fd1d0362"
"Non Recurring Engineering","","","","0","0","0","0","0","","0","0","0","","","","0.138","10.644","2.213","2.213","2.232","","1.677","2.283","2.101","","","","","","","","","","","","","","","","","","","","","","","","","","","b725b0435294df54d5a44a9122033c987a40fa28-0-8ca0c6de07532de74d19ba932a0f9ca5ae1ed859","b725b0435294df54d5a44a9122033c987a40fa28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b725b0435294df54d5a44a9122033c987a40fa28-3-f86b31bff0861ef668597c60f8e92168811b398a"
"Engineering/Technical Services","","0","0","0","0","0","0","0","","0","0","0","","5.382","0.642","0.705","10.361","0.711","0.711","0.72","","0.741","0.726","0.734","","","","","","","","","","","","","","","","","","","","","","","","","","","b725b0435294df54d5a44a9122033c987a40fa28-1-7a3c5b9e25e7d6957e21a59ca0c79798f048e3b9","b725b0435294df54d5a44a9122033c987a40fa28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b725b0435294df54d5a44a9122033c987a40fa28-3-f86b31bff0861ef668597c60f8e92168811b398a"
"Engineering","","","","","","","","","","","","","","0.000","9.13","6.139","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-0-c24db42d5b419a4d889c35b87b2fa68e3cab0135","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-8c78c52b961b8baadaebe9c3a2b443b9fab4c914"
"Technology Refresh/Insertion","","","","","","","","","","","","","","1.698","","1.374","62.112","4.195","4.195","","54.845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-0-d3f0dedcac51ed0c3a5afada628ce086d02569a0","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cd1faddd7d94ac5b14f3b9d6097b238bf361149a"
"System Integration Lab Kit","","","","","","","","","","","","","","6.879","1.923","0.756","44.308","6.018","6.018","","28.732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-1-6fa0927a8dc1ee75bf21ae7fd62b0efb923198b9","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cd1faddd7d94ac5b14f3b9d6097b238bf361149a"
"Support Equipment","","","","","","","","","","","","","","9.944","0.325","1.713","45.074","1.742","1.742","","31.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-2-7d4bcaa58ec9f79b563fe9c291f30dc9d9eac02f","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cd1faddd7d94ac5b14f3b9d6097b238bf361149a"
"Engineer Support","","0","","","0","","","0","","","","","","3.79","","","13.79","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-46e6adf64f0bcf5615bacb8af7ce2c51d5f56b61","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-0-d6aeeeafea0c46e5643640e21ff3fc72503cfa8d"
"Test","","0","","","0","","","","","","","","","0.272","","","0.272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-1-84a1fe77c752101d445f9dc76433c4cc55fee01e","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-0-d6aeeeafea0c46e5643640e21ff3fc72503cfa8d"
"Engineer Support","","0","","0","0","0","0","0","","","0","0","","3.102","","0.093","17.983","0.83","0.83","3.498","","","6.293","4.167","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-a4e15c53e18a5511345f3240045376c5c26df8d8","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-1-a47fc69f62754d368a933fe3935035b8076495d9"
"Test","","0","","0","0","","","0","","0","0","0","","1.787","","0.382","4.66","","","0.441","","0.35","0.5","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-1-89b862bbc8adf9b6da8966561f3e9bdf78a7979d","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-1-a47fc69f62754d368a933fe3935035b8076495d9"
"Engineer Support","","0","","","0","","","","","","","","","0.043","","","0.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-b19aedda0bc4cf225e52315aa5b2917123aa4757","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-2-995e90e9b48ba90d42b9d7d92e4b55e75bb2f1e1"
"Test","","0","","","0","","","","","","","","","0.136","","","0.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-1-c745186ecb334409b7b36e4087de7fa2d76d7702","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-2-995e90e9b48ba90d42b9d7d92e4b55e75bb2f1e1"
"Engineer Support","","0","0","","0","","","","","","","","","0.571","3.819","","4.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-f7727115a4be66676422704dc2bf4da2a62d1961","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-3-e3e208c2a2795270c2c43732dcd80df985a2f99a"
"Test","","0","","","0","","","","","","","","","0.189","","","0.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-1-709a6159334a09836a1d8ea27dfc576dd8d35c7b","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-3-e3e208c2a2795270c2c43732dcd80df985a2f99a"
"Engineering","","0","0","","0","","","","","","","","","0.545","0.093","","0.638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-b10dcc671db78e4f8a4830dc3c871131e9c67aad","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-4-c774c474be507b4278466e2b15529dd3a5a71013"
"Labor (Contractor)","","","","0","0","0","0","","","","","","","","","0.45","0.872","0.422","0.422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-90512dca38883b04867cf8cb2912f3ceff6b7a83","bb013aa87c6e217bf1570039586b8113cd06a098","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bb013aa87c6e217bf1570039586b8113cd06a098-9-0ef6bc5988819c45cf19956b745ba01ac00874e0"
"Other","","0","","","0","","","","","","","","","3087.666","","","3087.666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bceb47108bf84f8a5d9b4b39a52ad1192c418734-0-8359457edec628affee56207c2f0f1ab295d6233","bceb47108bf84f8a5d9b4b39a52ad1192c418734","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bceb47108bf84f8a5d9b4b39a52ad1192c418734-0-3a51ac20e54297330d433c4ca327045f0f52dd4d"
"Installation Kits","","0","","","0","","","","0","","","","","283.4","","","584.1","","","","300.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bceb47108bf84f8a5d9b4b39a52ad1192c418734-0-6fc7962ac19b71c56f941d747caa5820fa6ad127","bceb47108bf84f8a5d9b4b39a52ad1192c418734","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bceb47108bf84f8a5d9b4b39a52ad1192c418734-1-045fdd1aa314672116e2a6038f85c7fa008870ea"
"Low Profile CROWS Engineering Support","","","","0","0","","","","","","","","","","","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bceb47108bf84f8a5d9b4b39a52ad1192c418734-1-6a8d605595d482c54b63df5b96c51fc5ab4470aa","bceb47108bf84f8a5d9b4b39a52ad1192c418734","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bceb47108bf84f8a5d9b4b39a52ad1192c418734-1-045fdd1aa314672116e2a6038f85c7fa008870ea"
"Installation Kits","","821","","","821","","","","","","","","","526.8","","","526.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bceb47108bf84f8a5d9b4b39a52ad1192c418734-0-8e02c981cd21f4b51c8ed08590772acba7acb53d","bceb47108bf84f8a5d9b4b39a52ad1192c418734","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bceb47108bf84f8a5d9b4b39a52ad1192c418734-3-4a66111a979805ef1a4c54d2cc6200e775518022"
"Installation Kits","","2691","","","2691","","","","","","","","","930.3","","","930.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bceb47108bf84f8a5d9b4b39a52ad1192c418734-0-689e1291d7b5482d2114c487be00657f197e8d76","bceb47108bf84f8a5d9b4b39a52ad1192c418734","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bceb47108bf84f8a5d9b4b39a52ad1192c418734-5-8d7f337c9ab715e5210490daeb9e046d056b1494"
"2.1.1) Broadcast Keying Station (BKS) - NonOrganic","Production costs for Broadcast Keying Station (BKS) equipment vary due to unique site configuration and mix on Continental United Stats (CONUS) and OCONUS locations.  Cost and duration for BKS installations are greater than Broadcast Transmitter Station (BTS) due to complexity of the BKS system.   Install costs for BKS equipment vary due to unique site configuration and mix on Continental United Stats (CONUS) and OCONUS locations.  BKS Low Rate Initial Production (LRIP) units are more expensive to procure and install due to unique configuration of the receiving sites.     LBUCS Transmit equipment and cables will be installed in racks and must go through acceptance and integration testing prior to installation outbrief.","","","2","30","2","2","26","","","","","","","","1.062","6.708","1.062","1.062","4.584","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bdf0f053cfeecca1abd0c6efe97b5388377aee5c-0-4d1f0a641994c83125f582e002ebcf1a22c190af","bdf0f053cfeecca1abd0c6efe97b5388377aee5c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bdf0f053cfeecca1abd0c6efe97b5388377aee5c-0-ba7e6074eb987f627fd152b4686070f609d189fe"
"2.1.2) Broadcast Transmitter Station  (BTS) - NonOrganic","Production costs for Broadcast Transmitter Station (BTS) equipment vary due to unique site configuration and mix on Continental United States (CONUS) and Outside Continental United States (OCONUS) locations.  Install costs for BTS equipment vary due to unique site configuration and mix on CONUS and OCONUS locations.  LBUCS Transmit equipment and cables will be installed in racks and must go through acceptance and integration testing prior to installation outbrief.","","","4","26","","","22","","","","","","","","0.498","4.373","","","3.875","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bdf0f053cfeecca1abd0c6efe97b5388377aee5c-1-b4f90e4bcc0fa5cf01a884fcde4eb365d17a7f30","bdf0f053cfeecca1abd0c6efe97b5388377aee5c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bdf0f053cfeecca1abd0c6efe97b5388377aee5c-0-ba7e6074eb987f627fd152b4686070f609d189fe"
"1.2.1) Archived AKits/Non-Recurring - Organic","","22","","","22","","","","","","","","","6.458","","","6.458","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c290489a92a16b1dfb3db36f6ba3cc3cfeed0d5b-0-45fb97cd8f4d6ef6bcfa64944e8da2b923a63c05","c290489a92a16b1dfb3db36f6ba3cc3cfeed0d5b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c290489a92a16b1dfb3db36f6ba3cc3cfeed0d5b-0-121240a706e7c6be55f4d3d76c0ecc19b6685136"
"Aircft Integ-Nonrecurring","","","","0","0","0","0","","","","","","","","","1.293","4.021","2.728","2.728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-0-6e8416c494a684564f7a8017b470583b32d20be3","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-1-7af45aa3cc499f94e0d1e6160b165e1255ab9344"
"Aircraft Integration","","","","","0","","","0","","0","0","0","","","","","5.886","","","1","","1.886","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-0-0fad89132ea3727cb117ada39d86b7026378805f","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-2-25d9421836941c8192f632d57824ecf8fa5faaa6"
"ECPs -  Nonrecurring","","0","0","0","0","0","0","0","","0","0","0","","21","21","13.948","84.369","6.314","6.314","4.038","","8.202","1.848","8.019","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-0-e1236ffaef93b513ab05f91a83d282f658acf0a9","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-3-20dea3c1d09c25523f2018f03499caf01d69c716"
"NRE Aircraft Integration","","0","0","0","0","0","0","0","","0","0","0","","13.3","2.804","4.159","122.996","21.923","21.923","21.143","","21.827","20.442","17.398","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-0-614283d00379f23d8a100a4759b0cd90f952e533","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-4-3f45a50fae92538dc296c076c5f0242ee5e5622f"
"Test / Engineering","","","","","0","0","0","","","","","","","","","","0.778","0.778","0.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-0-7791e90b7031a13abe9296cbc6904d56ba3a42c1","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-5-a744f52e622bfb2aabea5229c64b811108c16108"
"SEPM","","","","","0","0","0","0","","0","0","0","","","","","23.593","4.717","4.717","4.588","","4.854","4.673","4.761","","","","","","","","","","","","","","","","","","","","","","","","","","","cd3b3ce34f0477c33490d56c4962c23335977468-1-1fafb3faca42b13f79fc2b6c39fd4886aa088d1d","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-5-a744f52e622bfb2aabea5229c64b811108c16108"
"Non Recurring Engineering","","","","0","0","0","0","0","","","","","","","","1","21.337","10.443","10.443","9.894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-feb56908be11928fe777d2e762b3b6fe2c6498f6","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-993444459bff470defae590df0d056e863377a4c"
"Work Station Architecture Upgrades","","","","0","0","","","","","","","","","","","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-d6464b510b57c4bba80f609f1cbc84f3b7ba7b30","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
"COMINT Diamond Back Upgrades","","","","0","0","","","","","","","","","","","1.1","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-89bc45dba15aeed5ca88489431d7442c7fbc0414","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
"RADAR (Phoenix Eye) Upgrades","","","","0","0","","","","","","","","","","","1.1","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-2-84fbe73f0d95d253e1842ce2db8935c7f965323c","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
"Communications Upgrades","","","","0","0","","","","","","","","","","","1.8","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-3-eb7a5787cd873a1be8113ae7b2adfe8bde6165ba","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
"Program Management","","","","0","0","","","","","","","","","","","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-4-023c6c31caf4644f49d1ff173314632498a3cffd","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
