"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"CV-22","f0a6a6e0714b28dae9f824c5215cda3c730a4c53-0-9684e4765a0b834ebf9a037ed0d93c764b6ea598","f0a6a6e0714b28dae9f824c5215cda3c730a4c53","root.record.ItemExhibitList.P3AModificationItemGroup","f0a6a6e0714b28dae9f824c5215cda3c730a4c53-0-c5e1aa6f382fdba063d56dd41b574363d4f3469b"
"RC-135S","f87080041e7e4540bf1123466499e3c6d74746a1-0-c9349c8acbf23bade00a190ea7ed57f2fa1af038","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-0-7570836947c4a68ffa16bf0535aa7bb1e5254d2e"
"TC-135W","f87080041e7e4540bf1123466499e3c6d74746a1-1-1434f5057f9c332ded6bd8469f991caebe5e02b9","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-0-7570836947c4a68ffa16bf0535aa7bb1e5254d2e"
"RC-135V","f87080041e7e4540bf1123466499e3c6d74746a1-0-bb312f8055fa9e8d499be90db09f35b5131a8d27","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-1-f3db3205ac17b1e0a4b93c00e6cb5094c1078355"
"RC-135W","f87080041e7e4540bf1123466499e3c6d74746a1-1-bd78e3c642d51acade5f27530dffb66733500779","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-1-f3db3205ac17b1e0a4b93c00e6cb5094c1078355"
"TC-135W","f87080041e7e4540bf1123466499e3c6d74746a1-2-31aa2b2426c7d179d4dbdc20905804300dbe204c","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-1-f3db3205ac17b1e0a4b93c00e6cb5094c1078355"
"RC-135U","f87080041e7e4540bf1123466499e3c6d74746a1-0-21b8077eae81b714d7e4ba0a696eb36bd49f205a","f87080041e7e4540bf1123466499e3c6d74746a1","root.record.ItemExhibitList.P3AModificationItemGroup","f87080041e7e4540bf1123466499e3c6d74746a1-2-6cc93d39fbbaac0e76b80b4fba2144cb65351f9c"
"F-16","f873276ac3796e765ca0a1a688b36aa5414e1180-0-a62c5f409bd1e8654b23ecb0fe25bcaeab0529ee","f873276ac3796e765ca0a1a688b36aa5414e1180","root.record.ItemExhibitList.P3AModificationItemGroup","f873276ac3796e765ca0a1a688b36aa5414e1180-0-f5a9faf8ab957eeb26a47aecc2385a22de617535"
"Spacelift Range System Space","f8f13986cf29e77a7f328010280ff728761bd870-0-9f06c72516568ee7861347bf7c7c10099d8fa25c","f8f13986cf29e77a7f328010280ff728761bd870","root.record.ItemExhibitList.P3AModificationItemGroup","f8f13986cf29e77a7f328010280ff728761bd870-0-e5a26d2ac31bff1b8c687ddb2be57377788c01d4"
"Spacelift Range System Space","f8f13986cf29e77a7f328010280ff728761bd870-0-4b04374bac01816a4c5faed235763faa037ce83d","f8f13986cf29e77a7f328010280ff728761bd870","root.record.ItemExhibitList.P3AModificationItemGroup","f8f13986cf29e77a7f328010280ff728761bd870-1-625554d9e38928b7684b1e86083f8ace9fb4dbd4"
