"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0603827A","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4-0-93165c3cfb347957a8a8c1350c5241bbe147c91a","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4","root","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4-d967d88ef32e79c6cee981105e5db2e5ba4b3acd"
"0604601A","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4-1-b127c29e53559ae62d66adf1d293901a4bfb6a22","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4","root","ac2d360a5c998f8fce70bf354e7c5a31f7a5ace4-d967d88ef32e79c6cee981105e5db2e5ba4b3acd"
"1160483BB","ac791c04a24f809a525c81d3ad031284eecda84d-0-62cef55fe2bc4ed62f6a1751c3234c7103257a9e","ac791c04a24f809a525c81d3ad031284eecda84d","root","ac791c04a24f809a525c81d3ad031284eecda84d-6670df48b8c9528dff2e3c2aa709045b8cbdde35"
"0604633A","ad9df33d0270d8b9823850793709512ea6d05b11-0-241cc6cecf5fef903b08b18d152e30a77d32acb7","ad9df33d0270d8b9823850793709512ea6d05b11","root","ad9df33d0270d8b9823850793709512ea6d05b11-ce38698b3c2a9dadfae91366e5bdaeadd581672e"
"0401318F","adb2b3f3703bf00ad87444e6ac928198461bd808-0-d54b5ad7888cbb0e10c6d570df32f9261a83dba7","adb2b3f3703bf00ad87444e6ac928198461bd808","root","adb2b3f3703bf00ad87444e6ac928198461bd808-f35f5c4d0e6449ba94a63e0be3c9057c147eb30c"
"0206313M","ae237060867bb845de2fc5f139cf47f1212dfe7b-0-2505e42e596996906f349a30dfbcdb8ab7bada7b","ae237060867bb845de2fc5f139cf47f1212dfe7b","root","ae237060867bb845de2fc5f139cf47f1212dfe7b-396d0c4475574a7ef6af9f5b39afa2c0f9ce8a16"
"0206623M","ae237060867bb845de2fc5f139cf47f1212dfe7b-1-f404da2869b6ffbbdc369ff588e5e12ba57631cb","ae237060867bb845de2fc5f139cf47f1212dfe7b","root","ae237060867bb845de2fc5f139cf47f1212dfe7b-396d0c4475574a7ef6af9f5b39afa2c0f9ce8a16"
"0206624M","ae237060867bb845de2fc5f139cf47f1212dfe7b-2-cac1f0fe64e81f88b07243ea3e49b4833a9ab81e","ae237060867bb845de2fc5f139cf47f1212dfe7b","root","ae237060867bb845de2fc5f139cf47f1212dfe7b-396d0c4475574a7ef6af9f5b39afa2c0f9ce8a16"
"0303150M","ae237060867bb845de2fc5f139cf47f1212dfe7b-3-6e0e65971ab89c4475b582b452ccb5d6a0b6eb7c","ae237060867bb845de2fc5f139cf47f1212dfe7b","root","ae237060867bb845de2fc5f139cf47f1212dfe7b-396d0c4475574a7ef6af9f5b39afa2c0f9ce8a16"
"0604766M","ae237060867bb845de2fc5f139cf47f1212dfe7b-4-8113134441f7c5fa372f4bfd228c663b1acb0f36","ae237060867bb845de2fc5f139cf47f1212dfe7b","root","ae237060867bb845de2fc5f139cf47f1212dfe7b-396d0c4475574a7ef6af9f5b39afa2c0f9ce8a16"
"0207581F","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-fe04f7ed941f8b8681a8777993526dde37efb2eb","aeb5019273f703e37819eda3d0329f9c6e0b6a22","root","aeb5019273f703e37819eda3d0329f9c6e0b6a22-95f9ae75857e89dd36f0108511047cdf060137b2"
"0604741A","b1d9c5c0eaf7e57bb6d66effb8ec7b3f08a59ef5-0-4fc1166cb094f60f490b6405d97c238c2dd2ad5a","b1d9c5c0eaf7e57bb6d66effb8ec7b3f08a59ef5","root","b1d9c5c0eaf7e57bb6d66effb8ec7b3f08a59ef5-6f5929e50bc7b6b19ca718ee9c5abf3fef18e2d2"
"0207161F","b27c573da9b679beb8bceaa03d9ee6a7be119018-0-9b2b724c3448084e938aaa8dac9023ba6738ad7e","b27c573da9b679beb8bceaa03d9ee6a7be119018","root","b27c573da9b679beb8bceaa03d9ee6a7be119018-a27cb1beb070f199f0cff53cbbb1c28b147c57ee"
"0605213F","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-0823371556030dd57e974f799aed7976e6577625","b2c26ce1e78ba44a52067554392835ac6c994ee5","root","b2c26ce1e78ba44a52067554392835ac6c994ee5-56f93724fc8c2d1c33d6463ba6aed9f5020e4155"
"0401314F","b2d32e98c9c1b130796bf93879c3ae83999db17a-0-6ede40b09d4f2e3c618d35fbbbd3513c6493a1e5","b2d32e98c9c1b130796bf93879c3ae83999db17a","root","b2d32e98c9c1b130796bf93879c3ae83999db17a-406b8212fb9b573cb65248c2ccf10af2c39bbf5c"
"0303601F","b67a23c537b497f01d25e2424f724e4a255a74fb-0-032ec5bd67a13b06de0b7d8edea50edf31fcc899","b67a23c537b497f01d25e2424f724e4a255a74fb","root","b67a23c537b497f01d25e2424f724e4a255a74fb-c16ccb07a739e55158c9788525e03e110dffd1c0"
"0206624M","b9efbdd5c148a94c662bd6c415af0a857734c565-0-74002a38f585eed79a699f9aef9eb5943093067f","b9efbdd5c148a94c662bd6c415af0a857734c565","root","b9efbdd5c148a94c662bd6c415af0a857734c565-b0cce0954e64690f618d7dfc36159e3ad0e1393f"
"0605212N","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-0-01f60b2c0bd8fb696d9faf6553036647fb799357","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66","root","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-45fcc72df8884ad826ea4716f44e388e533d8029"
"0206313M","bb854373ac8068fefda02c9d494f0c5f5252c1b6-0-fe19a1309c6b2d2c267c5b4ca37c9604140b8dbb","bb854373ac8068fefda02c9d494f0c5f5252c1b6","root","bb854373ac8068fefda02c9d494f0c5f5252c1b6-601dfe26586f0f307d589d82ca243870102dee4f"
"0206623M","bdbcef24e605b3c9e6220c65ccbb67554a3c8e4c-0-b73c4717d64f0c4116a1c269fc939bf2b3f2b5f4","bdbcef24e605b3c9e6220c65ccbb67554a3c8e4c","root","bdbcef24e605b3c9e6220c65ccbb67554a3c8e4c-2042d25f2b8e5f81130fa29a537930e5882f1db0"
"0603635M","bf0ebea0d08eda320558e0523f2b32800bb0affd-0-2b86c626e0640a262f1b33eb605c30266c9c8f57","bf0ebea0d08eda320558e0523f2b32800bb0affd","root","bf0ebea0d08eda320558e0523f2b32800bb0affd-5bdd3709911035663a7acc50e95894865e7a52a1"
"0401219F","bf452640153051aecc4178a485ef1e858439dac3-0-c0b661011a2721e23ced3c33557b78d04ff4dffd","bf452640153051aecc4178a485ef1e858439dac3","root","bf452640153051aecc4178a485ef1e858439dac3-c789da6d46560c0a0ada532f82d103a7423077a3"
"0401897F","bf452640153051aecc4178a485ef1e858439dac3-1-8fc08f0f7f472fb96c4dddcd3c7499b02b4cd624","bf452640153051aecc4178a485ef1e858439dac3","root","bf452640153051aecc4178a485ef1e858439dac3-c789da6d46560c0a0ada532f82d103a7423077a3"
"0207133F","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-1d21ac1f6a69a40e860c6460647418d4b6b0c76b","c0aaa97b08909bc7881106bbccc837671dcb56a8","root","c0aaa97b08909bc7881106bbccc837671dcb56a8-80eb7780da5e1abdd2461d889fd7adaa3d67b423"
"0207445F","c0aaa97b08909bc7881106bbccc837671dcb56a8-1-30f238e311f1626a8f73b79a512f716630a8179d","c0aaa97b08909bc7881106bbccc837671dcb56a8","root","c0aaa97b08909bc7881106bbccc837671dcb56a8-80eb7780da5e1abdd2461d889fd7adaa3d67b423"
"0603654N","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-0-a1ad764bcb9a58c32d648cfccff30a4e767dc6d6","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-a98a24e725bd20bbdc19a1bce24f907a2adcb117"
"0604654N","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-1-22d57f731867dddd7315fab03a6702833964fe15","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-a98a24e725bd20bbdc19a1bce24f907a2adcb117"
"0604653N","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-2-382f6896f048e0fae169bd2164e25d414b712374","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb","root","c118cddc493380ed8e9cc31c5a8ab6f967eb27bb-a98a24e725bd20bbdc19a1bce24f907a2adcb117"
"0207136F","c19df1f3fffa1977f2ab0fda353c97000e1733b8-0-ef9caae86472dca9c946c782be031470d996771d","c19df1f3fffa1977f2ab0fda353c97000e1733b8","root","c19df1f3fffa1977f2ab0fda353c97000e1733b8-55ca38874bfe9f2e4a2cf1f63e8795f96ca799c4"
"0204146N","c1f9dd87793e9ec1b75e045685091b2588f96be6-0-877c7c91a7a433402b97acbebb9be8518476e002","c1f9dd87793e9ec1b75e045685091b2588f96be6","root","c1f9dd87793e9ec1b75e045685091b2588f96be6-0b5787bc31e71d49745bb165204d19b800d8cd1f"
"0207142F","c1f9dd87793e9ec1b75e045685091b2588f96be6-1-f790b71bdacc2f7f957a9902a2e942285c935d49","c1f9dd87793e9ec1b75e045685091b2588f96be6","root","c1f9dd87793e9ec1b75e045685091b2588f96be6-0b5787bc31e71d49745bb165204d19b800d8cd1f"
"0305219F","c387f0c780b67361d45cba291054bdfea852e469-0-99744cf9820ce1a367b6bc96b976184f16e2764e","c387f0c780b67361d45cba291054bdfea852e469","root","c387f0c780b67361d45cba291054bdfea852e469-aeefb6a9cd1e2924031d06276d96c6b6942a4eee"
"0303142A","c429e2703063a145b295b93b90c001296a9a651e-0-a06054505969fbbff341a19b02217e8f2475d837","c429e2703063a145b295b93b90c001296a9a651e","root","c429e2703063a145b295b93b90c001296a9a651e-2f5d1e38cc44328d22e93314aace923482fbae5d"
"0305208N","c59e6ce52fd65565aaad4515b780a128ed722e3c-0-d592507b588d4d2d7c4d361047510f2e68190686","c59e6ce52fd65565aaad4515b780a128ed722e3c","root","c59e6ce52fd65565aaad4515b780a128ed722e3c-f5250098efdb9bce48d07519761fa7eff8747c7b"
"0205604N","c5eee106115a9ab6bb27f39fdcb22af63c849776-0-69cce17d5e56449718b782d0a5a41fd41e710c38","c5eee106115a9ab6bb27f39fdcb22af63c849776","root","c5eee106115a9ab6bb27f39fdcb22af63c849776-ff528c5576d5c3860650e63b719d1381dde12804"
"0305614F","c6139daa58daabd0f311b0b342963b8b3a0ccb3f-0-aad620315472cbba65003e132d33be8593c6f954","c6139daa58daabd0f311b0b342963b8b3a0ccb3f","root","c6139daa58daabd0f311b0b342963b8b3a0ccb3f-a2bfc06f92f60f3f76277a3f8d725b27a2f3cf14"
"0305940F","c6139daa58daabd0f311b0b342963b8b3a0ccb3f-1-70dd882fbaa74abdf0653b34e563203f82a7867e","c6139daa58daabd0f311b0b342963b8b3a0ccb3f","root","c6139daa58daabd0f311b0b342963b8b3a0ccb3f-a2bfc06f92f60f3f76277a3f8d725b27a2f3cf14"
"0603774A","c92b1f32be065a08f22d3ed92961c4824847e62f-0-ed09bb3d4fbc17a94c9fc26340e68a32e66ce160","c92b1f32be065a08f22d3ed92961c4824847e62f","root","c92b1f32be065a08f22d3ed92961c4824847e62f-ad8190ac5805f90db2c39df737dd31d243a67d55"
"0604710A","c92b1f32be065a08f22d3ed92961c4824847e62f-1-4a1700d1c87410842162f6b5e9a3261ecaff0a7e","c92b1f32be065a08f22d3ed92961c4824847e62f","root","c92b1f32be065a08f22d3ed92961c4824847e62f-ad8190ac5805f90db2c39df737dd31d243a67d55"
