"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Reserve","","","8","","8","","","","","","","1.71","","1.71","","","","","2c7abd14e5bff3124d5de104433e5bd039ec257c-2-2d8f6b49be8310390b13c912b9514c96c5b8dc83","2c7abd14e5bff3124d5de104433e5bd039ec257c","root.record.ItemExhibitList.P5Item","2c7abd14e5bff3124d5de104433e5bd039ec257c-0-1ad898714602a37259906709ac2272ef1027c008"
"Army Active","","","","","","","","","","5.998","0.1","","","","","","","","2c7abd14e5bff3124d5de104433e5bd039ec257c-0-c8accf6230bf73c66fdd3097d73a9ac4af687f61","2c7abd14e5bff3124d5de104433e5bd039ec257c","root.record.ItemExhibitList.P5Item","2c7abd14e5bff3124d5de104433e5bd039ec257c-1-76c534a75905175b6311395bb9c5d4b8b28c2fdf"
"Army Active","9","18","17","","17","","","","","7.366","12.514","11.628","","11.628","","","","","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-0-f9ba9798fc2f3f5ab58cd1fd7b4b19f9be2b7960","2e58725e90330e96adbbd1b664c0cc2a72d2bab8","root.record.ItemExhibitList.P5Item","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-0-26363b43706e0ea9d06f1732bb9f6b2db4af2e19"
"Army National Guard","","27","","","","","","","","","17.505","","","","","","","","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-1-3c2d15da31d4d4ad861b6ac41f2bde119b19ed18","2e58725e90330e96adbbd1b664c0cc2a72d2bab8","root.record.ItemExhibitList.P5Item","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-0-26363b43706e0ea9d06f1732bb9f6b2db4af2e19"
"Army Reserve","","9","5","","5","","","","","","6.059","3.298","","3.298","","","","","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-2-26c7fab59d1e5a22fb63e40f38da9bb5fc27928a","2e58725e90330e96adbbd1b664c0cc2a72d2bab8","root.record.ItemExhibitList.P5Item","2e58725e90330e96adbbd1b664c0cc2a72d2bab8-0-26363b43706e0ea9d06f1732bb9f6b2db4af2e19"
"Army Active","1654","214","22","","22","","","","","17.341","0.956","0.392","","0.392","","","","","2e91925b4e4b022e3e500056b827fd628d53abe6-0-47561701f534f120688033b0ffd9bfd64be4bfcb","2e91925b4e4b022e3e500056b827fd628d53abe6","root.record.ItemExhibitList.P5Item","2e91925b4e4b022e3e500056b827fd628d53abe6-0-c229692eafe9da8fe8cb9544ddf78ba41b32541a"
"Army National Guard","698","698","582","","582","","","","","4.602","9.44","12.171","","12.171","","","","","2e91925b4e4b022e3e500056b827fd628d53abe6-1-b2b359535224f75727eca292a56062e2b096546b","2e91925b4e4b022e3e500056b827fd628d53abe6","root.record.ItemExhibitList.P5Item","2e91925b4e4b022e3e500056b827fd628d53abe6-0-c229692eafe9da8fe8cb9544ddf78ba41b32541a"
"Army Reserve","185","342","370","","370","","","","","0.926","8.971","10.051","","10.051","","","","","2e91925b4e4b022e3e500056b827fd628d53abe6-2-f94c89c514c860616cbf81871017d95c9d69d3ac","2e91925b4e4b022e3e500056b827fd628d53abe6","root.record.ItemExhibitList.P5Item","2e91925b4e4b022e3e500056b827fd628d53abe6-0-c229692eafe9da8fe8cb9544ddf78ba41b32541a"
"Army Active","","","","","","","","","","","","100","","100","","","","","2fdd66fd325bbf05145e21131beb46ae9fc97401-0-edef4e2d05798642f972eb85d9f055b6fc892a53","2fdd66fd325bbf05145e21131beb46ae9fc97401","root.record.ItemExhibitList.P5Item","2fdd66fd325bbf05145e21131beb46ae9fc97401-0-1e30ab21ed259a68fde5a58eacd93abcf00974fb"
"Army Active","","14","7","","7","","","","","","62.951","36.583","","36.583","","","","","31117d5eb396309629273235e8f4fa24366cf314-0-2582ba5d19d0767d3cd3c5ef1554bc7a3b73487b","31117d5eb396309629273235e8f4fa24366cf314","root.record.ItemExhibitList.P5Item","31117d5eb396309629273235e8f4fa24366cf314-0-dd8bc64eaec2974fc2794d61647f7edcbfad95f7"
"Army National Guard","3","","","","","","","","","18.948","","","","","","","","","31117d5eb396309629273235e8f4fa24366cf314-1-b7db40c83ef1c86e5530044a8733a650d433fc1f","31117d5eb396309629273235e8f4fa24366cf314","root.record.ItemExhibitList.P5Item","31117d5eb396309629273235e8f4fa24366cf314-0-dd8bc64eaec2974fc2794d61647f7edcbfad95f7"
"Army Active","","","","","","","","","","","5","","","","","","","","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-0-32b99f7b7e562c803b40e242b40d4ddef609364e","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61","root.record.ItemExhibitList.P5Item","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-0-94959d1c0bad8c6becb476e1ec44132d143203ed"
"Army Active","","2","2","","2","","","","","97.651","232.609","71.61","","71.61","","","","","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-0-73d2590d5cfae3d4336b7f7691ed6c692828896f","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61","root.record.ItemExhibitList.P5Item","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-1-60daf87bc4df77c1bab2b9a7ce9bc06550b38188"
"Army Active","","1","1","","1","","","","","9.582","8.191","8.355","","8.355","","","","","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-0-30cb4e2c2f05f55ae44f14b8dd126895bedac0bb","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61","root.record.ItemExhibitList.P5Item","31a837b6b044f8d6fe1c9ee7c5553d7b2c814b61-2-517f256dac6d5aa7048d2659a85fbb396d18d3c7"
"Army Active","24","12","8","","8","","","","","41.832","49.798","46.969","","46.969","","","","","31d1ce022da4a9d5d636565296ecd91bd6723e29-0-2d6297e83d733f92113cf7de18776a10970cce73","31d1ce022da4a9d5d636565296ecd91bd6723e29","root.record.ItemExhibitList.P5Item","31d1ce022da4a9d5d636565296ecd91bd6723e29-0-a601e1ede499b94de27731c0791c2a7796235255"
"Army National Guard","3","2","3","","3","","","","","6.9","5.6","8.927","","8.927","","","","","31d1ce022da4a9d5d636565296ecd91bd6723e29-1-a7e21b31f74d37fbdcc36d8d1a66a2b6f27e96ad","31d1ce022da4a9d5d636565296ecd91bd6723e29","root.record.ItemExhibitList.P5Item","31d1ce022da4a9d5d636565296ecd91bd6723e29-0-a601e1ede499b94de27731c0791c2a7796235255"
"Army Active","","","","","","","","","","12.524","","","","","","","","","31d983fb29c7a5c73010d1a1cc92d174bcde24e1-0-09fcc637d2a0c73f52417c326d03c3944b107033","31d983fb29c7a5c73010d1a1cc92d174bcde24e1","root.record.ItemExhibitList.P5Item","31d983fb29c7a5c73010d1a1cc92d174bcde24e1-0-06130d629ee288484e0bb65847ef6b88febbd0e8"
"Army Active","","","","","","","","","","8.989","","","","","","","","","345621ea571ef54f193e45e93cef7d3feb985f9c-0-7af86d18906fead2459a291a3304eee9a90d5628","345621ea571ef54f193e45e93cef7d3feb985f9c","root.record.ItemExhibitList.P5Item","345621ea571ef54f193e45e93cef7d3feb985f9c-0-33db1201d8ab11725d1d711adbcd1153a98b8359"
"Army Active","109","768","383","","383","","","","","6.663","27.082","16.671","","16.671","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-0-9b1202fb9f6c8d5b1977c62b3a1bf7cf46ba3c65","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-0-9ab48ba84149f00ad6776203ea3c733867c94ba9"
"Army National Guard","90","","709","","709","","","","","5.531","","30.96","","30.96","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-1-58ebfdd14e238d26595f1b6926994b1aa10d685f","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-0-9ab48ba84149f00ad6776203ea3c733867c94ba9"
"Army Reserve","74","","","","","","","","","4.438","","","","","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-2-fcbecfa372a40cc3107d37030a2d163eb9d215da","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-0-9ab48ba84149f00ad6776203ea3c733867c94ba9"
"Army Active","","","","","","","","","","0.555","0.261","3.408","","3.408","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-0-0089962cdf6d183c7a215c1f0bc088f328846522","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-1-80bb799ffb34e06fee745c82e3e97e085017e68a"
"Army Active","390","","1039","","1039","","","","","4.54","0.125","8.683","","8.683","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-0-3dc8c62981d016b1a1f7fb3b6e98d0797a863314","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-2-81228400de78d70210fe108fbb09eef145c6f12e"
"Army National Guard","200","","547","","547","","","","","2.496","","4.872","","4.872","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-1-ef92c68ac4fc81f99eff488f8dd8dc844ac8435f","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-2-81228400de78d70210fe108fbb09eef145c6f12e"
"Army Reserve","107","","302","","302","","","","","1.222","","2.503","","2.503","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-2-dabcc9f2195f9a9e819e99ebaaccfe331c8ae1ae","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-2-81228400de78d70210fe108fbb09eef145c6f12e"
"Army Active","130","118","317","","317","","","","","29.68","11.822","30.821","","30.821","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-0-4ef8e519c139e7962035aff42d87abdd54311826","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-3-702c7455e0fb614a20f95f7055cb62a34690d775"
"Army National Guard","79","","585","","585","","","","","1.538","","17.272","","17.272","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-1-c90ef7beccc18d2a3aab72b3d4b738879fc24d62","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-3-702c7455e0fb614a20f95f7055cb62a34690d775"
"Army Reserve","23","","","","","","","","","2.765","","","","","","","","","36cc620859380881a3b936eda1d179f04e8dd8e4-2-2b4df2318134776e9465f460369a445564fb7140","36cc620859380881a3b936eda1d179f04e8dd8e4","root.record.ItemExhibitList.P5Item","36cc620859380881a3b936eda1d179f04e8dd8e4-3-702c7455e0fb614a20f95f7055cb62a34690d775"
"Army Active","772","","","","","","","","","128.087","","","","","","","","","38eaa52a4cab4a4fe7887a14c439621fe69690b2-0-ff8b82852c3357b007eadf1a1ce21706ef9fa6ef","38eaa52a4cab4a4fe7887a14c439621fe69690b2","root.record.ItemExhibitList.P5Item","38eaa52a4cab4a4fe7887a14c439621fe69690b2-0-de573ef92d197b4da13411510ec339c719c0e7a2"
"Army Reserve","560","","","","","","","","","92.913","","","","","","","","","38eaa52a4cab4a4fe7887a14c439621fe69690b2-1-c63557f0ec6435f281895563bdc717d34a8c43e8","38eaa52a4cab4a4fe7887a14c439621fe69690b2","root.record.ItemExhibitList.P5Item","38eaa52a4cab4a4fe7887a14c439621fe69690b2-0-de573ef92d197b4da13411510ec339c719c0e7a2"
"Army Active","","","","","","","","","","10.834","2.59","","","","","","","","4026e2126953911f280362a11173ba3c2c2281ec-0-751f8fe5d72ed40a490a726040b4038d8a6c2401","4026e2126953911f280362a11173ba3c2c2281ec","root.record.ItemExhibitList.P5Item","4026e2126953911f280362a11173ba3c2c2281ec-0-bc3e8e87381dbc09f697575cb074a24a24fd9675"
"Army Active","","","8","","8","","","","","2.409","1.927","3.901","","3.901","","","","","42465d4f0ec42299f35d8797bc150d07df0c4250-0-62758c102c29cac4ce7b70d1c20a17fb01be2e6e","42465d4f0ec42299f35d8797bc150d07df0c4250","root.record.ItemExhibitList.P5Item","42465d4f0ec42299f35d8797bc150d07df0c4250-0-0da163e3584f36969c6b072b4be35e34f28a7a93"
"Army Active","1","7","22","","22","","","","","2.43","2","5.827","","5.827","","","","","4313bf7942054885d09578076b73830b3768a86d-0-6497b5656f91fa93f3cf649533895ac9703bee4f","4313bf7942054885d09578076b73830b3768a86d","root.record.ItemExhibitList.P5Item","4313bf7942054885d09578076b73830b3768a86d-0-88aedd9b0fa4f1941f4ffc0a337a59d61c33e7c1"
"Air Force Active","","","","","","","","","","5.331","10.656","0.37","","0.37","","","","","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-f72f3ba7003532f0ef9373706c88eb712e05b425","43e572439af3b00ba0f3d97a7b47ef4c0d16b244","root.record.ItemExhibitList.P5Item","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-7ced0b75279b80b238ba56a0058d50522a815472"
"Air Force Active","","","","","","","","","","8.475","3.171","4.607","","4.607","","","","","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-6179b7eb27d3a1e4ea5f05538cfe951935df8e22","43e572439af3b00ba0f3d97a7b47ef4c0d16b244","root.record.ItemExhibitList.P5Item","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-1-3b39ae104006c0e4f66e03917d1ce67bad7c46b7"
"Air Force Active","","","","","","","","","","0.986","0.117","1.075","","1.075","","","","","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-fddac4a97e6591c727078665b30430629afed0b9","43e572439af3b00ba0f3d97a7b47ef4c0d16b244","root.record.ItemExhibitList.P5Item","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-2-a394d8c23ebf79d8f7da073b174c32939430f344"
"Air Force Active","","30","1","","1","","","","","","4.62","0.283","","0.283","","","","","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-c3cd7875754d0b61d2d8c5627bc40a66054244b3","43e572439af3b00ba0f3d97a7b47ef4c0d16b244","root.record.ItemExhibitList.P5Item","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-3-cefa7f7c5d982bc08591e6b326f41d1c3c84ddaa"
"Air Force Active","4","3","","","","","","","","5.02","2.913","0.28","","0.28","","","","","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-0-8976c6b35a8ea44deba05cb88f941784177b075f","43e572439af3b00ba0f3d97a7b47ef4c0d16b244","root.record.ItemExhibitList.P5Item","43e572439af3b00ba0f3d97a7b47ef4c0d16b244-4-8574c85437d3d85d63df2445b4df748ff9c189d5"
"Army Active","","","1","","1","","","","","13.854","29.795","28.913","","28.913","","","","","4470675b4e26b663d05eca37b5e9d3dc27ef5846-0-8bbcd847f4e3fde74b5644ed6da7e5fdf1d60679","4470675b4e26b663d05eca37b5e9d3dc27ef5846","root.record.ItemExhibitList.P5Item","4470675b4e26b663d05eca37b5e9d3dc27ef5846-0-098ed894364343fa474ea2e88a1aa4b9a264c950"
"Army Active","20","28","72","","72","","","","","2.523","2.627","7.064","","7.064","","","","","447a90cfb9daa8854cd7b15df018eed300c22cc3-0-d0ec3cd68d0692f08a4f35ab636d89bd1cf1c34a","447a90cfb9daa8854cd7b15df018eed300c22cc3","root.record.ItemExhibitList.P5Item","447a90cfb9daa8854cd7b15df018eed300c22cc3-0-7595b9437c279d1c028dba25306470a42b273ca6"
"Army National Guard","6","9","33","","33","","","","","0.78","0.871","3.199","","3.199","","","","","447a90cfb9daa8854cd7b15df018eed300c22cc3-1-e3721eab7df5e35babf9f001a1c5a7067d2e0101","447a90cfb9daa8854cd7b15df018eed300c22cc3","root.record.ItemExhibitList.P5Item","447a90cfb9daa8854cd7b15df018eed300c22cc3-0-7595b9437c279d1c028dba25306470a42b273ca6"
"Army Reserve","22","24","41","","41","","","","","2.584","2.262","4.064","","4.064","","","","","447a90cfb9daa8854cd7b15df018eed300c22cc3-2-f33240d6cbd3a03b8154e4693966ab911d326525","447a90cfb9daa8854cd7b15df018eed300c22cc3","root.record.ItemExhibitList.P5Item","447a90cfb9daa8854cd7b15df018eed300c22cc3-0-7595b9437c279d1c028dba25306470a42b273ca6"
"Army Active","","","","","","","","","","","2.5","","","","","","","","447a90cfb9daa8854cd7b15df018eed300c22cc3-0-7de05f79606bb021c475e6de2d92ad88a011ec7e","447a90cfb9daa8854cd7b15df018eed300c22cc3","root.record.ItemExhibitList.P5Item","447a90cfb9daa8854cd7b15df018eed300c22cc3-1-943a4c9a8a45c635b545db1c1205f7869cd60746"
"Army Active","","","","","","","","","","27.47","41.563","8.409","","8.409","","","","","4584a20e53264a4d8396ed84d8af2c3e735910b1-0-d5ae04abda7cbcb3a4405119b316bfb6402e1b5d","4584a20e53264a4d8396ed84d8af2c3e735910b1","root.record.ItemExhibitList.P5Item","4584a20e53264a4d8396ed84d8af2c3e735910b1-0-323f1ea1a6526e4aea8398269a6de127a9e6b7dc"
"Army National Guard","","","","","","","","","","23","","","","","","","","","4584a20e53264a4d8396ed84d8af2c3e735910b1-1-7d2417f9c3618cd69ddb41e328850a03d4fc634b","4584a20e53264a4d8396ed84d8af2c3e735910b1","root.record.ItemExhibitList.P5Item","4584a20e53264a4d8396ed84d8af2c3e735910b1-0-323f1ea1a6526e4aea8398269a6de127a9e6b7dc"
"Army Reserve","","","","","","","","","","6.18","","","","","","","","","4584a20e53264a4d8396ed84d8af2c3e735910b1-2-c370ef96a52da087429db31f0795ec79a669c566","4584a20e53264a4d8396ed84d8af2c3e735910b1","root.record.ItemExhibitList.P5Item","4584a20e53264a4d8396ed84d8af2c3e735910b1-0-323f1ea1a6526e4aea8398269a6de127a9e6b7dc"
"Army Active","","","","","","","","","","33.947","34.951","17.631","","17.631","","","","","4656fbcd22dc2590f4ebca261d2d494cf931ada3-0-11a66a6fd4c6b906e65973ba4a11f055ba2ad09a","4656fbcd22dc2590f4ebca261d2d494cf931ada3","root.record.ItemExhibitList.P5Item","4656fbcd22dc2590f4ebca261d2d494cf931ada3-0-8918aabcd18727c7b350101757b9e194194fae0a"
"Army Active","1","1","","","","","","","","8.456","0.324","","","","","","","","479448408507c0a373edb2e230cf11307539b76c-0-5b3082faaef95ec5fb5c70a4bb53690ba25a8b90","479448408507c0a373edb2e230cf11307539b76c","root.record.ItemExhibitList.P5Item","479448408507c0a373edb2e230cf11307539b76c-0-8c377bb87970142a60c52efe58ed6c50bd2bb1bd"
"Army Active","","","","","","","","","","98.292","232.008","211.731","","211.731","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-0-0d33a6aa1b313e8cb96d4b74f9877de9213f69b8","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-0-b8842edfa0fc6d3ea2cc2e83b1d5db422ed23d0d"
"Army Active","1030","718","407","","407","","","","","384.248","358.796","340.831","","340.831","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-0-cfb54499e359bebb5af154ad603bdb40f3de4c86","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-1-dfaca8bb6cafff496d839a50828dd339e390f54e"
"Army National Guard","","254","254","","254","","","","","","117.642","119.878","","119.878","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-1-f3f2d742938f312380380218f942a182f7d596af","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-1-dfaca8bb6cafff496d839a50828dd339e390f54e"
"Army Active","401","656","266","","266","","","","","44.292","51.031","38.953","","38.953","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-0-bf4003d41bf5580e3d3a51a2341bbd19fe6cf027","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-2-ff957bf374c011dd9f042480a68f89cf6b0ebb56"
"Army National Guard","","39","208","","208","","","","","18.224","5","30.46","","30.46","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-1-150a5fb2510ee316a44274a923215edfd012365e","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-2-ff957bf374c011dd9f042480a68f89cf6b0ebb56"
"Army Reserve","","58","145","","145","","","","","","5","21.234","","21.234","","","","","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-2-f0e0045d240c6cad6356f9dbc1b44cdb5881b9a7","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7","root.record.ItemExhibitList.P5Item","47c86c52ccababdf703e28e6dd5c5efb5e3a98f7-2-ff957bf374c011dd9f042480a68f89cf6b0ebb56"
"Army Active","1","3","","","","","","","","39.7","51.654","","","","","","","","48001272072e419d0ac6eb31c21c7f10b9301156-0-79d7f2f8696e6cb8e2ffe31e6ea565ff4126bdab","48001272072e419d0ac6eb31c21c7f10b9301156","root.record.ItemExhibitList.P5Item","48001272072e419d0ac6eb31c21c7f10b9301156-0-a7a5926e7a9b0ddf8b4559af0ce6e77580dc3d61"
"Army Active","","","2","","2","","","","","5.211","3.493","3.951","","3.951","","","","","4a679f3c73de821d8499160f9f7512df619cd218-0-11d8ea58efeab9749e184300cd7c7492adebf284","4a679f3c73de821d8499160f9f7512df619cd218","root.record.ItemExhibitList.P5Item","4a679f3c73de821d8499160f9f7512df619cd218-0-5c50c1e11d62c8aeba38d7970492730e1b50d429"
"Army National Guard","","","","","","","","","","0.651","4.969","4.7","","4.7","","","","","4a679f3c73de821d8499160f9f7512df619cd218-1-b2587bd075f7373b17fba85f9537d840e1d5ff24","4a679f3c73de821d8499160f9f7512df619cd218","root.record.ItemExhibitList.P5Item","4a679f3c73de821d8499160f9f7512df619cd218-0-5c50c1e11d62c8aeba38d7970492730e1b50d429"
"Army Reserve","","","","","","","","","","0.651","1.493","1.514","","1.514","","","","","4a679f3c73de821d8499160f9f7512df619cd218-2-e6fc48af9acfb440bf847c6652a7f7503a658cfd","4a679f3c73de821d8499160f9f7512df619cd218","root.record.ItemExhibitList.P5Item","4a679f3c73de821d8499160f9f7512df619cd218-0-5c50c1e11d62c8aeba38d7970492730e1b50d429"
"Army National Guard","900","900","","","","","","","","99.868","100","","","","","","","","4ac51224fca080cda2bcf7925959fbc054e3a23f-0-2559b7017d102f0f0ccf650d11d01956ce56f44c","4ac51224fca080cda2bcf7925959fbc054e3a23f","root.record.ItemExhibitList.P5Item","4ac51224fca080cda2bcf7925959fbc054e3a23f-0-cf171f18b692b8aea20f37dd787c100be1f70b7a"
"Air Force Active","","","","","","","","","","13.5","13.418","1.715","","1.715","","","","","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-c0b6ab1613864d7964187530fa4d125009966df8","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe","root.record.ItemExhibitList.P5Item","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-bcf7437b8a0cb18575a73349af6f945f6462838c"
"Air National Guard","","","","","","","","","","0.994","0.994","0.993","","0.993","","","","","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-1-7e587829fbd48aaaa81175c5657d4c0394d9a731","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe","root.record.ItemExhibitList.P5Item","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-bcf7437b8a0cb18575a73349af6f945f6462838c"
"Army Active","25","16","6","","6","","","","","756.441","606.973","236.243","","236.243","","","","","4dceea283220917064672b55b3cab1e3cd6d373a-0-597171f9182bf32631995d7f6c6d11c4431df8b0","4dceea283220917064672b55b3cab1e3cd6d373a","root.record.ItemExhibitList.P5Item","4dceea283220917064672b55b3cab1e3cd6d373a-0-7a29140385082b8ed9658dc3a5f3d20209ca9017"
"Army Active","1","2","","","","","","","","6.241","21.563","7.534","","7.534","","","","","4ddea0047abfa376838b9f01143a98ea9019d522-0-b0804cc39c153b07b193f4bcdbaf73ec13ef75df","4ddea0047abfa376838b9f01143a98ea9019d522","root.record.ItemExhibitList.P5Item","4ddea0047abfa376838b9f01143a98ea9019d522-0-1040b771eee2c7d998d6086f91183ac5cfe7cb4e"
"Army National Guard","","","","","","","","","","3.64","8.496","4.395","","4.395","","","","","4ddea0047abfa376838b9f01143a98ea9019d522-1-c4ae1c45728300bf483350f23ea50cc0b3a0465b","4ddea0047abfa376838b9f01143a98ea9019d522","root.record.ItemExhibitList.P5Item","4ddea0047abfa376838b9f01143a98ea9019d522-0-1040b771eee2c7d998d6086f91183ac5cfe7cb4e"
"Army Reserve","","","","","","","","","","2.081","4.854","2.511","","2.511","","","","","4ddea0047abfa376838b9f01143a98ea9019d522-2-30c31f6d1aca234d797a429d1aad2d8ff6bec43d","4ddea0047abfa376838b9f01143a98ea9019d522","root.record.ItemExhibitList.P5Item","4ddea0047abfa376838b9f01143a98ea9019d522-0-1040b771eee2c7d998d6086f91183ac5cfe7cb4e"
"Army Active","318","","355","","355","","","","","8.292","6.269","5.198","","5.198","","","","","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-0-fad0ad9073f4c45549c06b10a6332421ea49c670","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453","root.record.ItemExhibitList.P5Item","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-0-f87681f50b8baed8edf479b5ca50a88b88a6cffb"
"Army National Guard","9","","213","","213","","","","","0.244","","3.115","","3.115","","","","","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-1-15e3ae789c89c0ee9a9a54ed5872415f35ed7482","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453","root.record.ItemExhibitList.P5Item","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-0-f87681f50b8baed8edf479b5ca50a88b88a6cffb"
"Army Reserve","140","","60","","60","","","","","3.658","","0.922","","0.922","","","","","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-2-8823a9ba598b8d6207956634c061e11539cb5e5e","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453","root.record.ItemExhibitList.P5Item","4f27f1bb321d0ad6ef25d13d405efb03ebfc9453-0-f87681f50b8baed8edf479b5ca50a88b88a6cffb"
"Army Active","","2","","","","","","","","","11.027","","","","","","","","4fa9915d6610ca1df8552e3ddb6f751bb29e0abb-0-55d0b5903dee3975d0a722401496b651e9a4c388","4fa9915d6610ca1df8552e3ddb6f751bb29e0abb","root.record.ItemExhibitList.P5Item","4fa9915d6610ca1df8552e3ddb6f751bb29e0abb-0-3d681346cbb4c98b748517517ca583e74d4b3d9f"
