"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","","","","","","","","","","","1.985","","1.985","","","","","1818754580ed19d402b532fe8b3558222e40146c-1-b927b675aeb151f3265f604016f39fe79435ef1b","1818754580ed19d402b532fe8b3558222e40146c","root.record.ItemExhibitList.P5Item","1818754580ed19d402b532fe8b3558222e40146c-0-cce2416414313ca1f96ce29a92ecfb7195ac84e9"
"Army Active","","","","","","","","","","1.208","7.629","1.985","24","25.985","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-a0af20afa7572e2b19bd6b1fe64138d89f1fd4cb","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root.record.ItemExhibitList.P5Item","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-e9eb1246e78154b5d1fe46c712ed26272f7a819f"
"Army National Guard","","","","","","","","","","3.867","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-1-dd3bc63121ea4ab00f51b0d0fc32dc8e4fd89143","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root.record.ItemExhibitList.P5Item","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-e9eb1246e78154b5d1fe46c712ed26272f7a819f"
"Army Reserve","","","","","","","","","","1.419","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-2-8ff8dda81e405460cbaedd01e1ca69a0719d623a","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root.record.ItemExhibitList.P5Item","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-e9eb1246e78154b5d1fe46c712ed26272f7a819f"
"Army Active","","2","2","3","5","","","","","","2.662","2.216","4.8","7.016","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-0-59a64627a46f15cf7e914244495884dcdd189b75","195700bac65ab670b2bc5529a15bb5561b4fe78c","root.record.ItemExhibitList.P5Item","195700bac65ab670b2bc5529a15bb5561b4fe78c-0-e7bc826c1cdcaaae91bf3d8d12196b22c7762f20"
"Army National Guard","","1","1","","1","","","","","","1.353","2.271","","2.271","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-1-c86893bfc9323faee247287bb79431b2358e395d","195700bac65ab670b2bc5529a15bb5561b4fe78c","root.record.ItemExhibitList.P5Item","195700bac65ab670b2bc5529a15bb5561b4fe78c-0-e7bc826c1cdcaaae91bf3d8d12196b22c7762f20"
"Army Reserve","","1","","","","","","","","1.435","1.353","","","","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-2-972ab3085617fd6b4e42c29b7cb7f7eda716d9e5","195700bac65ab670b2bc5529a15bb5561b4fe78c","root.record.ItemExhibitList.P5Item","195700bac65ab670b2bc5529a15bb5561b4fe78c-0-e7bc826c1cdcaaae91bf3d8d12196b22c7762f20"
"Army Active","124","88","4","47","51","","","","","55.5","7.163","0.356","4.125","4.481","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-ae6fede2cf092f50b358d07583c75e64f11da78e","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root.record.ItemExhibitList.P5Item","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-5b9407d7097723e62e068ba284b74118a22aca71"
"Army National Guard","129","252","426","","426","","","","","22.925","20.386","34.918","","34.918","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-1-c4f090f665d9b6f46742c4f8dd3dc3f6aae9a625","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root.record.ItemExhibitList.P5Item","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-5b9407d7097723e62e068ba284b74118a22aca71"
"Army Active","","","","","","","","","","","","4.29","","4.29","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-f2db93ea479a02bfd92b92632993012fefc7ca6e","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root.record.ItemExhibitList.P5Item","19ae42ffdadf98fda4f6c7db5826edb465febfdf-1-0270caee8d95b4304249eb4ebb7dacea0c55da73"
