"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","","","3.34","3.34","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-aa31666462a06700430cc34c7ef6401000f2b250","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fc5031645ab9cb2f0591f6df90a2eb82954a7d02"
"Air Force Active","9.635","13.247","0.424","0.424","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-48513774d54b9265da9f4d780f3bed3ddf157a02","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-3c577667de4b3b226d05f3da3e0059993ae401ce"
"Air National Guard","1.47","","5.515","5.515","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-a0a848ad303e130e14cc1153ec5d691ef773bdba","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-3c577667de4b3b226d05f3da3e0059993ae401ce"
"Air Force Reserve","1.96","0.473","1.273","1.273","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-8b5a7d28baee8aab29ee18f86996ebab0f5ab7e3","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-3c577667de4b3b226d05f3da3e0059993ae401ce"
"Air Force Active","13.378","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d8e04aa45f8c2f550f64e149a0cccd7158b14c07","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-155dc2ce3996bfd6240c692d31b664e8ed10b4e3"
"Air National Guard","2.539","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-d9743940f8fab493ac81936a1601bde7d258ad69","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-155dc2ce3996bfd6240c692d31b664e8ed10b4e3"
"Air Force Reserve","12.694","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-077971ab431d4fff68a57a0291cf52adf5cdc86c","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-155dc2ce3996bfd6240c692d31b664e8ed10b4e3"
"Air Force Active","5.849","17.836","14.05","14.05","14.61","15.05","2.818","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b319c8cf0debd904985b4cdf64e493cc96a541c5","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b602a99c3798266b3df8a0ca7feee8c8be308fc5"
"Air National Guard","","","","","","","12.212","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-85cd722ed654605d2bb4a9ef922f82f47d343d42","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b602a99c3798266b3df8a0ca7feee8c8be308fc5"
"Air Force Reserve","","","","","","","0.47","8.23","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-3c36c25a9f7ed855b53fbbada8bb82d546c7423d","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b602a99c3798266b3df8a0ca7feee8c8be308fc5"
