"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","0.322","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-86b80d68be1978894f510b7fdc36c5f20400cb7a","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-0-187f308ce7afb9601a612199777e621f2b7730a3"
"Air Force Reserve","","0.127","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-de21b329a5fa6348467b9eae5e88b4e4f4b2192a","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-0-187f308ce7afb9601a612199777e621f2b7730a3"
"Air Force Active","","1.618","","1.792","","1.9","","1.9","0.889","","","","1.848","","0.635","","0.403","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-d28c7a981028b9f4b16a1983146486ab5db8f39a","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-1-6545513be9734619de3b237744c10dd1f05c3379"
"Air National Guard","","0.505","","0.466","","0.508","","0.508","0.394","","","","0.514","","0.539","","0.383","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-b3dc6797dfd0a9535126c5bcae20864eba4ca972","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-1-6545513be9734619de3b237744c10dd1f05c3379"
"Air Force Reserve","","0.208","","0.197","","0.196","","0.196","0.09","","","","0.189","","0.174","","0.133","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-2246d5714038d79a550a5a651aecdc68ee9e0771","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-1-6545513be9734619de3b237744c10dd1f05c3379"
"Air Force Active","","21.057","","4.86","","0.000","","0.000","21.974","","","","0.000","","0.000","","0.000","","0.000","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-90c44ec748e4ed3ebe3693a8a6a2cd9d095b6a7f","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-2-e5c265597dbcae479c6b0e8570a64e27e88b53dc"
"Air National Guard","","0.025","","0.025","","0.025","","0.025","0.025","","","","0.025","","0.025","","0.025","","0.025","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-42b227aaf891b6e3aaf8c9f005cee3e2bb4c79ed","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-3-ffc8aba6d26e57d1fa763385d4ff31c3c37c8d92"
"Air Force Active","","1.54","","0.695","","1.897","","1.897","3.945","","","","0.292","","0.404","","1.901","","0.073","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-e330da2ae593abe6019d7abae2410df0fe2a49ff","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","862e2d15d0f822c8485aa65674eee94dde4da08d-4-b551d70576583ebed824fe149b09ac34ae607d86"
"Air Force Active","","0.12","","0.000","","0.000","","0.000","126.145","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-8f58776f928fa9112a102455d8a01a4a107b6113","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-590a2e5e0e4f3c53df1ad1c30117ccd7f3c1e964"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","10.845","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-9234ad21393b0b30616373f41831c1176ad190cb","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-590a2e5e0e4f3c53df1ad1c30117ccd7f3c1e964"
"Air Force Active","","14.893","","2.255","","2.94","","2.94","244.21","","","","1.294","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-3acbd1413d122b3ce383ebbf9a7c6837effa402f","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-07508f6542c5b4b711d14c3797ac12acd3500eb8"
"Air National Guard","","8.948","","1.5","","0.000","","0.000","126.162","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-1441aa420993d93717a42dc2b04386b7ad445e55","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-07508f6542c5b4b711d14c3797ac12acd3500eb8"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","23.344","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-4c71a6a6202ec101e435d916a7bff6222ccd88bc","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-07508f6542c5b4b711d14c3797ac12acd3500eb8"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","15.084","","94.252","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-2614cffee0986604d7b424f6d2cc802f9e3ce571","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-eab9f0dbaaf64dbcf825c7397a847974633ad6c4"
"Air Force Active","","7.683","","0.000","","0.000","","0.000","46.629","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-947e7f4c84c3ce7f6ad6bb84c0a6eec33d9a67cd","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-3-a5d5d35620e1e3872dfc5cdca003f1549cfdb342"
"Air National Guard","","1.012","","0.000","","0.000","","0.000","12.98","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-6699656341c9cd7715cbcb8effc352eb70753ba6","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-3-a5d5d35620e1e3872dfc5cdca003f1549cfdb342"
"Air Force Active","","2.693","","0.000","","0.000","","0.000","42.417","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-9a2c05e2878123320651e547e09ddbd29579714f","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-4-4c63166b2e3be4a60c28325f2847125d67b5862c"
"Air National Guard","","0.831","","0.000","","0.000","","0.000","9.127","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-5c93eb3e5aeb14691d092e6cf3030f1dc9415184","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-4-4c63166b2e3be4a60c28325f2847125d67b5862c"
"Air Force Active","","0.445","","0.301","","0.000","","0.000","60.131","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-7e72fa4294f1e53d1f312cce3f1cde272207d711","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-5-0742245ce72ea336148dc70014b93ae4f67f1937"
"Air National Guard","","0.398","","0.000","","0.000","","0.000","19.117","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-a7707d73c1e5b88dd43e0e98c97d64568bad0a28","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-5-0742245ce72ea336148dc70014b93ae4f67f1937"
"Air Force Active","","2.027","","0.000","","0.000","","0.000","62.272","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-a695c3a19ab30bc0f7733944beea6ee231d29dfc","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-6-a767cf422d9bbf83619885b0d42f92f068afd8b0"
"Air National Guard","","0.247","","0.000","","0.000","","0.000","17.814","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-caa78491ab54fe140ed6a6ebfe4fcda3a0c91a44","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-6-a767cf422d9bbf83619885b0d42f92f068afd8b0"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-71a6737f59bcb39c4db7455816e1ee73e640b5e1","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-6-a767cf422d9bbf83619885b0d42f92f068afd8b0"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","3.251","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-174c6f71dd463f70888d464106b434c824f41762","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-7-327148ee508cc9b282cda8be9a1f99370dfa2292"
"Air National Guard","","0.238","","0.000","","0.000","","0.000","20.276","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-16694855b36f0478e53c35358b9a5c983bde4d77","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-7-327148ee508cc9b282cda8be9a1f99370dfa2292"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","1.222","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-128f1803ff4bd1e087f308673175686d14942c19","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-7-327148ee508cc9b282cda8be9a1f99370dfa2292"
"Air Force Active","","0.22","","0.000","","0.000","","0.000","3.432","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-94f9d3ad80c828168c28a5e78ab11f1d2a086064","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-8-cb68fdfc68e48c8d535cbb9186c1bf3e38cb5fe1"
"Air National Guard","","0.584","","0.000","","0.000","","0.000","25.693","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-e01063612f17686cf58454a8ebaa5c646f128477","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-8-cb68fdfc68e48c8d535cbb9186c1bf3e38cb5fe1"
"Air Force Reserve","","1.049","","0.000","","0.000","","0.000","2.897","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-c3c3f8d67a372959a0a9214f7c69fa1bf1be60ac","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-8-cb68fdfc68e48c8d535cbb9186c1bf3e38cb5fe1"
"Air Force Active","","0.988","","0.054","","1.757","","1.757","4.566","","","","0.914","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-1f1000a34c69d7a751fa21315f8d5e99e1a850b8","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-9-48d63e4c08332506c7dad9fffe8a103f20dd0502"
"Air National Guard","","0.279","","0.015","","0.497","","0.497","0.65","","","","0.086","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-43e7890cc54a44b3bffdddf8b2944cc1fdc15bfe","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-9-48d63e4c08332506c7dad9fffe8a103f20dd0502"
"Air Force Active","","2.85","","0.000","","0.1","","0.1","30.661","","","","2","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-d9856d5b05b5388d294157a7078458ccd42d784d","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-10-458d9a806ebfa3d0aeca55ed5c19105e398b33f9"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","5.439","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-780a6f4ab8e7586b18a8937726e9a288bcc3dd13","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-10-458d9a806ebfa3d0aeca55ed5c19105e398b33f9"
"Air Force Active","","4.389","","1.274","","0.000","","0.000","36.717","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-33b13871328ed84fca6fda2c60fdf42561da972f","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-11-9a1f6eb621cfe6bd4634ad2b71e15685f6e1201c"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","5.925","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-826bc2d0f3bf421e3df75cfeaef1f93dbdae7c4b","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-11-9a1f6eb621cfe6bd4634ad2b71e15685f6e1201c"
"Air Force Active","","1.4","","0.000","","0.000","","0.000","0.711","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-90a46efa2366e3737a10b0776f675ef82ba48548","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-12-74a9c246e42dce8ef01674a3a4f2adfd76a70a7d"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","5.927","","5.689","","6.022","","6.053","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-67b885b117a424da4b57398412f1a82497694383","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-13-8ae7477115ab4b6860de0a21ddc945873dc41b8a"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","","","1.755","","1.684","","1.494","","1.598","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-0dda72a443612d1eeb851e23491ec47064eaa3a1","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-13-8ae7477115ab4b6860de0a21ddc945873dc41b8a"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","102.326","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-94f60845fe965aa5fa740420afdbf09d659a0af5","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-14-3728038e19d0f86618274d2b6264bece94bed2f1"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","38.995","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-094c437fd22a8edb6eb6e21810c20640d316183a","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-14-3728038e19d0f86618274d2b6264bece94bed2f1"
"Air Force Active","","0.746","","0.06","","0.379","","0.379","15.482","","","","2","","1.536","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-c3e3ad2e9b89406ed7856bc013fff85751428856","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-15-ccdcf24887d05fe6c0dbfa488a3accebdead8fd6"
"Air Force Active","","0.944","","0.55","","0.54","","0.54","0.000","","","","0.05","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-434c9deb270fb593212d6168b0c4cd9c197357cc","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-16-a499e584a3369ea31d68a4ad062e7d27ca64fdc7"
"Air National Guard","","0.162","","0.162","","0.107","","0.107","0.000","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-1-1b8a06cf48a4d6920d0251e6ef4ca0009dbe240a","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-16-a499e584a3369ea31d68a4ad062e7d27ca64fdc7"
"Air Force Reserve","","0.039","","0.039","","0.024","","0.024","0.000","","","","0.000","","0.000","","0.000","","0.000","","88ef9fb261b4a437cfe8137841c62a71c40c864d-2-6ce7d902b2f18803dd5b5ad0d393b7ebc058919c","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","88ef9fb261b4a437cfe8137841c62a71c40c864d-16-a499e584a3369ea31d68a4ad062e7d27ca64fdc7"
"Air Force Active","","0.109","","0.108","","0.1","","0.1","1.109","","","","0.157","","0.137","","0.101","","0.105","","8a683251e364d5900374c5c2a8a97047895979b0-0-900f592bdd491f44c42e1dc6ba4f98c7ff5f22e7","8a683251e364d5900374c5c2a8a97047895979b0","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8a683251e364d5900374c5c2a8a97047895979b0-0-6d2455771abde784ee17932938dffbd6a53301d1"
"Air Force Active","","0.219","","0.091","","0.003","","0.003","1.608","","","","0.11","","0.11","","0.11","","0.11","","8a683251e364d5900374c5c2a8a97047895979b0-0-684d147bf8646eaad5407d7e2bd91999e82f6bd1","8a683251e364d5900374c5c2a8a97047895979b0","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8a683251e364d5900374c5c2a8a97047895979b0-1-16418a8f42ed35dcac684d8ace0b81c91b0af50c"
"Air Force Active","","34","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","8ac92803876f93a305965d578c716110cdc62437-0-3ecd4ac6d71e749eb1198f94133dc41797a72a48","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8ac92803876f93a305965d578c716110cdc62437-0-f9ef068aa85e455e6066686077488a1ecd9057b1"
"Air Force Active","","0.000","","4.7","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","8ac92803876f93a305965d578c716110cdc62437-0-13acfb6984d8c122dde7b458b12411b063a71d40","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8ac92803876f93a305965d578c716110cdc62437-1-bbee246166c067a59b69d4ac336313aac78cf27c"
"Air Force Active","","0.431","","1.926","","0.000","","0.000","3.891","","","","3.051","","2.7","","1.987","","1.993","","8ac92803876f93a305965d578c716110cdc62437-0-fe89a265b2eba9e21782f7d4b6a0be320746d469","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8ac92803876f93a305965d578c716110cdc62437-2-97945114379eaa3550e5d0d834e55b680e431c87"
"Air Force Active","","0.005","","0.000","","0.000","","0.000","0.005","","","","0.000","","0.000","","0.000","","0.000","","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5-0-3204b093a8e7e04680e45142ec811c69cdb699f6","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5-0-7833a95ee5453a27152d463acc6aa5ad624bedf7"
"Air Force Active","","0.004","","0.000","","0.000","","0.000","0.005","","","","0.000","","0.000","","0.000","","0.000","","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5-0-f7e4e467475dc8ad7669dc2cb17acb486852c11e","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","8ebb312514f52b2299c33e3da1031bbbbd4fe4a5-1-b85f6915935ac82570dda10ff59c5037c222484d"
"Air Force Active","","6.044","","6.668","","2.085","","2.085","5.443","","","","2.444","","0.000","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-d871def1fe34e3bfa31fc7062141c4ef64e836df","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-0-cec8560073836e3e9a5e35683e6bcdd14142421a"
"Air Force Active","","2.382","","0.000","","1.167","","1.167","26.378","","","","2.01","","0.249","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-fc08017fd000943a9304383a628d334242d0dc23","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-1-2606f7ea5d5b8b85971d1e1247ef54d98cc98371"
"Air Force Active","","4.897","","2.87","","2.226","","2.226","28.21","","","","0.346","","2.951","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-970ef0aea2a1271f4bada635e6cdae0bd0e5972c","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-2-2a1827e5f4c3f74b24cdbc2cc02ff942effc7621"
"Air Force Active","","30.683","","0.000","","0.000","","0.000","120.37","","","","0.000","","0.000","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-cd7f5b613a338214b4fd5a0ad1ebbb75c14adf0e","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-3-a4b1badf0e6d377959d0a2759ed42a48f2040d70"
"Air Force Active","","77.039","","14.529","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-912e36a8177a56680f114dbeaa56995e2651026b","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-4-28361132a35f1daa8e6d331b26bd8a395b984ee1"
"Air Force Active","","2","","0.000","","0.000","","0.000","1","","","","0.000","","0.000","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-a3ca6b593a7e941c97bd8f645efde089b35855b1","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-5-136b0348c60f62e2a91213c0357a7c8ed137f6c2"
"Air Force Active","","38.201","","6.794","","4.256","","4.256","110.488","","","","0.000","","0.000","","0.000","","0.000","","904ade37c638f05e248d5da03a3870713c018861-0-f0473acd9cbd03004cc476e8ab50347ed69db7d3","904ade37c638f05e248d5da03a3870713c018861","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","904ade37c638f05e248d5da03a3870713c018861-6-b1c060c053e020e398714c3d2b4dedc4ec4de6a3"
