"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","","","","","","","","","3.523","2.14","1.491","","1.491","5.31","5.752","5.604","2.214","","","","","","","","","534df3f9e611c12e0da20825ccb737a3aabe83ce-1-5dcac5b0459b751696c2c93c5c704b8d84255f14","534df3f9e611c12e0da20825ccb737a3aabe83ce","root","534df3f9e611c12e0da20825ccb737a3aabe83ce-b282d9ebe02a98423722226b28170565f1d9dd2e"
"Air Force Active","0","0","0","0","0","0","0","0","0","39.925","103.269","99.46","7.5","106.96","69.052","87.014","56.253","15.494","","","","","","","","","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-0-2042dbbc12caa02472284558a53cb1f82ae0c07b","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f","root","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-737954a54cfb4c1e1874f9ea25bbcc9453fd4e08"
"Air National Guard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.867","41.851","","","","","","","","","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-1-38b16f142068b6dacffa65e41573cfa370e13025","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f","root","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-737954a54cfb4c1e1874f9ea25bbcc9453fd4e08"
"Air Force Reserve","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-2-646c65dfb559d8a7309438576356f506c54b7210","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f","root","5408ca1b7632858b265698ab84cb4d7ae2c0cb9f-737954a54cfb4c1e1874f9ea25bbcc9453fd4e08"
"Army Active","","","","","","","","","","","7.438","","","","","","","","","","","","","","","","5492b772dbdd59866d94d6adebdd0a3ae8856593-0-73059d00cb6a3a58b8fbdd6d31a96d8ba7ebd008","5492b772dbdd59866d94d6adebdd0a3ae8856593","root","5492b772dbdd59866d94d6adebdd0a3ae8856593-99126d7e40c1c14efa30bd79336d0867e203dbc4"
"Air Force Active","399","515","237","77","314","352","399","396","399","57.069","85.441","44.137","9.271","53.408","58.25","57.937","58.275","59.275","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-48370274a01225e7c15fa4c0662dec5ba0654c11","552a6429228e11211f02956a1ead2e35acd972f1","root","552a6429228e11211f02956a1ead2e35acd972f1-860d725ce99a732a3c941068a5b8c1da2f4e3779"
"Air National Guard","0","8","9","0","9","25","24","13","11","0","2.06","2.404","0","2.404","2.404","2.378","2.424","2.462","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-d2fc6295d667ee8e6da4975b4bb1e07979c96481","552a6429228e11211f02956a1ead2e35acd972f1","root","552a6429228e11211f02956a1ead2e35acd972f1-860d725ce99a732a3c941068a5b8c1da2f4e3779"
"Air Force Reserve","0","5","6","0","6","4","3","5","5","0","0.281","0.327","0","0.327","0.328","0.321","0.329","0.339","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-2-15ed953bb815ac000d9b8648aec17fc413bc5e42","552a6429228e11211f02956a1ead2e35acd972f1","root","552a6429228e11211f02956a1ead2e35acd972f1-860d725ce99a732a3c941068a5b8c1da2f4e3779"
"Army Active","","","","","","","","","","2.968","2.461","3.465","5.95","9.415","5.855","2.481","3.196","5.481","","","","","","","","","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6-0-b5cd3ccc35b5082c93b7b4900c8f5a53d2559813","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6","root","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6-530865f6ea891f03a5f674eae36d21e22f746185"
"Air Force Active","5","0","0","0","0","0","0","0","0","42.453","8.799","0.813","0","0.813","0","0","0","0","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-b34aea5c6d584dfab8a5bc16d7b663e95cd1abbd","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-cb169cfe34a96c1550bd70544d4d9c8afb232255"
"Air National Guard","0","0","0","0","0","0","0","0","0","7.58","13.911","0.35","0","0.35","0","0","0","0","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-1-bfbabb06d71ee7cc9704e054ff4d45e954ee79f2","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-cb169cfe34a96c1550bd70544d4d9c8afb232255"
"Air Force Reserve","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-2-2e20b0b82cfded95a84f00ee8cde8aeed823fed8","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-cb169cfe34a96c1550bd70544d4d9c8afb232255"
"Army Active","207","862","739","68","807","575","144","144","875","3.988","10.022","9.949","0.894","10.843","8.748","4.345","4.48","15.133","","","","","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-0-40e9aaaff39408abe454938c5bb3488f742a6a15","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root","56c98ab6ff3984410b7a57f67ef6607041bb71fb-31155611c4aa57e2fd037db6a51f6b312d57a6c2"
"Army National Guard","126","545","471","","471","409","85","85","634","2.407","6.329","6.258","","6.258","6.272","2.603","2.687","11.205","","","","","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-1-176dcc236b04becc738c8216e1fcef6f7834e312","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root","56c98ab6ff3984410b7a57f67ef6607041bb71fb-31155611c4aa57e2fd037db6a51f6b312d57a6c2"
"Army Reserve","52","217","186","","186","80","43","43","86","0.993","2.525","2.5","","2.5","1.257","1.25","1.296","1.519","","","","","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-2-1844e9509d87820863eeb85c7aa743ded170fdff","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root","56c98ab6ff3984410b7a57f67ef6607041bb71fb-31155611c4aa57e2fd037db6a51f6b312d57a6c2"
"Army Active","","4","9","","9","8","3","2","","","56.68","122.2","","122.2","114.244","49.49","57.986","8.893","","","","","","","","","575d808fa0efd73be5b3a22029aa97f89ba474c5-0-030ba1948f720371be6409447ec46533dc7ff1cf","575d808fa0efd73be5b3a22029aa97f89ba474c5","root","575d808fa0efd73be5b3a22029aa97f89ba474c5-4c258a57a72c6df0158672af9b63c9d2ca90dfb4"
"Army National Guard","9","9","14","","14","7","3","2","","154.52","141.699","192.309","","192.309","100.113","49.45","29","6","","","","","","","","","575d808fa0efd73be5b3a22029aa97f89ba474c5-1-601e76fbf80aa943bef8f4806dac30f89d547af6","575d808fa0efd73be5b3a22029aa97f89ba474c5","root","575d808fa0efd73be5b3a22029aa97f89ba474c5-4c258a57a72c6df0158672af9b63c9d2ca90dfb4"
"Army Active","","","","","","","","","","0.294","0.349","","","","","","","","","","","","","","","","58828ce446a12e55dce8f3be108f497d61e70728-0-aeac662ff7548aaff57f41ddd880f2c6f133b0ad","58828ce446a12e55dce8f3be108f497d61e70728","root","58828ce446a12e55dce8f3be108f497d61e70728-5350ba4d607687598d61ab3e9136f6cc39a60ac7"
"Air Force Active","","","","","","","","","","10.233","2.604","23.097","","23.097","38.779","69.307","53.119","54.824","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-d8b00b522b31a1bfd63b2f4e747207eeb687eb3b","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-b25d7823cf07cd5d15d29ad9cf8f2471816c5588"
"Air National Guard","","","","","","","","","","0","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-ad1c6e06fd664c726e30bd90b934b7e177f52651","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-b25d7823cf07cd5d15d29ad9cf8f2471816c5588"
"Air Force Reserve","","","","","","","","","","4.498","","1.095","","1.095","1.155","2.685","19.238","18.866","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-2-f2e0ec5fa817307c06cb0974da48e5ea22cc723d","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-b25d7823cf07cd5d15d29ad9cf8f2471816c5588"
"Army Active","10","89","75","","75","81","72","100","69","10.847","50.722","31.9","","31.9","56.7","51.568","58.364","64.187","","","","","","","","","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-0-5bafe4f538d8503f9ef6126d618956df42f2aea5","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad","root","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-62f58236089a32b4a820a4efe6765fc7c0b82bad"
"Army National Guard","","","2","","2","25","35","34","30","","","4.68","","4.68","5.9","11.42","20.08","12.6","","","","","","","","","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-1-2d43ab031f1ec504426c78c1e9835cc63bdd65c6","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad","root","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-62f58236089a32b4a820a4efe6765fc7c0b82bad"
"Army Reserve","","","","","","","","","4","","","","","","","","","2.235","","","","","","","","","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-2-dc628df88df5f45e8f260ae4cf81160bf1d51a31","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad","root","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-62f58236089a32b4a820a4efe6765fc7c0b82bad"
"Army Active","835","460","322","3","325","1237","787","1194","507","642.4","352.267","272.432","9.572","282.004","405.808","325.912","450.157","256.212","","","","","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-0-ede984188f2f1e92aef4926d0ebfcdb68582e182","5a9b8a0ede1562252deaeac1ff985541700606f7","root","5a9b8a0ede1562252deaeac1ff985541700606f7-47c25fee18ab9329a14730aee119e25cfef6b8f6"
"Army National Guard","208","744","288","","288","876","940","1016","1153","12.935","339.669","151.686","","151.686","299.209","360.57","333.936","492.046","","","","","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-1-d25b3db61881270336ae5ddeef9eef386d414068","5a9b8a0ede1562252deaeac1ff985541700606f7","root","5a9b8a0ede1562252deaeac1ff985541700606f7-47c25fee18ab9329a14730aee119e25cfef6b8f6"
"Army Reserve","145","15","11","","11","","","","","8.752","3.18","3.48","","3.48","","","","","","","","","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-2-24c68a5ac7852613fad42ea2df69d18cdfc2cbe4","5a9b8a0ede1562252deaeac1ff985541700606f7","root","5a9b8a0ede1562252deaeac1ff985541700606f7-47c25fee18ab9329a14730aee119e25cfef6b8f6"
"Army Active","12","14","","","","","","","","55.896","53.65","","","","","","","","","","","","","","","","5ab496d463afb221a7a454df37d6852f98a89a65-0-3e1e7da42226ef68e378e0893d83155922810a3f","5ab496d463afb221a7a454df37d6852f98a89a65","root","5ab496d463afb221a7a454df37d6852f98a89a65-9d73a62bb706ef893bf387b84ae01dce25a7a0d3"
"Army Active","35","32","50","","50","48","47","42","52","0.924","2.608","4.185","","4.185","4.428","4.363","3.755","4.877","","","","","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-0-fc37a750b7eff051c736dd82f603a1ab67a308db","5c8fdfa921ad592270af516cc203734e06f542d8","root","5c8fdfa921ad592270af516cc203734e06f542d8-551153ad9d5cd09ae713f57daa06b17224f29808"
"Army National Guard","155","88","95","","95","110","96","110","108","9.189","7.562","8","","8","9.168","8","9","9","","","","","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-1-9e54a4a46d1e203286a72734db3428e7823bded4","5c8fdfa921ad592270af516cc203734e06f542d8","root","5c8fdfa921ad592270af516cc203734e06f542d8-551153ad9d5cd09ae713f57daa06b17224f29808"
"Army Reserve","","70","46","","46","55","47","42","108","","6.048","4","","4","4.665","4","3.76","9","","","","","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-2-13877ed88405b154ba2d6101a6dc1ae7d649c7f6","5c8fdfa921ad592270af516cc203734e06f542d8","root","5c8fdfa921ad592270af516cc203734e06f542d8-551153ad9d5cd09ae713f57daa06b17224f29808"
"Army Active","522","1","","20","20","","","","","16.072","0.595","","0.3","0.3","","","","","","","","","","","","","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7-0-e9285a9d5abdbb576db428ea5274c41bcae6bc70","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7","root","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7-59829f9c258182a336496099dd03d792e7cec6e3"
"Army Active","","","","","","","","","","5.611","6.171","32.407","","32.407","19.016","7.266","1.397","1.324","","","","","","","","","5da127033d31ad71dd21b9d1f174374388944d3b-0-54357773523ca67f81273e8ad8e2f34d4dfc6e58","5da127033d31ad71dd21b9d1f174374388944d3b","root","5da127033d31ad71dd21b9d1f174374388944d3b-9261a8931206c58ffabf9396e49a18d4ec700bf3"
"Army National Guard","","","","","","","","","","","","1.199","","1.199","44.107","24.168","","","","","","","","","","","5da127033d31ad71dd21b9d1f174374388944d3b-1-0fd46e1466cf6176f0bfde3949a9f5aac2a1e226","5da127033d31ad71dd21b9d1f174374388944d3b","root","5da127033d31ad71dd21b9d1f174374388944d3b-9261a8931206c58ffabf9396e49a18d4ec700bf3"
"Army Active","","205","91","","91","","","","","4.692","22.762","25.017","","25.017","41.658","50.892","46.053","50.408","","","","","","","","","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-0-112f762e085c70ce632fbc3a23ecf5ecaa74d4e9","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7","root","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-824646577df0a22c9bd59a4a22dac6edce7e3685"
"Navy Active","","","","","","","","","","8.694","7.469","10.734","","10.734","11.996","10.834","11.452","11.676","","","","","","","","","60431b8466abd0ef88cbc63240178167898ed09c-0-5dfa29b76c3fe79809c2ae24925cc5710d3f1720","60431b8466abd0ef88cbc63240178167898ed09c","root","60431b8466abd0ef88cbc63240178167898ed09c-511e31f916c8a25e96695a89f143aefbd3da204d"
"Navy Reserve","","","","","","","","","","3.452","1.667","2.524","","2.524","2.784","2.982","2.651","2.702","","","","","","","","","60431b8466abd0ef88cbc63240178167898ed09c-1-c25a8203488439caa8f35dbf1fdb63a6fa6192c2","60431b8466abd0ef88cbc63240178167898ed09c","root","60431b8466abd0ef88cbc63240178167898ed09c-511e31f916c8a25e96695a89f143aefbd3da204d"
"Air Force Active","759","267","241","381","622","311","48","150","193","27.778","10.04","7.862","12.264","20.126","10.82","4.61","5.522","5.678","","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-496593c201c42f5264bcb45e902099c0c92941df","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root","60bacc6c3c652708b3afaeaa47104b64d065a7ee-f6c6da4bf54a399db17b4154f57877038269f780"
"Air National Guard","0","0","9","0","9","8","9","3","8","0","0","0.284","0","0.284","0.28","0.279","0.297","0.303","","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-109a4e4a45ea16dd088cc5cf76bb7ea93ba838c3","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root","60bacc6c3c652708b3afaeaa47104b64d065a7ee-f6c6da4bf54a399db17b4154f57877038269f780"
"Air Force Reserve","0","79","88","0","88","57","77","83","71","0","2.443","3.045","0","3.045","3.061","3.589","3.067","3.125","","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-2-09ac3e6507fd074e22b7c500cabaec31dd0479c2","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root","60bacc6c3c652708b3afaeaa47104b64d065a7ee-f6c6da4bf54a399db17b4154f57877038269f780"
"Army Active","","","","","","","","","","1.697","1.525","1.528","","1.528","2.271","2.33","2.373","2.441","","","","","","","","","60eacb829758abfc085048ce3217e406ad36673e-0-5772c0b604b4141be208dc821082504948ebdb7d","60eacb829758abfc085048ce3217e406ad36673e","root","60eacb829758abfc085048ce3217e406ad36673e-ee149706f334c0f934a51eb0c8d072e6859dd770"
"Army Active","5","2","7","","7","11","12","12","19","25.394","6.268","8.289","","8.289","47.325","61.457","57.181","57.474","","","","","","","","","61503134bf84e62a397969b2b3639356a7b8046d-0-aced5b4f5d2914221d64d67d8a78ee1b9f00a60a","61503134bf84e62a397969b2b3639356a7b8046d","root","61503134bf84e62a397969b2b3639356a7b8046d-cfb4c9461a20bda6a6a1908958e4d2cebc50992e"
"Air Force Active","","","","","","","","","","28.422","50.273","68.692","0","68.692","97.801","84.057","59.151","72.098","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-d73f6479289d41a2bedfbc97ba4538e2aece3e85","6285ef83e6275905a019f8f2cac679326cd16eb9","root","6285ef83e6275905a019f8f2cac679326cd16eb9-5df92eb9097ae3b43512a0619f6ffb0f07d95c6a"
"Air National Guard","","","","","","","","","","","0","","","","","","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-1-425d7f4d2f5f8fed5989cbdf56fb50eaba5465a4","6285ef83e6275905a019f8f2cac679326cd16eb9","root","6285ef83e6275905a019f8f2cac679326cd16eb9-5df92eb9097ae3b43512a0619f6ffb0f07d95c6a"
"Army Active","50","82","25","","25","32","55","","24","835.705","1303.574","661.403","","661.403","695.905","954.809","","372.334","","","","","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-a78a5d4eaa5c7eb6a8007088f3923b258f986bf9","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root","63c94d3c133670ba4afded36301dc6d2d79a8bb2-731458b0288339c839604ae8a5d092b5f5c88fe5"
"Army National Guard","31","25","11","","11","28","14","38","41","524.8","398.25","267.85","","267.85","433.814","271.572","1012.286","862.888","","","","","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-b57abc2006ba723f7a0f86136e29efeb7c022fb1","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root","63c94d3c133670ba4afded36301dc6d2d79a8bb2-731458b0288339c839604ae8a5d092b5f5c88fe5"
"Army Reserve","6","","","","","","","","","108.21","","","","","","","","","","","","","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-84543fbca59bdfd6f738cdc7ec0dec1988bf0a86","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root","63c94d3c133670ba4afded36301dc6d2d79a8bb2-731458b0288339c839604ae8a5d092b5f5c88fe5"
"Army Active","","5","3","","3","1","3","7","7","","4.894","55.844","","55.844","1.707","4.696","10.306","10.028","","","","","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-0-eabe11e0e10a0df7bcb3c271cc72921e9e07d0b5","6415e152b2f0daa859cd34a686099c5785ff8b5b","root","6415e152b2f0daa859cd34a686099c5785ff8b5b-f77dd5fe7f0ed6b8a3d36ca544fbaf6d148d4640"
"Army National Guard","4","8","3","","3","2","4","7","10","4.938","8.652","4.721","","4.721","3.614","6.468","10.585","14.808","","","","","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-1-fb8455021a515fedaa0231b72f951a4205e89479","6415e152b2f0daa859cd34a686099c5785ff8b5b","root","6415e152b2f0daa859cd34a686099c5785ff8b5b-f77dd5fe7f0ed6b8a3d36ca544fbaf6d148d4640"
"Army Reserve","","5","3","","3","2","4","7","9","","3.204","4.72","","4.72","3.614","6.468","10.586","13.327","","","","","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-2-038013eeb6a5f72642856c4c6ff730a11bc7fe52","6415e152b2f0daa859cd34a686099c5785ff8b5b","root","6415e152b2f0daa859cd34a686099c5785ff8b5b-f77dd5fe7f0ed6b8a3d36ca544fbaf6d148d4640"
"Navy Active","","","","","","","","","","14.48","12.712","9.712","1.122","10.834","9.388","11.087","10.822","11.041","","","","","","","","","644ce7c4724e36f598da58e826c43d75b7323861-0-0d69165b873cde3e03351d82d3837777a573c360","644ce7c4724e36f598da58e826c43d75b7323861","root","644ce7c4724e36f598da58e826c43d75b7323861-717b7e2b740b609f836070b2d6d07174d4130970"
"Navy Reserve","","","","","","","","","","0.085","0.086","0.094","","0.094","0.091","0.094","0.088","0.091","","","","","","","","","644ce7c4724e36f598da58e826c43d75b7323861-1-5f5869f579d37d749ac131a3d7ac17aca4d3a9aa","644ce7c4724e36f598da58e826c43d75b7323861","root","644ce7c4724e36f598da58e826c43d75b7323861-717b7e2b740b609f836070b2d6d07174d4130970"
"Navy Active","","","","","","","","","","20.558","44.98","43.084","","43.084","54.524","69.962","76.158","87.462","","","","","","","","","64dc73855915470c6c2b220dd6bb1c067383ce74-0-1b2d64bb0a0dfcdced4b0dbebbbc092f147a8286","64dc73855915470c6c2b220dd6bb1c067383ce74","root","64dc73855915470c6c2b220dd6bb1c067383ce74-6887c06723573b70e03683f7072600174b6b259d"
"Navy Reserve","","","","","","","","","","18.781","20.955","18.704","","18.704","15.619","17.346","17.46","19.03","","","","","","","","","64dc73855915470c6c2b220dd6bb1c067383ce74-1-04b857613bde6da9e1897e6c3969813bdea195ce","64dc73855915470c6c2b220dd6bb1c067383ce74","root","64dc73855915470c6c2b220dd6bb1c067383ce74-6887c06723573b70e03683f7072600174b6b259d"
"Army Active","","","","","","","","","","435.11","177.345","71.68","","71.68","","","","","","","","","","","","","6517a383e6c41eb888d2b569db466f4e42f21116-0-572ee886545b0ca7fec4f059770014de6b1680f0","6517a383e6c41eb888d2b569db466f4e42f21116","root","6517a383e6c41eb888d2b569db466f4e42f21116-8950c22964527d89c4ec48361ee0bfc11ce789db"
"Army Active","23","25","36","11","47","28","44","89","68","13.138","10.987","14.304","1.609","15.913","11.606","16.1","26.287","18.686","","","","","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-731cf63f368516b2423436868bd7d85e2b7e087c","65223a100d6b2741d10b457f41f3b28f4221a759","root","65223a100d6b2741d10b457f41f3b28f4221a759-7e7cd06544b85580b2f553de87607498ae50f9db"
"Army National Guard","20","29","44","","44","36","53","75","84","12.146","12.018","16.677","","16.677","13.731","19.639","21.649","26.113","","","","","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-96b9a49bdab82e925d47060a0a4cd6646cfbbec5","65223a100d6b2741d10b457f41f3b28f4221a759","root","65223a100d6b2741d10b457f41f3b28f4221a759-7e7cd06544b85580b2f553de87607498ae50f9db"
"Army Reserve","3","6","16","","16","13","19","21","18","2.492","2.265","4.713","","4.713","3.439","5.268","5.827","5.702","","","","","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-df0811109bcc7bf695e5a4723d4b4eb3c7a8b50c","65223a100d6b2741d10b457f41f3b28f4221a759","root","65223a100d6b2741d10b457f41f3b28f4221a759-7e7cd06544b85580b2f553de87607498ae50f9db"
"Air Force Active","","","","","","","","","","24.164","9.993","14.574","0","14.574","40.435","36.708","37.44","38.103","","","","","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-0-a7418d0c0ec31aec5673ba6252378203c337ba34","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-c30f9b87ac520b32746458b9f4ba36d798591e67"
"Air National Guard","","","","","","","","","","0.854","0","0.6","0","0.6","0.6","0.6","0.6","0.6","","","","","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-1-7b12ef8ef735d2628d3d082e10bd24bc37434741","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-c30f9b87ac520b32746458b9f4ba36d798591e67"
"Air Force Reserve","","","","","","","","","","0.683","0","0.3","0","0.3","0.3","0.3","0.3","0.3","","","","","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-2-cf89fd439e6e7822d8d1d362ee789d4eb3e238aa","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-c30f9b87ac520b32746458b9f4ba36d798591e67"
"Army Active","","","","","","","","","","7.903","6.3","12.118","","12.118","7.738","6.765","5.258","","","","","","","","","","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3-0-411d8d9e7ea50db8b7257fd3995d72397f009834","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3","root","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3-4081f78714460f02b98bf311a3e6b093731f4a59"
"Army Active","1","1","3","31","34","2","2","1","1","6.045","6.17","17.216","69.958","87.174","16.005","16.86","5.266","6.951","","","","","","","","","6619eeebb1230435083da233a807c1800482e8fb-0-a8847e2a6a527283e26040bdd5f235d6f7bd948a","6619eeebb1230435083da233a807c1800482e8fb","root","6619eeebb1230435083da233a807c1800482e8fb-8582072791dabb6ac1aed701b6faff29b2a4d1eb"
"Army National Guard","3","3","6","","6","","","","","15.886","13.11","37.16","","37.16","1","1.1","1.1","","","","","","","","","","6619eeebb1230435083da233a807c1800482e8fb-1-55d386e0f017881290011af957246ffca14cbd86","6619eeebb1230435083da233a807c1800482e8fb","root","6619eeebb1230435083da233a807c1800482e8fb-8582072791dabb6ac1aed701b6faff29b2a4d1eb"
"Army Reserve","1","2","","","","","","","","5.443","8.896","","","","","","","","","","","","","","","","6619eeebb1230435083da233a807c1800482e8fb-2-c62f4008bfe4bc0cb402bc0abffd5a71e09eab09","6619eeebb1230435083da233a807c1800482e8fb","root","6619eeebb1230435083da233a807c1800482e8fb-8582072791dabb6ac1aed701b6faff29b2a4d1eb"
"Army Active","55","28","","","","","","","","401.617","187.177","","","","","","","","","","","","","","","","66621bce6db9e94206425e981df9bd13aa3d4400-0-57c95567284f20edf4d15f5501ee6df788a66295","66621bce6db9e94206425e981df9bd13aa3d4400","root","66621bce6db9e94206425e981df9bd13aa3d4400-102eb5af86066c019da3416afcf4e45e542548dd"
"Air Force Active","","","","","","","","","","17.653","32.458","46.729","","46.729","51.133","90.584","313.088","526.126","","","","","","","","","67030172280356a644417b388163caafa063f633-0-27b79e798d6f7339f9fbf6249f33a8578d302dc0","67030172280356a644417b388163caafa063f633","root","67030172280356a644417b388163caafa063f633-34145963a4e2099363459802cbed90b033d0186e"
"Air National Guard","","","","","","","","","","0","","","","","","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-1-9c0cf5614ef694f2c585297e793783fa39e5efac","67030172280356a644417b388163caafa063f633","root","67030172280356a644417b388163caafa063f633-34145963a4e2099363459802cbed90b033d0186e"
