"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","3385","5270","6909","","6909","6416","11174","12099","11100","8.448","19.236","21.89","","21.89","19.32","22.194","22.968","20.78","","","","","","","","","a1cb374814787409cdd092d373782879a582e43d-0-88c4fece3ddd1a241fa714e0dc224e2d2a1d9554","a1cb374814787409cdd092d373782879a582e43d","root","a1cb374814787409cdd092d373782879a582e43d-75a8327550d3d898436327cbf80f37825bd80e41"
"Army National Guard","1805","988","1536","","1536","1105","2092","2508","3715","4.504","3.608","4.87","","4.87","3.33","4.158","4.764","6.955","","","","","","","","","a1cb374814787409cdd092d373782879a582e43d-1-7e628a3cee62cbd77200f075f85fb00d7a5b1fcc","a1cb374814787409cdd092d373782879a582e43d","root","a1cb374814787409cdd092d373782879a582e43d-75a8327550d3d898436327cbf80f37825bd80e41"
"Army Reserve","451","330","514","","514","2324","703","","","1.125","1.205","1.63","","1.63","7","1.397","","","","","","","","","","","a1cb374814787409cdd092d373782879a582e43d-2-0e0f5e14101493ad9209722123dcc721cc3a1c94","a1cb374814787409cdd092d373782879a582e43d","root","a1cb374814787409cdd092d373782879a582e43d-75a8327550d3d898436327cbf80f37825bd80e41"
"Army Active","","","","","","","","","","46.104","31.754","55.062","","55.062","60.946","56.677","13.666","16.374","","","","","","","","","a3c0d99b078c170066313388a4391cb940814158-0-4824a635504cc045590f65ec343cb848a9bf2808","a3c0d99b078c170066313388a4391cb940814158","root","a3c0d99b078c170066313388a4391cb940814158-e3f648054b8ec202d35b1296a47b20a185771bc3"
"Army National Guard","","","","","","","","","","35.696","17.538","27.726","","27.726","30.307","28.766","6.124","8.066","","","","","","","","","a3c0d99b078c170066313388a4391cb940814158-1-3e23e1551004a3571bbdcc077fe16faa7b04e88a","a3c0d99b078c170066313388a4391cb940814158","root","a3c0d99b078c170066313388a4391cb940814158-e3f648054b8ec202d35b1296a47b20a185771bc3"
"Army Reserve","","","","","","","","","","31.369","22.644","35.812","","35.812","39.147","37.157","7.91","10.419","","","","","","","","","a3c0d99b078c170066313388a4391cb940814158-2-fa1b832042f5effe6e2cd13472d33638efd611d2","a3c0d99b078c170066313388a4391cb940814158","root","a3c0d99b078c170066313388a4391cb940814158-e3f648054b8ec202d35b1296a47b20a185771bc3"
"Air Force Active","","","","","","","","","","31.087","22.88","15.372","","15.372","0.000","0.000","0.000","0.000","","","","","","","","","a498ca6c3977e2918faa5b562ab0edb1c190f825-0-0911be9a4a0d11d93688893c76d04d6227bd7a92","a498ca6c3977e2918faa5b562ab0edb1c190f825","root","a498ca6c3977e2918faa5b562ab0edb1c190f825-75e1ecc50728a082b6a940f5e02f2e19b4a5f30c"
"Air National Guard","","","","","","","","","","0.000","0.000","6.5","","6.5","0.000","0.000","0.000","0.000","","","","","","","","","a498ca6c3977e2918faa5b562ab0edb1c190f825-1-fbb3ce3d6fcf20ed16b2789e6961f726ebd3a97b","a498ca6c3977e2918faa5b562ab0edb1c190f825","root","a498ca6c3977e2918faa5b562ab0edb1c190f825-75e1ecc50728a082b6a940f5e02f2e19b4a5f30c"
"Air Force Reserve","","","","","","","","","","2","4","3.9","","3.9","0.000","0.000","0.000","0.000","","","","","","","","","a498ca6c3977e2918faa5b562ab0edb1c190f825-2-ff25ae886cab1c0dc815e107e8d75d14ab3259a2","a498ca6c3977e2918faa5b562ab0edb1c190f825","root","a498ca6c3977e2918faa5b562ab0edb1c190f825-75e1ecc50728a082b6a940f5e02f2e19b4a5f30c"
"Army Active","","7","8","","8","8","7","7","7","112.268","162.741","155.223","","155.223","146.308","130.043","117.649","132.627","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-c00108675fbd4dad7b475c8df2ec919a387216cd","a4b82838d22cfbf1da667ad790027d833a60a900","root","a4b82838d22cfbf1da667ad790027d833a60a900-fa17c9279778244f3aeb6fa12a5b0662312fd23c"
"Navy Active","","","","","","","","","","24.886","5.049","77.736","","77.736","117.604","163.101","175.996","139.484","","","","","","","","","a4ef372bf569755ac6b676faf3be099d7fd0cc27-0-b9271102d11b6b6ebef42dd99b6b9fe158672319","a4ef372bf569755ac6b676faf3be099d7fd0cc27","root","a4ef372bf569755ac6b676faf3be099d7fd0cc27-68e9a441bfe8d16d6b4d23729601799e2ccdd451"
"Navy Reserve","","","","","","","","","","0.94","0.954","","","","1.184","1.091","1.113","1.135","","","","","","","","","a4ef372bf569755ac6b676faf3be099d7fd0cc27-1-e9c15cdefa2b841b9b0aea36d25e44d00e64a27e","a4ef372bf569755ac6b676faf3be099d7fd0cc27","root","a4ef372bf569755ac6b676faf3be099d7fd0cc27-68e9a441bfe8d16d6b4d23729601799e2ccdd451"
