"ItemList_Item","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_Quantity","CategorySubtotal_UnitCost","Name_val","Name_@footnote","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-2-70c3a0ccbdd9b1c96a7f8b71745bdbe712629ca5","","","","","","","","","","","","","","","","3) 6C003 - TOWED TARGETS","","","06778f5a95e147c9964920dd444850713d95a1b3-2-c3229f1091cadc6bee5a80068f97cb7e969ba055","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-3-bbb9c1559cf01d73378cd50b06f3548054802a56","","","","","","","","","","","","","","","","4) 6C004 - INSTRUMENTATION","","","06778f5a95e147c9964920dd444850713d95a1b3-3-6b07390e24fb4ca0e86820a203994a4fa09de610","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-4-c494aef449e4e7254e7192182f6006430da52015","","","","","","","","","","","","","","","","5) 6C005 - HSMST (HIGH SPEED MANEUVERABLE SEABORNE TARGET)","","","06778f5a95e147c9964920dd444850713d95a1b3-4-63c5d6c9c9dfc5d19153ae18f2217e097701e593","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-5-64139437ab29cca9acf963679f74f04c9b7fd7e6","","","","","","","","","","","","","","","","6) 6C006 - SDST (Ship Deployable Surface Target)","","","06778f5a95e147c9964920dd444850713d95a1b3-5-6dbfa70921e90c2e0061a90b6458cce60aec137d","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-6-2da9db22bf32652e4d93d95a6b48b5f0d13a3cc3","","","","","","","","","","","","","","","","7) 6C007 - FACT (Fast Attack Craft Target)","","","06778f5a95e147c9964920dd444850713d95a1b3-6-e485274a394fe9481703d35fbde50e88e74a70de","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-7-1c5b93c90198b51c0384ddb2601db4ee72125a65","","","","","","","","","","","","","","","","8) 6C830 - PRODUCTION ENGINEERING","","","06778f5a95e147c9964920dd444850713d95a1b3-7-011bf41ffb5a4086e472055b2cc027a87da840b1","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-8-ece3c4815d4339f61863792322e4774d17012e45","","","","","","","","","","","","","","","","9) 6C850 - PRODUCT IMPROVEMENT","","","06778f5a95e147c9964920dd444850713d95a1b3-8-bc631da1fd8dd37c4d196f5826ddc8d6eca70c9b","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-9-60cc43b1ec9514b967367003f8663576fedc6107","","","","","","","","","","","","","","","","10)  6C970 - INTEGRATED LOGISTICS SUPPORT","","","06778f5a95e147c9964920dd444850713d95a1b3-9-143e419d77b6d7540ffd6468f9301fc7b7a233b4","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-068841e3428b869cd5392c05c5b7904b215abcf3-0-46cdabf13d37bb8f0d1ef542b962f77ebe32a609","","","","","","","","","","","","","","","","1) DC004 CALIBRATION STANDARDS","","","068841e3428b869cd5392c05c5b7904b215abcf3-0-8c47067155324d4f75c6540415c2a830d2683a57","068841e3428b869cd5392c05c5b7904b215abcf3","root.record.ItemExhibitList.P40AItemGroup","068841e3428b869cd5392c05c5b7904b215abcf3-0-0aa040f786fee85d0921cc1ef9a2831d5074edfa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-068841e3428b869cd5392c05c5b7904b215abcf3-1-75b8ba58eb6c2011a0c386d2c859e8007b2ddde1","","","","","","","","","","","","","","","","2) DC001 SPS-73 RADAR","","","068841e3428b869cd5392c05c5b7904b215abcf3-1-56acfbb8cb3383dd10c6814c84e415784289f71e","068841e3428b869cd5392c05c5b7904b215abcf3","root.record.ItemExhibitList.P40AItemGroup","068841e3428b869cd5392c05c5b7904b215abcf3-0-0aa040f786fee85d0921cc1ef9a2831d5074edfa"
