"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Fielding","","","","","","","","0","0","0","0","0","","","","","","","","248.008","3.987","4.733","51.539","187.749","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-d4e3f0f464b52b1f50d7c697b20fcc203f2644bd","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-8-ae797844a8d9c7ad47284007c67671fc0c5d5547"
"Hardware","","","","","","","","3201","75","121","152","2853","","","","","","","","2020.067","51.742","71.926","91.287","1805.112","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-08ee51f92f45823d719c7dd2cab955ac8f52a8b6","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-9-132f5ddf8a0400d3ae5b8c53a1fad9b160a44e84"
"Fielding","","","","","","","","0","0","0","0","0","","","","","","","","42.354","0.67","7.128","15.469","19.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-b516405272f199da1707918ff5cb024e98b4ebc0","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-9-132f5ddf8a0400d3ae5b8c53a1fad9b160a44e84"
"Hardware","","1224","","","","","","1224","","","","","","10.928","","","","","","10.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-e129f2af07544bd5c1ad586c1c93cc36bd842599","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-10-40fc84ab547812629f6f7495ff2c3e98e936c3e5"
"Fielding","","","","0","0","0","0","0","","","","","","","","0.916","11.205","11.205","11.205","23.326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-231a875f295559be636f00925e2c132c7b40dc76","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-11-2a4253f7d31ecde91da4b56d16a1ebcaa107bcb7"
"Hardware","","","","83","","","","83","","","","","","","","307.215","","","","307.215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-2ce4478ddc97de65beefaa9a0e95304baea5c723","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-11-2a4253f7d31ecde91da4b56d16a1ebcaa107bcb7"
"Program Management Support","","0","0","0","0","0","0","0","0","0","0","0","","3.518","4.871","7.932","7.932","7.932","8.011","777.958","17.23","24.834","76.552","627.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-63b2ab073cc477440463ca785465e873f5351688","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-12-a657d854437162e7d8d835fe6beef7cb3b3d3f19"
"Pylon Stub:INSTALL KITS Group A (Active)","","93","1","","","","","94","","","","","","47.287","0.424","","","","","47.711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-a74891076fbf598c938d6c191f590bcd36f592d2","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-1cae62e78d32e0ee13a70029666b6bd578fd7a14"
"Pylon Stub:INSTALL KITS Group A (Guard)","","13","13","","","","","26","","","","","","6.774","5.515","","","","","12.289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-bb2b9282e5013af7d8d8f4be7bfef30f99536bba","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-1cae62e78d32e0ee13a70029666b6bd578fd7a14"
"Pylon Stub:INSTALL KITS Group A (Reserve)","","7","3","","","","","10","","","","","","3.371","1.273","","","","","4.644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-dccc65d09fc474f88daeebaeceba229be82480c8","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-1cae62e78d32e0ee13a70029666b6bd578fd7a14"
