"Name_val","Location_val","HistoryPlanningList_HistoryPlanning","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-1a9bf304d88dd249583f9e79530180116f9ec357-0-e110f3e55f80677e8fd539f2fec8e40c9578821d","","","","","","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-12c09852f23a90946dec9edfe149e2d2da8014c0","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","1a9bf304d88dd249583f9e79530180116f9ec357-1-68b296825d5554147736d16b035bf4ee9d168c99"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-1a9bf304d88dd249583f9e79530180116f9ec357-0-0bdb98153e86bc215dbcb1fb619c5f83f8c7e15e","","","","","","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-0a41d5b8b2226c984be698d58c0d8e3ae3acd863","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","1a9bf304d88dd249583f9e79530180116f9ec357-2-7023207aa68f3da5d1b872fbc9ab5dd62ed1ed69"
"BAE Systems","Nashua, NH","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-a545c274e535c7d12d386e5d5a6801e479b3e84d","0","3","9","12","0","3","9","12","24","1000","600","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-bccefc3fadb63da335de45fcf50f8b8983ad00b3","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-3-e088e5b38a9b7985d2d8b251959c4b0367152450"
"BAE Systems","Nashua, NH","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-094cf6f57a3bf860df25719a99d1a2c747702240","0","3","9","12","0","3","9","12","24","1000","600","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-8c66aa24bad201fe57cf9feb72812d4cbcb025fd","01fbb9a5b33b47c91a86f0564c5b45d8e186b549","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-3-4ef959897095796f12bfbe13564052945efc6e43"
"PM I3C2","Ft. Belvoir, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0204da979f3fe83eede49dd470a5931a074cade4-0-8e1957afe4d17850fce856857541743d9319b1be","0","0","0","0","0","0","0","0","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-d120c0afbcea52ef1ee9aabe01acc169c3a0e2d3","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","0204da979f3fe83eede49dd470a5931a074cade4-0-056227180e9e3318fbf7b020732734d0aa10232c"
"PM I3C2","Ft. Belvoir, VA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0204da979f3fe83eede49dd470a5931a074cade4-0-64e5095a20301bcc8e7e7e3a4b8b252eb972e112","0","0","0","0","0","0","0","0","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-0c3aadd22803407732222553bbaddd4c3f84b421","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","0204da979f3fe83eede49dd470a5931a074cade4-0-96e793e6c048ba5805d040de6b164b315a7430b6"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43e2e803492fd209412fc604bdaaf304244f6624-0-4d7c2bb41df9e285c42f2f501f456b337e07a8fe","0","0","0","0","0","0","0","0","0.00","0.00","0.00","43e2e803492fd209412fc604bdaaf304244f6624-0-16260a30d51f5037fe6ab98032b4d33dbffb7c28","43e2e803492fd209412fc604bdaaf304244f6624","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","43e2e803492fd209412fc604bdaaf304244f6624-0-728fa1c43babe0fb1b4a607d848d2122d8ba6a74"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43e2e803492fd209412fc604bdaaf304244f6624-0-18cffc5b76d39f8e3a7d9368ce09fcc0c025a4de","0","0","0","0","0","0","0","0","0.00","0.00","0.00","43e2e803492fd209412fc604bdaaf304244f6624-0-7c68935fb3478c36f1fcc7f236d192c94f43533c","43e2e803492fd209412fc604bdaaf304244f6624","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","43e2e803492fd209412fc604bdaaf304244f6624-1-14578cb73626832a29eaffa7899f63444a59dd8b"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-748da10e360b594e01c72295ca8d43247964637b-0-a43765f6522b8b470c64f7e9430a7dd7b1621ba3","0","0","0","0","0","0","0","0","0.00","0.00","0.00","748da10e360b594e01c72295ca8d43247964637b-0-fac7efbe155aee1e1d1f4594e40b5299391545b2","748da10e360b594e01c72295ca8d43247964637b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","748da10e360b594e01c72295ca8d43247964637b-0-3b0467cd90df48fe33022c95db86242e3bacfa56"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-748da10e360b594e01c72295ca8d43247964637b-0-2e7a8dd0f7b9b5ef26c4a47b8bf35f422554386f","0","0","0","0","0","0","0","0","0.00","0.00","0.00","748da10e360b594e01c72295ca8d43247964637b-0-d92a98e23c1fb3d29c47ee878585925737b79379","748da10e360b594e01c72295ca8d43247964637b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","748da10e360b594e01c72295ca8d43247964637b-1-200b76a705667a1ddbaa1d00f2747d4ab8ee45af"
