"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","17","18.035","","","17","18.035","57","23.426","","0.188","46","25.604","17","10.225","28","17.833","22.575","23","","a837b33742d8934604fed7ad3ae88044bd1f628d-0-c82d9c9d27b85c359f37af4d95f708633eb16b1a","a837b33742d8934604fed7ad3ae88044bd1f628d","root","a837b33742d8934604fed7ad3ae88044bd1f628d-126773b0dae68440564d3f951ef41c90d62b8a34"
"Army National Guard","","","","","","","65","26.713","413","184.163","","","17","10.358","3","2.108","4.682","5","","a837b33742d8934604fed7ad3ae88044bd1f628d-1-b39beff016a40eb450657353f68cc02ee90ca6f2","a837b33742d8934604fed7ad3ae88044bd1f628d","root","a837b33742d8934604fed7ad3ae88044bd1f628d-126773b0dae68440564d3f951ef41c90d62b8a34"
"Army Reserve","","","","","","","14","5.754","151","67.316","","","","","","","","","","a837b33742d8934604fed7ad3ae88044bd1f628d-2-bd390a38ab3075314b113ef2838bbf8c1ec9ba2e","a837b33742d8934604fed7ad3ae88044bd1f628d","root","a837b33742d8934604fed7ad3ae88044bd1f628d-126773b0dae68440564d3f951ef41c90d62b8a34"
"Army Active","1481","35.917","","","1481","35.917","","46.373","632","35.452","6876","53.297","2372","48.642","1364","44.86","37.623","2073","","a84b60888f4649d5315616cfa22e883b878de283-0-4d0058c05fbe1e02a9dbf06ae215e6fe279f344c","a84b60888f4649d5315616cfa22e883b878de283","root","a84b60888f4649d5315616cfa22e883b878de283-8eef1432a0d490f65e7134e30afe8ae6aeaef3be"
"Army National Guard","741","5.985","","","741","5.985","","","120","1.181","3438","11.152","1186","9.946","683","3.516","7.911","1038","","a84b60888f4649d5315616cfa22e883b878de283-1-5cda589ec349352aa802324f2cb1adbf651e73a3","a84b60888f4649d5315616cfa22e883b878de283","root","a84b60888f4649d5315616cfa22e883b878de283-8eef1432a0d490f65e7134e30afe8ae6aeaef3be"
"Army Reserve","247","1.995","","","247","1.995","","","42","0.389","1146","3.717","396","3.315","227","1.172","2.637","345","","a84b60888f4649d5315616cfa22e883b878de283-2-575ab1f80803a568fc34989996cf9c3744ced08d","a84b60888f4649d5315616cfa22e883b878de283","root","a84b60888f4649d5315616cfa22e883b878de283-8eef1432a0d490f65e7134e30afe8ae6aeaef3be"
"Army Active","471","22.948","","3.565","471","26.513","466","33.221","98","6.031","238","18.861","189","18.665","223","22.807","33.759","267","","a9784f4b76f3292a9567eff2c327399cc7a4e967-0-ae4474e395d47630e1efacbf3184196b0db6cf3d","a9784f4b76f3292a9567eff2c327399cc7a4e967","root","a9784f4b76f3292a9567eff2c327399cc7a4e967-119fe373a181d4447efb1478d1d8e14d3aeb2bd9"
"Army National Guard","51","2.511","","","51","2.511","120","20.568","509","14.8","26","2.06","324","2.038","486","2.492","3.687","388","","a9784f4b76f3292a9567eff2c327399cc7a4e967-1-7a1c735b6b3060b3429cc6582bbd938b91a52d58","a9784f4b76f3292a9567eff2c327399cc7a4e967","root","a9784f4b76f3292a9567eff2c327399cc7a4e967-119fe373a181d4447efb1478d1d8e14d3aeb2bd9"
"Army Active","","","","","","","","0.925","","2.415","","","","","","","","","","aaa88c0e8c72a68d6e7e637527c092185607fd43-0-6163ccf07177ae8a89e97519d3f5511d876f6832","aaa88c0e8c72a68d6e7e637527c092185607fd43","root","aaa88c0e8c72a68d6e7e637527c092185607fd43-352c8b5a7976f629a5baa2fcf203aaf1f834c0d7"
"Army Active","","10.848","","","","10.848","","20.272","","15.024","","6.709","","","","","","","","aaaab0148822cb9d9a4c4584e224eb13a1201d84-0-94ad7790a50c3281793386e15267710c51857fa7","aaaab0148822cb9d9a4c4584e224eb13a1201d84","root","aaaab0148822cb9d9a4c4584e224eb13a1201d84-c9acd737a8864a08a3e64e2ac679d05652b2ad8d"
"Army National Guard","","","","","","","","","","2.672","","","","","","","","","","aaaab0148822cb9d9a4c4584e224eb13a1201d84-1-270f79d00b5cc4f77605bcf1a65f1d4cbaaf6176","aaaab0148822cb9d9a4c4584e224eb13a1201d84","root","aaaab0148822cb9d9a4c4584e224eb13a1201d84-c9acd737a8864a08a3e64e2ac679d05652b2ad8d"
"Army Reserve","","","","","","","","","","1.092","","","","","","","","","","aaaab0148822cb9d9a4c4584e224eb13a1201d84-2-a29b07db7c32c9a1fcedaa841a9a6db9a3ffff60","aaaab0148822cb9d9a4c4584e224eb13a1201d84","root","aaaab0148822cb9d9a4c4584e224eb13a1201d84-c9acd737a8864a08a3e64e2ac679d05652b2ad8d"
"Army Active","27","47.594","18","20.274","45","67.868","2","9.631","31","49.255","24","40.527","24","45.305","17","36.342","8.012","5","","abb36df6b98c3a72b25da68eae94f56929785399-0-39e7125fc3e6e462595ac9409ef17460261aa4a9","abb36df6b98c3a72b25da68eae94f56929785399","root","abb36df6b98c3a72b25da68eae94f56929785399-f868d2f546f251b12af4d462ffc2eb48b93aa5d4"
"Army National Guard","16","25","6","7.372","22","32.372","","","21","38.655","15","25.666","8","15","6","14.595","43.807","18","","abb36df6b98c3a72b25da68eae94f56929785399-1-22f3855c76af2b0b291c4950ebf0021407cb9b60","abb36df6b98c3a72b25da68eae94f56929785399","root","abb36df6b98c3a72b25da68eae94f56929785399-f868d2f546f251b12af4d462ffc2eb48b93aa5d4"
"Army Active","","5.143","","","","5.143","","4.664","","4.826","","5.296","","5.613","","5.636","5.733","","","abc11a3efd451d38ed1bd3521e1d862af4b64f3a-0-6c5a042d8e3aa0056c0a4e7c3c1464cd1a3d6501","abc11a3efd451d38ed1bd3521e1d862af4b64f3a","root","abc11a3efd451d38ed1bd3521e1d862af4b64f3a-bc1c370aa8fed6c28c93daee9e77bd984c46d823"
"Army Active","7","43.163","","","7","43.163","2","8.013","8","49.859","1","5.623","1","5.586","1","5.434","15.549","3","","adc44ee9c0aec29d5b046e9dfd04205476bb125c-0-c6d305b26339fcbeb9461838911975a1f1174750","adc44ee9c0aec29d5b046e9dfd04205476bb125c","root","adc44ee9c0aec29d5b046e9dfd04205476bb125c-3dc981b0180b312dba632477ac156ccf2992c5ee"
"Army National Guard","5","20.981","","","5","20.981","7","44.698","10","40.851","6","23.543","4","16.154","4","15.492","20.733","5","","adc44ee9c0aec29d5b046e9dfd04205476bb125c-1-e4f8562fc5599ef7cf84c409d9e682af232e93b7","adc44ee9c0aec29d5b046e9dfd04205476bb125c","root","adc44ee9c0aec29d5b046e9dfd04205476bb125c-3dc981b0180b312dba632477ac156ccf2992c5ee"
"Army Reserve","","","","","","","1","4.007","","","1","3.924","2","8.076","1","3.873","","","","adc44ee9c0aec29d5b046e9dfd04205476bb125c-2-dfeb631481dd4ff11454c04ed598c1f454a6ec8f","adc44ee9c0aec29d5b046e9dfd04205476bb125c","root","adc44ee9c0aec29d5b046e9dfd04205476bb125c-3dc981b0180b312dba632477ac156ccf2992c5ee"
"Army Active","","46.301","","","","46.301","","225.68","","24.506","","62.904","","58.024","","50.912","50.195","","","adea7966c3eb4478cfa337c2307385977e12b8e5-0-8a229819d6e4b8e4ac5675899cad3707988d04b9","adea7966c3eb4478cfa337c2307385977e12b8e5","root","adea7966c3eb4478cfa337c2307385977e12b8e5-2d724ef704daf733cff7289542bfdd4f255c95b6"
"Army Active","","5.727","1","1","1","6.727","1","19.792","","4.911","1","7.057","","4.864","","7.018","8.048","1","","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-0-4439b80d6461b063d3142608e8776ad8ad7db3a9","ae6c752b8e9d8cbd69c6554c520fc43269a40fce","root","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-281655cd276759f66c55133a292c28c2412fa195"
"Army National Guard","","3.341","","","","3.341","","3.934","","2.865","","4.116","","2.837","","4.094","4.694","","","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-1-ecbea32d9af984b71427eafe1ae839aa756d7aeb","ae6c752b8e9d8cbd69c6554c520fc43269a40fce","root","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-281655cd276759f66c55133a292c28c2412fa195"
"Army Reserve","","1.909","","","","1.909","","2.248","","1.637","","2.352","","1.621","","2.34","2.683","","","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-2-a295658371e1811bcbf943f3e0cfcf59923eb7e2","ae6c752b8e9d8cbd69c6554c520fc43269a40fce","root","ae6c752b8e9d8cbd69c6554c520fc43269a40fce-281655cd276759f66c55133a292c28c2412fa195"
"Army Active","","","","","","","","447.05","","","","","","","","","","","","b154ec4dda8c648104fcffb36d4f6ced021fca88-0-a95897e998eba3f00fa320d351cc3e135fc08f90","b154ec4dda8c648104fcffb36d4f6ced021fca88","root","b154ec4dda8c648104fcffb36d4f6ced021fca88-4a7a53814afeeca6d667bcd039bf0bb408a487b7"
"Army Active","","","","","","","","31.404","","26.008","","","","","","","","","","b1d3d9185654718b707f993e575bcf7dab206fdb-0-f25c49f04446c017d3883876f4162785ddb3c266","b1d3d9185654718b707f993e575bcf7dab206fdb","root","b1d3d9185654718b707f993e575bcf7dab206fdb-d6abf2e8ad6fd7fbcb200cb77a0c7d60367f18b5"
"Army Active","21","10.035","","","21","10.035","230","86.549","76","6.28","","3.689","","13.803","","","","","","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-0-cb33f9ada8e43888711180198514d1a65e7e31ac","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3","root","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-c6a8392b000128cf70e4a20548a398c835503382"
"Army National Guard","","","","","","","35","4.373","","","","","","","","","","","","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-1-2141b629b1b36d18322958af4280ec2d38eb0dab","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3","root","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-c6a8392b000128cf70e4a20548a398c835503382"
"Army Reserve","112","20.161","","","112","20.161","","","170","48.627","","","","","","","","","","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-2-f98529be6e4edaff2b9d6418ce796af37fc84108","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3","root","b1ebdc6af467b17ac7903bd37ef93fe92757b9e3-c6a8392b000128cf70e4a20548a398c835503382"
"Army Active","1041","16.191","","","1041","16.191","1821","24.229","1665","39.293","1861","28.534","14722","18.855","13145","23.33","21.545","12779","","b20d12896a371ba6a3325346296168f4aa174745-0-b201352af6378c747b45571d69bb9dbb177d19c7","b20d12896a371ba6a3325346296168f4aa174745","root","b20d12896a371ba6a3325346296168f4aa174745-4ebf77a6db04139aaffee01e515028f57da8c7a7"
"Army National Guard","273","5.61","","","273","5.61","506","1.731","299","5.158","147","1.803","1062","3.495","1298","2.677","3.212","1218","","b20d12896a371ba6a3325346296168f4aa174745-1-70f3124c92134fc4ac3dfcadeea48d0a168a72b0","b20d12896a371ba6a3325346296168f4aa174745","root","b20d12896a371ba6a3325346296168f4aa174745-4ebf77a6db04139aaffee01e515028f57da8c7a7"
"Army Reserve","624","12.3","","","624","12.3","598","12.914","1548","24.01","712","12.837","20556","11.718","22980","9.197","7.312","26367","","b20d12896a371ba6a3325346296168f4aa174745-2-484cfaeb99e4d2f365a81bdf1b05c561a54bec24","b20d12896a371ba6a3325346296168f4aa174745","root","b20d12896a371ba6a3325346296168f4aa174745-4ebf77a6db04139aaffee01e515028f57da8c7a7"
"Army Active","","","","","","","2771","1.502","","","","","","","","","","","","b7521c9cc3eda88cf93b1068f3e92748299f66a7-0-c8f16620c7d078dece9308fe8930775378ef91fc","b7521c9cc3eda88cf93b1068f3e92748299f66a7","root","b7521c9cc3eda88cf93b1068f3e92748299f66a7-ba62d6a1b132fbc699a2fbf8c3afb54d5c596536"
"Army National Guard","","","","","","","1495","0.811","","","","","","","","","","","","b7521c9cc3eda88cf93b1068f3e92748299f66a7-1-41b5387191a8763547d664868525e1d0b4b6f8ee","b7521c9cc3eda88cf93b1068f3e92748299f66a7","root","b7521c9cc3eda88cf93b1068f3e92748299f66a7-ba62d6a1b132fbc699a2fbf8c3afb54d5c596536"
"Army Reserve","","","","","","","132","0.071","","","","","","","","","","","","b7521c9cc3eda88cf93b1068f3e92748299f66a7-2-280bbfbc358b1b700a5b13b6ac68d3ee4a68f315","b7521c9cc3eda88cf93b1068f3e92748299f66a7","root","b7521c9cc3eda88cf93b1068f3e92748299f66a7-ba62d6a1b132fbc699a2fbf8c3afb54d5c596536"
"Army Active","15","119.992","","","15","119.992","11","66.78","1","6.421","9","75.343","7","70.651","","85.629","","","","b9e1ae58c1e17a7139d999981f48bb2d9e03a848-0-bdbcc31d831281a2ed586253e7d222e58842c58e","b9e1ae58c1e17a7139d999981f48bb2d9e03a848","root","b9e1ae58c1e17a7139d999981f48bb2d9e03a848-72c604ad022c08415ff4133334add930e3321405"
