"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","50.428","","3.493","","6.44","","6.516","","12.956","","","","","","","","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-0-4b5b12511aa0e48b76cac4bdc12592bb6d6bceae","9c8cd8b675a26731da5a7fbc40da4b441da07c9e","root.record.ItemExhibitList.P5Item","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-0-5e13308fc43255da83d92cf53dad98928c8b4e2f"
"Army National Guard","","3.149","","","","0.637","","","","0.637","","","","","","","","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-1-4a534c57b9b1da75753975f575bfb6e18cea7f53","9c8cd8b675a26731da5a7fbc40da4b441da07c9e","root.record.ItemExhibitList.P5Item","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-0-5e13308fc43255da83d92cf53dad98928c8b4e2f"
"Army Reserve","","1.174","","","","","","","","","","","","","","","","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-2-79fc1b34d46ae7ea2283244ef99c0d727d7a5a91","9c8cd8b675a26731da5a7fbc40da4b441da07c9e","root.record.ItemExhibitList.P5Item","9c8cd8b675a26731da5a7fbc40da4b441da07c9e-0-5e13308fc43255da83d92cf53dad98928c8b4e2f"
"Army Active","","","","","6000","12.984","","","6000","12.984","","","","","","","","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-8ae563e786b5101e8a75f0f18bbf6507e7adf5bb","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745","root.record.ItemExhibitList.P5Item","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-d8e2f689126bd7a594b2efee7767c8b9401b7441"
"Army Active","","74.665","","42.78","","13.872","","","","13.872","","","","","","","","9f42945ff6b958fa9db886b8774c679afbff84db-0-e1b2d21b6d2507f912c13386754d47430739a965","9f42945ff6b958fa9db886b8774c679afbff84db","root.record.ItemExhibitList.P5Item","9f42945ff6b958fa9db886b8774c679afbff84db-0-43a3069266c17be2ff0c6704e1fdfa2bd506fb39"
"Army Active","","11.501","","12.805","","9.595","","","","9.595","","","","","","","","a079d7e43e5f9fdba24ccac0074d35f077522593-0-f16daa9cd5b506fc1305c75120b030227f87ae12","a079d7e43e5f9fdba24ccac0074d35f077522593","root.record.ItemExhibitList.P5Item","a079d7e43e5f9fdba24ccac0074d35f077522593-0-9963cfff5356c367e18ff6b625fee55e5c3f40c3"
"Army Active","","2.779","","","","","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-0-087d074eeaeeb31c58e8bf94448e1d025394f578","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root.record.ItemExhibitList.P5Item","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-0-063e1a6cb37903157e72bd5638c8f721fbf89da4"
"Army National Guard","","1.7","","","","","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-1-13dc6393fcd312584eb47df9735959b71c4b9fe6","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root.record.ItemExhibitList.P5Item","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-0-063e1a6cb37903157e72bd5638c8f721fbf89da4"
"Army Reserve","","1.452","","","","","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-2-4026b3dcdc74172baf07539b178d916ac3586741","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root.record.ItemExhibitList.P5Item","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-0-063e1a6cb37903157e72bd5638c8f721fbf89da4"
"Army Active","","14.313","","16.728","","30.509","","","","30.509","","","","","","","","a253ae67545f305a789903526917c0f0d39b0d38-0-ecb707b0d9ac63e834411a276581ce854cae5741","a253ae67545f305a789903526917c0f0d39b0d38","root.record.ItemExhibitList.P5Item","a253ae67545f305a789903526917c0f0d39b0d38-0-785c625bc60660bd55a65ed85de3d0a9eeb6fce4"
"Army National Guard","","8.981","","10.496","","19.142","","","","19.142","","","","","","","","a253ae67545f305a789903526917c0f0d39b0d38-1-2747ee7b376991b87f51caa1fb58cf74e1ad930e","a253ae67545f305a789903526917c0f0d39b0d38","root.record.ItemExhibitList.P5Item","a253ae67545f305a789903526917c0f0d39b0d38-0-785c625bc60660bd55a65ed85de3d0a9eeb6fce4"
"Army Reserve","","4.771","","5.576","","10.17","","","","10.17","","","","","","","","a253ae67545f305a789903526917c0f0d39b0d38-2-0bb2bef3b279f126d0843e55226a559304e91ad6","a253ae67545f305a789903526917c0f0d39b0d38","root.record.ItemExhibitList.P5Item","a253ae67545f305a789903526917c0f0d39b0d38-0-785c625bc60660bd55a65ed85de3d0a9eeb6fce4"
"Army Active","30","1.123","193","6.815","235","8.267","198","7","433","15.267","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-83ee0aed0967fc5aea26e4759028d906dd41b610","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-99093d726a0c58f907e4bc4ff092fa896403bdc7"
"Army National Guard","22","0.81","105","3.705","156","5.511","54","1.9","210","7.411","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-79c0febbf3a2deee9def367222ca45e3d9754c42","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-99093d726a0c58f907e4bc4ff092fa896403bdc7"
"Army Active","353","15.001","38","1.878","","","","","","","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-f79b11e029bc7d4fda730dffb9ce37594e923427","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-f7c306a0cda50ad584ecdcbdfd66252bde9bf53f"
"Army National Guard","28","2.215","12","0.638","","","","","","","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-7516cd21083fca0623a3b22711eb387bfbce088c","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-f7c306a0cda50ad584ecdcbdfd66252bde9bf53f"
