"Name_val","Name_@footnote","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_Continuing_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.1.2) EMC ORDALT KITS - Organic","","","","0.000","14.2","14.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8a5b216f48b4a2bb189da9afe6906659705238df-1-87df96cfd55469589163ea044eab43487dd3fbab","8a5b216f48b4a2bb189da9afe6906659705238df","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8a5b216f48b4a2bb189da9afe6906659705238df-0-229ee199316529edcd97153e16b5a43f6f93c156"
"1.1.1) DLF-3B SYSTEMS - NonOrganic","","","","0.000","22.926","","4.37","18.556","","","","","","","","2","11","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8a5b216f48b4a2bb189da9afe6906659705238df-0-c672349c252ded2894b70c247a65b06d115b821d","8a5b216f48b4a2bb189da9afe6906659705238df","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8a5b216f48b4a2bb189da9afe6906659705238df-0-4a7babb45e8c78ed61cd762179b3b2b95decea63"
"2.2.1) INSTALL EQUIPMENT N/R - Organic","","","","0.000","4.061","4.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-6b320ba8ac72883a68141e3f989128f0abfeaf37","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-4dc6f25099ec3c7d08455d5032698a37ed25137a"
"2.2.1) INSTALL EQUIPMENT N/R - Organic","","","0.2","0.82","2.022","","","0.2","0.2","0.2","0.2","0.2","0.202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-86393afc45b52a90e0f5a353332de6c80348b9bc","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-bf6093db35b8ba0011cdc24817c6fbb2721caf03"
"2.2.1) DDS (MDTU) - Organic","Nomenclature changes to reflect actual kit type.  DDS - In FY 13 due to a Program Office decision to accept the risk of going on contract for the production of DDS units prior to the completion of Flight Test, a software update is required due to deficiency reports generated during test .  This Correction of Deficiencies will allow the recording of Launch Load events and Roll Acceleration for use by NAVAIR Structures component lifing.  Due to delay in contracting actions requirement slid from FY13/14 to FY14/15.","","0.45","0.000","1.25","","0.1","0.7","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-8548f9feba9627b34c94a4217ba67af36779a94f","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.2) DDS (WIRELESS) - Organic","Nomenclature changes to reflect actual kit type.","","2","0.000","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-1-2d2f09e94a846c48c660bdcf3782b041a9fbfd52","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.3) GINA ECP-5007NG - Organic","Increase in FY13 was for Software update for GINA required to correct mis-compare/loss of velocity vector, improve mini-bias, update magnetic variation coefficients and modify plasma starts.  These corrections were necessary as a result of an Engineering Investigation that was conducted in 2012 to address Fleet Issues associated with Carrier Qualification detachments.    Increase in FY14 based on delay in contracting actions and receipt of Rough Order of Magnitude (ROM).","","","0.000","3.5","","2.5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-2-1d725ea02dc8d18cdbd4f11b62ffa25a859d9070","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.4) MDP Software - Organic","Increase in FY15 based on receipt of Rough Order of Magnitude (ROM).","","1.6","0.000","4.058","","","1.358","1.6","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-3-9965a6f0485fdc5bf7b318d5a5bb80a9df9c810e","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.5) JMPS - Organic","","","","0.000","3","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-4-9e3f7159d9b14e2c432252c608444f1e120ff2d1","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.7) DMSMS ECPs - Organic","","","","0.000","6.07","","","","","","2.914","3.156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-5-9e89ad232c2cb51134a4e80b67504a38b8e4c13d","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.9) MFCD - Organic","New cost element due to step ladder pricing and the need to separately price the CDRLs. Increase from FY13 to FY14 due to additional CDRL requirements.","","0.132","0.000","0.378","","0.115","0.131","0.132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-6-e405ea5f83bb9da8c9eef475393ddc04cd7e6a27","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-49a2b5f840904f5d3154f0a12bae8000afc7bd1b"
"2.2.1) Non-recurring Engineering - Organic","","","","0.000","14.165","12.791","1.374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-df2cb830d2e121b99bac217015fc155d1b635bd0","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-558192e531010c3993faf299a7ec20888f1f45a6"
"2.2.1) RASP MDP Software - Organic","Increase in FY 2017 due to software changes and test for ADS-B. Increase in FY 2018 due to Correction of Deficiencies for ADS-B and addition of RNP-RNAV","","","0.000","12.704","","","","","1.1","4.6","4.664","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-34c2a8b5e608feecb615b24cc946bd7e55352549","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-b3fdedd495492d3f9e0580ceb41cc240fcf38a5d"
"2.2.2) B Kit N/R - Organic","Increase in FY 2017 and FY 2018 due to Systems Engineering Technical Review (SETR) events, corrections of deficiencies, and LRIP.","","","0.000","14.334","","","","","2.847","5.06","5.114","1.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-1-8b3be182d72ef50ebabc74c6c623da293b2aaecf","8baaade0ac9c16ea11a12e5d1e01a3e76af882db","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8baaade0ac9c16ea11a12e5d1e01a3e76af882db-0-b3fdedd495492d3f9e0580ceb41cc240fcf38a5d"
"Mission Processor Non-Recurring Engineering","","","0.6","","8.586","0.203","1.445","0.276","0.6","0.2","4.137","1.725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-4fc18c9c46077db7295683c3c9e5638aa560b5f3","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-4409ec47d7274099887631e06d5391374d1e4277"
"Spares","","","4.125","","5.72","","","","4.125","0.4","0.6","0.595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-1-cf9b0d28d92fd1dd837a7181f43b2049b58be323","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-4409ec47d7274099887631e06d5391374d1e4277"
"CAAS Block Upgrade Non-Recurring Engineering","","","0.3","","0.6","","","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-09861bfaa01724ab96ea9693488682ef2270fd75","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-2-17e177605f98ed1fc93d9595b4b26f3325d3b278"
"HD Video NRE","","","0.8","","0.8","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-5c8d1a5ccd65a6e2bb93bda44bab9643bbb7f36c","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-a6431a98487fa6813801ce2f5980f9595da68287"
"B-Kits","","","2.48","","4.16","","","","2.48","1.36","0.32","","","","","","","31","31","17","4","","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-1-b33088ce66415e538989e6c00914730f44faf1b4","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-a6431a98487fa6813801ce2f5980f9595da68287"
"2.2.2) Non Recurring Engineering - Organic","","","","0.000","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90ac7252f224abb7f3748ec2fa80ff893b2cb60e-0-9229fca22261b5d6a6bbccceea5118464ccb8b63","90ac7252f224abb7f3748ec2fa80ff893b2cb60e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","90ac7252f224abb7f3748ec2fa80ff893b2cb60e-0-6199487cc070f3ce4cf8b32824ea3c371dca76fc"
"2.2.1) Inactive OSIPs - Organic","","","","0.000","46.1","46.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90ac7252f224abb7f3748ec2fa80ff893b2cb60e-0-badd1ac8758323c78d0ec9ed5dd255c9b593ae05","90ac7252f224abb7f3748ec2fa80ff893b2cb60e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","90ac7252f224abb7f3748ec2fa80ff893b2cb60e-0-94aa288a21c2122753f1c3c119be46ee324c4b94"
"2.2.1) Installation Equipment N/R - Organic","2.2.1 Non-Recurring Engineering (NRE) amounts fluctuate per fiscal year due to changes in upgrade efforts planned for each year. The number, type, and complexity of software / firmware upgrades planned each year determine NRE costs. Increase in FY15 reflects a full POD software Operational Flight Program (OFP) update and integration rather than minor firmware update.","","5.533","32.426","50.648","9.953","","","5.533","1.004","0.407","0.618","0.707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912af90bcb75ead47704de8b33510d5b2f836189-0-d5a93a0d02499d26aeb1d21aa8d88870b5d7fe66","912af90bcb75ead47704de8b33510d5b2f836189","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","912af90bcb75ead47704de8b33510d5b2f836189-0-ef92f4c74d3905a9fce378adfa1f81a9f0cbcb41"
"2.2.2) Installation Equipment N/R   (OCO) - Organic","2.2.2 FY13 NR has increased due to update from actual NRE Software proposal.","","","0.000","29.228","23.994","2.761","2.473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912af90bcb75ead47704de8b33510d5b2f836189-1-42d77cabab6a0240513c964a74fe435d50bb5cd6","912af90bcb75ead47704de8b33510d5b2f836189","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","912af90bcb75ead47704de8b33510d5b2f836189-0-ef92f4c74d3905a9fce378adfa1f81a9f0cbcb41"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912af90bcb75ead47704de8b33510d5b2f836189-0-a01322c35bd936dbd69a7f5c4ae29920e8606f2c","912af90bcb75ead47704de8b33510d5b2f836189","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","912af90bcb75ead47704de8b33510d5b2f836189-0-cbdd0f1b6848d0b5a10d48288435244aca2a3d78"
"2.2.1) Installation Equipment N/R - Organic","2.2.1 NRE will fluctuate due to mix and complexity of RMP ECPs being written and verified in each year. All ECPs do not require the same level of NRE.","","2.056","0.65","23.984","11.36","6.326","3.44","2.056","0.075","0.077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912af90bcb75ead47704de8b33510d5b2f836189-0-22b86c82300058b888b349f135d79c347a9e1028","912af90bcb75ead47704de8b33510d5b2f836189","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","912af90bcb75ead47704de8b33510d5b2f836189-0-62274a447381772a82a729dd47b9772304703198"
"2.2.2) Installation Equipment N/R (OCO) - Organic","","","","0.65","7.983","","","7.333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912af90bcb75ead47704de8b33510d5b2f836189-1-b236ed734de92a8851b4555de55241e1fd8488c0","912af90bcb75ead47704de8b33510d5b2f836189","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","912af90bcb75ead47704de8b33510d5b2f836189-0-62274a447381772a82a729dd47b9772304703198"
"2.2.1) Installation Equipment N/R - Organic","The installation equipment N/R cost are based on the mandates that are required each year for each aircraft. The installation equipment N/R cost is not based on the inflation factor.  It is based on the complexity of the block upgrade requirements anticipated in the mandate which will be more complex and costly to install depending upon the aircraft configuration.","","","1.775","6.069","3.283","0.08","0.631","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92100230ab4a7f834cf074fd3ba58fd1772772d4-0-71a9cc32da7fe805cb966760a2f75fd256579443","92100230ab4a7f834cf074fd3ba58fd1772772d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","92100230ab4a7f834cf074fd3ba58fd1772772d4-0-8e3333c52c7ecae8b74002b4fc679df7fe172d6b"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","44.091","44.091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949ce5ba389457c7cdeac49897c87b598ddd8db9-0-f9e748da8962391ea450cffe8029164a5d8fa520","949ce5ba389457c7cdeac49897c87b598ddd8db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","949ce5ba389457c7cdeac49897c87b598ddd8db9-0-f8879b67a26aa68648bb261a41cb9d2237990c47"
"2.2.1) Install Equipment N/R - Organic","","","","0.000","3.05","3.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949ce5ba389457c7cdeac49897c87b598ddd8db9-0-0782e7af4002ca42d01ad892b8203d28340e9031","949ce5ba389457c7cdeac49897c87b598ddd8db9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","949ce5ba389457c7cdeac49897c87b598ddd8db9-0-36b223068cedff5bfecbae05f02f922739563658"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","3.148","3.148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-aa0ac2e16c4c4e8e554cebd9788ef5a279cf6df4","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-a9e1cccb611a97dce7bea45c03233d17e0b9eda0"
"2.2.1) MOVING MAP INTEGRATION - Organic","","","","122.766","122.766","","","","","","","","","","","","","","","","","222","222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-d9ef56a50caac8cc1bcd195a5560bfd7db03c6cf","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-a740b0d24f11f1b8819d409b59920abc29d1307b"
"2.2.2) INSTALLATION EQUIPMENT N/R - Organic","","","","0.000","23.825","9.582","","6.243","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-1-02acaa70d48e1754d35ad4521a3c3d2f3ed56620","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-a740b0d24f11f1b8819d409b59920abc29d1307b"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","3.008","","1.852","","","","1.156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-f2bf1304685606a34170f32b1310e965c35b3dfd","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-d7109094f0a5d7dd3643e0eecb7c63ae4c744bff"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","1.817","1.817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-4f4cc29bdcfca4564daaec42adc19ace59e26197","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-de9eb5f7c35fd0b6797d275f81d882bf163b3950"
"2.2.1) Avionics Replacement B Kits - Organic","","","1.708","0.000","3.782","","","","1.708","2.074","","","","","","","","3","3","4","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-16c3988a78588db75e4ed0b7c02ed28dd4f5c5c5","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"2.2.3) Helo Trak Net NRE - Organic","","","0.454","0.000","2.124","","","1.207","0.454","0.463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-1-7eaf8ab5ab8b02d62640aaa1ef23d6adc7efe992","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"2.2.4) ACRT NRE - Organic","","","","0.000","1.275","","","1.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-2-4a6fd2406d374dffc2150d4d52dfe40e3c1a0220","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"2.2.5) CAP NRE - Organic","","","","0.000","0.774","","","0.774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-3-d354fc781b6d8105c129050e2f130f438c0c9e34","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"2.2.6) MH-60R/S Obsolescence NRE Phase 1 - Organic","","","3.9","0.000","33.64","","","2.2","3.9","5.7","9.7","8.5","3.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-4-ee28ed77a86da8440ca1b30a7201748688ade993","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"2.2.7) MH-60R/S Obsolescence NRE Phase 2 - Organic","","","0.5","0.000","0.5","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-5-3c8b7ab469913a7f9461215da3e198de31ce625d","9a6bf3c66da8d345bdc9599f50a979b20181f7cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9a6bf3c66da8d345bdc9599f50a979b20181f7cc-0-b5fd6128befff91bba42a2abd7207024876b491b"
"1.1.1) Block 1B Baseline 2 Radar Upgrades - Organic","FY14 Install - reduced install cost ($1.040M) due to RUG kits being installed into mounts at the contractor facility.  Increased RUG kits procurement by $1.040M to account for YIGAMPS.","","37.023","0.000","191.256","71.422","35.4","36.468","37.023","10.943","","","","","138","38","38","38","38","10","","","262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a14fa38813d173bf2ecd91593a5554f4b069e7d1-0-f7af3e875d5bbceebcfcaf66ec1992335ea7364a","a14fa38813d173bf2ecd91593a5554f4b069e7d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a14fa38813d173bf2ecd91593a5554f4b069e7d1-0-f737126d0e10467cec5070d94fbc0a6633095ff8"
"1.1.1) CIWS Block 1B - NonOrganic","Increase in FY15 is for Block 1B systems for WMSL 756 and 757.","","5.7","0.000","505.717","500.017","","","5.7","","","","","","237","","","2","2","","","","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a14fa38813d173bf2ecd91593a5554f4b069e7d1-0-72975578f14c4094114b89953501fad0e148625d","a14fa38813d173bf2ecd91593a5554f4b069e7d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a14fa38813d173bf2ecd91593a5554f4b069e7d1-0-457775b0903053af71f03f8c7dd230914a9eeef9"
"1.1.2) Modification Kits CIWS Block 1B Conversion and Upgrade - Organic","","","5.261","0.000","464.686","459.425","","","5.261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a14fa38813d173bf2ecd91593a5554f4b069e7d1-1-86778d249ada6a5560c6af8f0db69598e8ba333e","a14fa38813d173bf2ecd91593a5554f4b069e7d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a14fa38813d173bf2ecd91593a5554f4b069e7d1-0-457775b0903053af71f03f8c7dd230914a9eeef9"
"2.2.1) Installation Equipment N/R - Organic","","","","0.000","6.661","0.422","1.358","4.881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aae3c2e4152895818efe18e4c6be9f238911904c-0-68f165253b8dc4c8fe215cc08601e551962b1cb4","aae3c2e4152895818efe18e4c6be9f238911904c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","aae3c2e4152895818efe18e4c6be9f238911904c-0-36ad4183ce17e719125678122bd145004bac9132"
