"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Cockpit for FY15 EOQ/Long Lead","","0","1","2.25","1","5.3","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-5-b6c69128219e810b41d88bcd42a53dc884abcc0c","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"A/C Misc Avionics","","0","0","131.031","14.11","8.093","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-6-84b9ac6fffecb35a6e5b535f5eef79b56455b5fb","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Other GFE","","0","1","32.177","","","","","","","","","","","","","","","698308f0d687528965ab4f756c615cb9a9226be8-0-11e7b36a5b01c852b8a5c490b004dc3c4f8a5dd7","698308f0d687528965ab4f756c615cb9a9226be8","root.record.ItemExhibitList.P5Item","698308f0d687528965ab4f756c615cb9a9226be8-0-fb3fe214be6258a4abb14610de178fea587d2649"
"JTIDS","","0","1","16.955","","","","","","","","","","","","","","","698308f0d687528965ab4f756c615cb9a9226be8-1-f2157e64c1d8ee9c1dbc842b944a19de91766c34","698308f0d687528965ab4f756c615cb9a9226be8","root.record.ItemExhibitList.P5Item","698308f0d687528965ab4f756c615cb9a9226be8-0-fb3fe214be6258a4abb14610de178fea587d2649"
"Engines","","0","1","14.9","","","","","","","","","","","","","","","698308f0d687528965ab4f756c615cb9a9226be8-2-ed3f1343317a6bbf3fbbac69003962fd375c59c8","698308f0d687528965ab4f756c615cb9a9226be8","root.record.ItemExhibitList.P5Item","698308f0d687528965ab4f756c615cb9a9226be8-0-fb3fe214be6258a4abb14610de178fea587d2649"
"Other Government Furnished Equipment","","12","","14.624","11.762","14","28","4","","","","","72.386","Various","Various","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-710ef617a38a761d21d54c3003ed8353760f854e-0-5594e182784e503a4818d3245c84ee4acce5ac15","710ef617a38a761d21d54c3003ed8353760f854e-0-2b3ba927e637b620fd2a22a076edbd532f1e08c4","710ef617a38a761d21d54c3003ed8353760f854e","root.record.ItemExhibitList.P5Item","710ef617a38a761d21d54c3003ed8353760f854e-0-08d89d9fe6341ab23aec1918aa142f38ce3cb089"
"Engines T.L.","","0","2","289.04","","9.747","","","","","","","","","","","","","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-8c00f16f8c0c14d7c55f5f7cad336123fad22b82","7a99a0fb25b9c8f7e46000496a3051db1953b0ab","root.record.ItemExhibitList.P5Item","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-1146d03046feeccadef10349b6239b989bb3ced9"
"ALE-50 IMPLC","","0","0","19.15","","","","","","","","","","","","","","","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-1-5ab08d73f4661a90e4c3c943fe2b816ce8b14f6d","7a99a0fb25b9c8f7e46000496a3051db1953b0ab","root.record.ItemExhibitList.P5Item","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-1146d03046feeccadef10349b6239b989bb3ced9"
"GFE Other","","0","0","25.294","0.334","7.197","","","","","","","","","","","","","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-2-642ce525bc83c89cf0de7200ea13333bfe1dfb02","7a99a0fb25b9c8f7e46000496a3051db1953b0ab","root.record.ItemExhibitList.P5Item","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-1146d03046feeccadef10349b6239b989bb3ced9"
"Equipment","","12","","0.000","0.000","4","16","18","10","","","","48","Various","Various","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9bce669cb085deb46919d9a64da91bf99907b5fc-0-40d80603eec5915eed1bd305f0da1143b1cfeb12","9bce669cb085deb46919d9a64da91bf99907b5fc-0-584183f9f613eae07d4ed6f8414a00ca5059cfdb","9bce669cb085deb46919d9a64da91bf99907b5fc","root.record.ItemExhibitList.P5Item","9bce669cb085deb46919d9a64da91bf99907b5fc-0-57ee6d1a3c45d4d79d6429e4b5b68dd4b28f48b8"
