"Name_val","Name_@footnote","Location_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Oracle, Inc","","CA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-31566ec43c2f49715b47d6a8dc8079f767f2f3c2","","","","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-db4fca770fb4c284bc506d6c1a9d02d55dafb4fb","af5b2dca6598b8a12c85691dd6bc9f041af28eb9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-3-9bbf0f7d66b07078c0d72c0dde4d5a6ab85f68c3"
"Various","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-52317b02605b993fa0cd526090b20943262bb62a","","","","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-24df29ca7cc5947c591938375a0031fa061daa1e","af5b2dca6598b8a12c85691dd6bc9f041af28eb9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-4-138560c04d88f27e8120b74785802d8e086c6180"
"Various","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b3e70f9cf193e9c7be7b5c0670756357086cfe54-0-f7b21316790d4ff08957d43fbb3d8fa3e9bb9a09","","","","b3e70f9cf193e9c7be7b5c0670756357086cfe54-0-71ea599940d12c03bdf5f6ba16ee7cead678bdc4","b3e70f9cf193e9c7be7b5c0670756357086cfe54","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","b3e70f9cf193e9c7be7b5c0670756357086cfe54-0-9bf32b75a5385c289eea2e83d20ae2472581a0bb"
"Gov Convection","","Rockville, MD","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c4bca13264676bab032e04864ef91cc2e813ea54-0-5ba089687f0e7e8b6698deac1f39094a04674d9e","","","","c4bca13264676bab032e04864ef91cc2e813ea54-0-cf3c7c2ec19b7a40f58537f5fe1930fc3699b264","c4bca13264676bab032e04864ef91cc2e813ea54","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","c4bca13264676bab032e04864ef91cc2e813ea54-0-8f9a71daa36e7643b9b32bb794d0531e4cbd1342"
"Carasoft Technologies","","VA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c4bca13264676bab032e04864ef91cc2e813ea54-0-06e8ae69db97567dc6ed3d792bbcde529b982bb4","","","","c4bca13264676bab032e04864ef91cc2e813ea54-0-dc4804a562d21efa8f30e8e1692e88f9459ec866","c4bca13264676bab032e04864ef91cc2e813ea54","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","c4bca13264676bab032e04864ef91cc2e813ea54-1-78c3138b0a3dfb42cd3a365a441a944b0338a03a"
"Various","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-32fc395bd096776a669677ac7fc8338227faacb7-0-c0c28b0a64db67a9ddd01aacfb103811974b7139","","","","32fc395bd096776a669677ac7fc8338227faacb7-0-1f334d42ebcbcab80cd454b8bf1cbcc866d8d04f","32fc395bd096776a669677ac7fc8338227faacb7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","32fc395bd096776a669677ac7fc8338227faacb7-0-313bfb82b64f22aaeb8ff530b9f015ba4cd2256a"
"Oracle, Inc","","CA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a175b2d139490b2b18af5e9769af4e79837591fc-0-fd06a49e5e8d751790aebafccf5ff065d35d0bcf","","","","a175b2d139490b2b18af5e9769af4e79837591fc-0-9845fbca81b76bb4dfd2aa311311d432255cd3c8","a175b2d139490b2b18af5e9769af4e79837591fc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","a175b2d139490b2b18af5e9769af4e79837591fc-3-08bdefc277958c463b0e5196b1fa61c83911a6de"
"Various","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a175b2d139490b2b18af5e9769af4e79837591fc-0-8189a8b483adb595d00f1e224f00384b95da09ae","","","","a175b2d139490b2b18af5e9769af4e79837591fc-0-50761acfd15bdb67950e750f02b7212936eedb88","a175b2d139490b2b18af5e9769af4e79837591fc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","a175b2d139490b2b18af5e9769af4e79837591fc-4-bff344c14b3fa63f71fe2f339df8100912c4ad53"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b82838d22cfbf1da667ad790027d833a60a900-0-e6219597eb926c5bc66085b30bdae02b161583a5","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-ffa4235132f579bd256f8ad449a80badd498280e","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","a4b82838d22cfbf1da667ad790027d833a60a900-0-04339eb2147adc20a986477cee182fade46b7948"
"Dell","","Columbus, OH","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a4b82838d22cfbf1da667ad790027d833a60a900-0-28971faab1a75b8a49dc6ba7fd976348b26742d3","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-007c9ef3b245193102d75aa441c08a997de2f961","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","a4b82838d22cfbf1da667ad790027d833a60a900-0-54a5aeafd42874ea41959d9e326408c5da764823"
