"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0207224F","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-fd438208083ae46a5cff0baed3b304714faecc42","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-1-f282de2821b1d9981b2ac8478bb97e04830a3696"
"0207224F","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-422bc5e09b7789ae923092322ae9523296553e97","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-2-b5c4812a0848cca28f0ea5c885d5615e7f6a420b"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-6d393dc4631f85e045fb582df9d18dcaa729d6d8","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-0-146b9e6108c01fca677b139b92c53d25cfc7cdcd"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-bb29a196e5d1f10c4bf5b882e1c6065ad356f31e","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-1-c58e2541aee749dbaf74c2910a48ee37c345c182"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-518e7f1e9ed94b7f176329ffa550810da7ce494c","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-2-55efe25a6bd98dd77988320d2d61da24203575e1"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-1213a4363b0d297a1819b837accf1f3652843ad1","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-3-7f071a6dcaad845f275e6521b564784941e38403"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-64c94fcf596bbb4132f6b69f4fe4ab1d021bf63b","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-4-288af4639185fcec1de6260d0d76ba5938d4fc35"
"0101126F","7e2d504f272ea9171443be3dc9442a9576121741-0-88147a95c998eefff78c922cd186f4e9ebbbc1b8","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-5-841fc107b18fdf2116678c8ade2e250e5fa6e14d"
"0401132F","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-341c2cec44d810bd35baa48b2f64680d6b09daff","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb","root.record.ItemExhibitList.P3AModificationItemGroup","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-0ec44d8451c80681a5f6b1f70524f9b0d984f210"
"0303601F","d0c584f31e6951bf8391ccedb31e05542a53255a-0-ce8022dc68a9cf96e7bcf526eb1ae894fecf4b28","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup","d0c584f31e6951bf8391ccedb31e05542a53255a-0-3c2eb36d07196626423f3cf1a47c474d26dabbb4"
