"Name_val","LineItemNumber_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOneBase_val","Cost_BudgetYearOne_val","Cost_BudgetYearOneOCO_val","Cost_AllPriorYears_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","MDAPCode_val","P1LineNumber_val","P1LineItemNumber_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Virginia Class Support Equipment","0942","9.645","3.38","6.343","6.343","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-1380694e5586239e6260a485933f94e53171751e","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-ef15c3c6c225f0b72f825d3ffbd59e2842c03c61"
"Strategic Platform Support Equip","0950","3.034","1.988","2.823","2.823","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-eac38b5249011abcbff2cd208a3e3bc33eb1e2cb","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-ef15c3c6c225f0b72f825d3ffbd59e2842c03c61"
"LCS Common Mission Modules Equipment","1600","0.079","0.315","0.832","0.832","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-0bf1cf7261912da9b7838151b4914ac2d05dbf0f","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-ef15c3c6c225f0b72f825d3ffbd59e2842c03c61"
"Surface Sonar Support Equipment","2130","0.603","","3.403","3.403","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-2403cf36557aff0cd2ac3a052df65dd59d1208c8","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"AN/SQQ-89 Surf ASW Cmbt Sys","2136","0.211","9.125","3.712","3.712","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-e13ffe40d8a55809146add09c1bc1e388a43c69b","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"AN/BQQ-5","2145","8.463","7.242","5.037","5.037","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-319e61e00aebb23473dd18b592f35158cb8eadf1","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"Submarine Acoustic Warfare System","2210","0.6","0.832","1.057","1.057","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-15956a299c9e1ff1d1f9101ee2bb9b61a8d35392","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"Surface Ship Torpedo Def (SSTD)","2213","0.097","0.28","0.276","0.276","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-4-ebfca4ce5a02a8e9b7ded348620a118a8508e4e5","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"SURTASS","2237","4.845","2.652","3.804","3.804","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-5-a854687606d257af11aeef060b0bc7a12f632f74","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"Minesweeping System Replacement","2622","0.529","0.488","0.956","0.956","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-6-e60dcd5b0939854f15b1546dbeb999e85eb2f82b","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"Shallow Water Mine CM Ship","2624","","0.171","0","0","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-7-c230ec68eb27f6fcc506c96a3aa4e3598c0c8d02","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9"
"Aviation Mine Countermeasures","4248","1.085","1.803","2.007","2.007","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-562527bdc48707e6202f36d033b1b793e8a8291e","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-6823ef881d38f56c332c4219540cbf2814200246"
"Ship Gun Systems Equipment","5111","","4.075","5.973","5.973","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-4441f6735bf2b3eecb0467ad765d421592a0d26b","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"MK-92 Fire Control System","5208","0.405","0.75","0","0","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-1cb8f394465efb737ee10d37db89aa2a7266fa10","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"Gun Fire Control Equipment","5209","1.608","","0","0","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-04718f8c7bd3db60d14f767cc1d6cb4233d202f0","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"Tomahawk Support Equipment","5253","","0.443","0.528","0.528","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-0e41c4d2e3d656075ebcb2eaef488085dbd23315","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"Strategic Missile Systems Equip","5358","2.93","3.4","3.452","3.452","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-4-af049890ef13605f259c9106ac4b5b721900f8ee","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"SSN Combat Control Systems","5420","0.393","0.493","0.512","0.512","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-5-b31d78900eb9973bb484535d1ea5a19c08582441","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"ASW Support Equipment","5429","","1.312","1.426","1.426","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-6-b09814b4c9f0ded309edbd7dce23ab9f4da56993","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"ASW Range Support Equipment","5455","1.291","","0","0","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-7-1eab852c52d1d14d74dfab52dcc1e9647d38cdf5","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047"
"All Other OPN","9999","0.194","","0","0","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-3c17012aad0506ca465f97523767b954f7922e0e","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-4-b0c400d68d7c284c1d5d5493484cab4232960955"
"Spares for 6K Cog","9710","13.798","4.56","6.522","6.522","","","","","","","","","","","","81674861911f26048d44159c18e66de20a859029-0-a77a783e2f34771580ea2ebeb03effaff50e9f81","81674861911f26048d44159c18e66de20a859029","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e"
"Spares for Adversary","9711","0.863","1.266","1.336","1.336","","","","","","","","","","","","81674861911f26048d44159c18e66de20a859029-1-6c06ee0f8e375be4a16806692077d56ce6907f93","81674861911f26048d44159c18e66de20a859029","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e"
"Spares for HQ Replenishment","9712","34.601","52.259","46.875","46.875","","","","","","","","","","","","81674861911f26048d44159c18e66de20a859029-2-ab7edbc7476b2c9d5282209ce9f0598876b64a8f","81674861911f26048d44159c18e66de20a859029","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e"
"Spares for AOA Repairables","9713","628.548","841.198","937.699","937.699","","","","","","","","","","","","81674861911f26048d44159c18e66de20a859029-3-82656d197c59029c3cf7dfffecea500aad99d699","81674861911f26048d44159c18e66de20a859029","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e"
"Spares for AOA Consumables","9714","58.85","56.71","60.385","60.385","","","","","","","","","","","","81674861911f26048d44159c18e66de20a859029-4-f803ef292979581dd3a9652c373c6af424d1329a","81674861911f26048d44159c18e66de20a859029","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e"
"AGM-65D Maverick","M65DAG","1.497","1.481","1.492","1.492","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-0-96108d4738e7f5ab5d0cb22a720ca865611b7884","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","4.561","4.767","0.496","0.496","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-1-9016aca62e3a2786a7b77291adce1b9112670901","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","3.488","3.44","3.484","3.484","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-2-38505adfe3d63b663d6535dc1b7ef4d64b88cdc5","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0.809","0.799","0.81","0.81","0","0","","","","","","","185","","","fccaf764137a38b237a13aaba544b926030cdb83-3-1e8ec01c63674ab0fe5fe4f71fb0d5275227b63b","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"AIM-9 Sidewinder","M091","5.435","5.275","5.242","5.242","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-4-636b36fb3294899e33ca58ead376b14ea210ef53","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"AIM-9 Tactical Air Intercept Missile","M09HA1/MO9BAI","5.403","5.445","5.513","5.513","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-5-ac5d9faead8731f57f411cd86fb0f2510638fbc6","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"Arms Control Implementation","M30MLG","0.593","0.695","0.692","0.692","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-6-c1a5ea8904e6fdb32ba8df2da1699a1715f55778","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","40.261","40.538","23.857","23.857","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-7-6030f7bb08a127a9b2b9117bb3c6339a1b51228a","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"Predator Hellfire Missile","PRDTA2","0.299","0.296","0.294","0.294","0","0","","","","","","","","","","fccaf764137a38b237a13aaba544b926030cdb83-8-2959f4e759843cd94d3671129b2cd80f20adb833","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"Small Diameter Bomb","SDB000","8","7.913","3.237","3.237","0","0","","","","","","","439","","","fccaf764137a38b237a13aaba544b926030cdb83-9-e19db82f6e8d45c5a698e0d9cb0e99a996dc875b","fccaf764137a38b237a13aaba544b926030cdb83","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec"
"Sub Periscopes & Imaging Equip","0831","","2.513","3.901","3.901","","","","","","","","","","","4","896eddfc2b1fae0032514767adac84c71d12acbc-0-101a999454fda2d8d463ebe802f2096aded39fad","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-0-8b754164c6c047837511ffec6b1cf51353f6454e"
"Virginia Class Support Equipment","0942","","3.199","5.029","5.029","","","","","","","","","","","10","896eddfc2b1fae0032514767adac84c71d12acbc-1-fac8019730af3f30bf6d52c86a79d0b53c4ca526","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-0-8b754164c6c047837511ffec6b1cf51353f6454e"
"Strategic Platform Support Equip","0950","1.012","0.585","0.528","0.528","","","","","","","","","","","14","896eddfc2b1fae0032514767adac84c71d12acbc-2-e01ef83eadb76161a66ec0a11c3bc11c8732012b","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-0-8b754164c6c047837511ffec6b1cf51353f6454e"
"LCS Mission Packages","1600","0.253","0.411","0.378","0.378","","","","","","","","","","","29","896eddfc2b1fae0032514767adac84c71d12acbc-3-5b84b63e02c0c5eadcc09851cc0c5a8d38806966","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-0-8b754164c6c047837511ffec6b1cf51353f6454e"
"Surface Sonar Support Equipment","2130","1.8","2.362","1.436","1.436","","","","","","","","","","","","896eddfc2b1fae0032514767adac84c71d12acbc-0-bbae29af46dc92d61feb7b3a8b5bdead3257bca4","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"AN/SQQ-89 Surf ASW Cmbt Sys","2136","3.962","7.047","2.678","2.678","","","","","","","","","","","35","896eddfc2b1fae0032514767adac84c71d12acbc-1-fcc87074e8eecdd9637be51cae58360325b78113","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"AN/BQQ-5","2145","5.899","5.636","8.281","8.281","","","","","","","","","","","","896eddfc2b1fae0032514767adac84c71d12acbc-2-f7636ab9cc61a1f70dc4226ac39a9ff101fb0cdb","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"Submarine Acoustic Warfare System","2210","1.456","0.757","1.292","1.292","","","","","","","","","","","40","896eddfc2b1fae0032514767adac84c71d12acbc-3-479e6daec0c139d578498a9fdc69280b3d83ffae","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"Surface Ship Torpedo Def (SSTD)","2213","","0.284","0.078","0.078","","","","","","","","","","","41","896eddfc2b1fae0032514767adac84c71d12acbc-4-da2e1c7ae26a28147ddc0b5e5981b7b6907999f6","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"SURTASS","2237","2.214","2.375","3.452","3.452","","","","","","","","","","","43","896eddfc2b1fae0032514767adac84c71d12acbc-5-f540df80878c12956e20328cc85913a78242e61c","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"Minesweeping System Replacement","2622","0.53","0.588","0.579","0.579","","","","","","","","","","","54","896eddfc2b1fae0032514767adac84c71d12acbc-6-129a1a0deb7ce22b6374992604966260f687314b","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"Shallow Water Mine CM Ship","2624","","","0.131","0.131","","","","","","","","","","","55","896eddfc2b1fae0032514767adac84c71d12acbc-7-d28849d8ea0dfc9f7863960a811e2592aa03e96b","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2"
"Airborne Mine Countermeasures","4248","0.687","1.093","1.1","1.1","","","","","","","","","","","103","896eddfc2b1fae0032514767adac84c71d12acbc-0-d5dfab6d05d1aa12f8bc9ea2ee71050d17fa2568","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-2-0cb7942c15b6ef638da3adf183bc39169b18188b"
"LAMPS MK III Shipboard Equipment","4255","0.006","0.006","0.006","0.006","","","","","","","","","","","104","896eddfc2b1fae0032514767adac84c71d12acbc-1-8f7dbb4a6ff5a6366ba910febbb12e050f411320","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-2-0cb7942c15b6ef638da3adf183bc39169b18188b"
"MK-92 Fire Control System","5208","1.126","1.06","0.564","0.564","","","","","","","","","","","","896eddfc2b1fae0032514767adac84c71d12acbc-0-e553f9abd8f5ea37fb9586371b0470240f1329b9","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f"
"Gun Fire Control Equipment","5209","","","0","0","","","","","","","","","","","109","896eddfc2b1fae0032514767adac84c71d12acbc-1-f79a9edb54053d1473e1645eaf88fe3b7aaaea25","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f"
"Strategic Missile Systems Equip","5358","3.641","2.815","3.348","3.348","","","","","","","","","","","117","896eddfc2b1fae0032514767adac84c71d12acbc-2-4cb2da2b3c5a259f4f9e7f84aec81494e2ca2127","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f"
"SSN Combat Control Systems","5420","0.567","1.019","0.555","0.555","","","","","","","","","","","118","896eddfc2b1fae0032514767adac84c71d12acbc-3-bd8649b7baadf4127ba248c44f49d5248af76cc5","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f"
"ASW Range Support Equipment","5455","0.666","0.944","1.368","1.368","","","","","","","","","","","121","896eddfc2b1fae0032514767adac84c71d12acbc-4-744ad364ebf6bd34126063a2cf8cdfafccf68601","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f"
"Physical Security Equipment","8128","","","0.381","0.381","","","","","","","","","","","151","896eddfc2b1fae0032514767adac84c71d12acbc-0-83049ab8593a79c11fcfd1c8812ce3165e10ef28","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-4-9b9a9252920f62dbe39771f7e8f5e73cd3f602d5"
"NAVAIR Replenishment Spares","9999","0.367","0.281","0.216","0.216","","","","","","","","","","","154","896eddfc2b1fae0032514767adac84c71d12acbc-0-92e90b05a92fdf05d2e63e85873fc2b8c84c7bba","896eddfc2b1fae0032514767adac84c71d12acbc","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","896eddfc2b1fae0032514767adac84c71d12acbc-5-005f3fcdb3c0cc8c992c365e8c640409922aff27"
"Spares for 6K Cog","9710","7.993","5.64","5.137","5.137","","","","","","","","","","","","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-7d4c272d40f9c180acc999f19c2eea2ab5f3eb07","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-91cadc89651d65474721328b96365f5225a6a4de"
"Spares for Adversary","9711","0.894","0.972","1.039","1.039","","","","","","","","","","","","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-1-07085c01ce70bb7317f28e8e6c18fb9179067a81","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-91cadc89651d65474721328b96365f5225a6a4de"
"Spares for HQ Replenishment","9712","25.21","38.833","44.94","44.94","","","","","","","","","","","","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-2-8234aa70bf48c79ec2e9e850f46f739f513413a4","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-91cadc89651d65474721328b96365f5225a6a4de"
"Spares for AOA Repairables","9713","638.389","672.296","529.513","529.513","","","","","","","","","","","","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-3-0c5321a155410b24e1f2f313926752fed2b91db3","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-91cadc89651d65474721328b96365f5225a6a4de"
