"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","","","","","15","3.38","15","3.38","5","0.938","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-c383caaa13571fe77113ad43e695db6964ae6ee7","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-848d5db9115d11013c94a3e366401a7598a311f7"
"Air Force Active","","","","","27","3.58","44","7.02","44","7.02","6","1.24","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-cf992fc9add4fb540fdb73531425fb44a076835e","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-91ce80c78f219458cedfa4192d5090907a6656f0"
"Air Force Active","2","50.711","2","41.522","2","49.942","2","24.013","2","24.013","","","","","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-34083312535ec1e4e38bb790c3a13c3ab27c47d6","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f81f7edc721f36ff59ffbe16e3e321f3fe816d90"
"Air Force Active","5","110.923","7","128.358","","","","","","","","","","","9282c1681681500f80124b54352c8721ab25cc67-0-989ec95a58890a479b1add802f12b671e8907571","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9282c1681681500f80124b54352c8721ab25cc67-0-85127af9bdfd8998da53f35c07f92da3d8106ccb"
"Air Force Active","","","","","2","4.341","21","17.098","21","17.098","","","","","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-76bd4166a2f7f56af8427f5dd01e453e45fa24e8","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0fedad4be96199188f97c3c9f3205d6c9792a237"
"Air Force Active","76","176.883","2","4.989","8","18.648","4","9.697","4","9.697","4","9.644","2","5.113","a28e603a31ab3a36341c9e22da942c39ec237c28-0-6fc606f42bbad93a3234f04ccf6322721634e7bc","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-ffccc20070b0af4545f67464f3cf8756c9396382"
"Air Force Reserve","1","2.207","","","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-e86ef84d85f27462f0c93bc81ef5dcf64e302377","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-ffccc20070b0af4545f67464f3cf8756c9396382"
"Air Force Active","","","","","5","0.684","6","0.847","6","0.847","","","","","a2dd7a746c8265451a4f23539e93186e32b71dde-0-8ac08b42bf22ca68979d40aeeb3cd5cd8359d9b1","a2dd7a746c8265451a4f23539e93186e32b71dde","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a2dd7a746c8265451a4f23539e93186e32b71dde-0-1e5b41cdbaeccc9477e298f9cf2096884dc6fbb4"
"Air Force Active","","","","","3","1.833","3","1.901","3","1.901","","","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-fc54d09485328cc3aa3c48ee6603b45e97206ec0","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-19572ed89b0b00e34d7b994196c7abab6774adbc"
"Air Force Active","10","0.000","5","0.000","15","2.08","4","2.87","4","2.87","","","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-34dbf85bd5a1d25505851668bffcf372ef47b631","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
