"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","7","16.635","7","16.635","10","20.15","10","23.258","9","21.995","5","13.973","","","1","2.629","3","6.857","","","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-680b39d688e069b36c199d5ad8e2ef5ce1d9fa54","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-a609c2b0244bad5358bfb7e44eb24fd3be5b8fa5"
"Air Force Active","2","1.9","2","1.9","6","5.7","18","3.55","18","3.55","18","3.6","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-9d66a4d220593df7d4ae411a57fda29014f182d5","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c3fcff8fac4b331ea8c52e1768d62b7ea3419eb0"
"Air Force Active","2","2","2","2","2","1.85","","","","","","","","","","","","","","","e6a0308838296a51cfadac2f82cd2894ae494d84-0-809303fb7af0d67c01dc0f2d9daa32c2f4274e90","e6a0308838296a51cfadac2f82cd2894ae494d84","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","e6a0308838296a51cfadac2f82cd2894ae494d84-0-586ae34960772a8cf3f7a136db85c9c4fc5cb0a2"
"Air Force Active","0","0.7","0","0.7","0","1.409","0","1.781","1","1.239","1","1.072","","","","","0","10.7","","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-a1709b55a45cd27ca0023148241d9a871464a9db","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","fb54e06467b731bf13ac60b5c589758d4131acbd-0-5053e2970b442747be133be3d320cc65695dd97f"
"Air Force Active","0","1.826","0","1.826","1","0.913","1","0.913","1","0.913","1","0.913","","","","","","","","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-e2121758552fce093b14be02986a3858563dfcf8","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","fb54e06467b731bf13ac60b5c589758d4131acbd-0-24192e78b10a8583381c236f347cc70089f050a8"
"Air Force Active","2","1.786","2","1.786","6","5.299","9","7.462","","","","","","","","","","","","","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-e8ef9513d5191ade8f8d9d640ecc172f85502b67","00d39061bb6cf1a3704c757ddeffe08ad768d434","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","00d39061bb6cf1a3704c757ddeffe08ad768d434-0-c2b8c132a0a24150eea01694fec4bb4b8db6baef"
"Air Force Active","2","10.321","2","10.321","2","10.464","2","10.673","2","10.866","2","10.866","0","2.296","2","11.35","2","10.287","","","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-0a16a3e3f8753bad3c4df0011c2d10ade5e68754","086f5258b19005be4593baa1c9cdf9eec7cd1cad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-02764f06dd5dac7f84fd40bff3e5d2ac0b721cce"
"Air Force Active","21","11.31","21","11.31","","","","","","","","","18","5.22","12","1.73","10","6.125","","","094b114b010621064be6b19ba691583e52d3c19b-0-73acc0970336e4ccf6c95c24fb59366c0292876d","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-d7cf395db8de33a0f1ebcab53b491a87966141fe"
"Air National Guard","","","","","2","2.75","6","7.92","12","16.1","","","","","","","","","","","094b114b010621064be6b19ba691583e52d3c19b-1-0c24015e239ae213ff4803b1d85b6ce39a0c1f95","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-d7cf395db8de33a0f1ebcab53b491a87966141fe"
"Air Force Active","23","8.9","23","8.9","29","11.4","31","12.3","9","3.634","","","","","7","1.865","24","7.726","","","094b114b010621064be6b19ba691583e52d3c19b-0-a3d0fca78b7dc977c12ffe0f2087eaadffc5c311","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-4bf1404c4b268ac938c37b53698de97282f2688b"
"Air National Guard","","","","","","","","","17","6.866","3","1.2","","","","","","","","","094b114b010621064be6b19ba691583e52d3c19b-1-d413e9ca17e4861585afd6679117591d040be0aa","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-4bf1404c4b268ac938c37b53698de97282f2688b"
"Air Force Active","216","47.557","216","47.557","274","43.68","336","41.887","203","22.126","158","45.735","158","71.912","797","58.727","619","65.724","","","094b114b010621064be6b19ba691583e52d3c19b-0-9e83137edfea7fb383421045472a520dffb54854","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-1c6e1a1f238793947c5da9a88f364782018896f6"
"Air National Guard","27","5.944","27","5.944","34","5.42","42","5.236","25","2.725","20","5.789","20","9.103","99","8.951","77","9.141","","","094b114b010621064be6b19ba691583e52d3c19b-1-58f902e46098b2f0b671ee20fd4fb4573fe9fe47","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-1c6e1a1f238793947c5da9a88f364782018896f6"
"Air Force Active","1037","0.596","1037","0.596","1313","0.686","1237","0.886","991","1.162","815","1.206","","","476","0.59","870","0.635","","","094b114b010621064be6b19ba691583e52d3c19b-0-78729f5a5576c0575a1a021eb74f3c513bf76af4","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air National Guard","90","0.052","90","0.052","114","0.06","108","0.077","86","0.101","71","0.105","","","","","76","0.055","","","094b114b010621064be6b19ba691583e52d3c19b-1-fc732c63abba35d1c4d8400e4583c16a9aa3bef0","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air Force Active","35","51.175","35","51.175","39","50.875","23","28.5","15","8.748","4","1.778","","","17","48.5","25","47.752","","","094b114b010621064be6b19ba691583e52d3c19b-0-96197625fad7390055b272f10b8fd9145d156e21","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-0bc814c3444c607c8362ab864516d645f34d3284"
"Air Force Active","10","1.114","10","1.114","45","4.264","14","3.224","14","1.803","14","2.15","18","3.329","14","1.55","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-fe13be57c4573ce41f5ae96ed1ceaac70c172523","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-feb7bee3935131e120307824ed2c3731205b4c65"
"Air Force Active","","","","","94","0.006","94","0.006","25","0.006","","","","","","","","","","","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-0-a2df8a495ed488cb0f884e148752fa921c236ac5","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1a0d86d16fb7c4fd2ff7b41ec7fcb180b0859473-0-87bd9a5ecf7d365ed9785055b8768b5149854939"
"Air Force Active","15","1.158","15","1.158","15","1.314","29","2.606","29","2.907","6","0.631","","","1","0.199","14","1.057","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-23d5bc79be00d6748edce72fd0b629310e5c6e30","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-d4717e656296001bd2e0e869de55b77daef8be8c"
"Air National Guard","","","","","","","","","","","13","1.367","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-44c0af553c157da01c76bd4dea33031b43c326d1","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-d4717e656296001bd2e0e869de55b77daef8be8c"
"Air Force Reserve","","","","","","","","","","","8","0.842","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-a47c2de733369b0f7ab880d81628d7caf3e6fa56","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-d4717e656296001bd2e0e869de55b77daef8be8c"
"Air Force Active","180","95.94","180","95.94","92","45.448","42","28.35","","","","","444","166.815","112","47.246","16","6.288","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-6fc62e8dd9bfbc44da4dda4b25a339a4a83903f9","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e2337f8f7b676fc0b108e359c5d0203ff4dd96aa"
"Air National Guard","8","4.264","8","4.264","56","27.664","","","","","","","16","6.917","","","16","6.288","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-4ab15b369c86564dcfc46d2109be9b63a5de42a1","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e2337f8f7b676fc0b108e359c5d0203ff4dd96aa"
"Air Force Reserve","","","","","21","10.374","24","16.2","","","","","35","8.581","","","8","3.144","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-2-42558b67300e99a7385874648850aa45dccbcb07","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e2337f8f7b676fc0b108e359c5d0203ff4dd96aa"
"Air Force Active","2","0.292","2","0.292","38","2.962","33","3.238","33","3.27","33","4","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-8dbd43432e7ca03d361863892d6ca47e6599ec34","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-8a88b70e5d09e6748a58faff450f9515fdf1cace"
"Air Force Active","","","","","2","5.6","2","5.211","2","5.298","4","10.712","6","16.071","2","5.134","2","4.656","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-c1de32c6592e2cd8675fa3ec0272cb0d99b0506e","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-ae161b717324266a5e922e230bf8a530b36f50c8"
"Air Force Active","","","","","2","13.345","2","14.877","2","15.099","4","30.471","4","30.39","2","14.533","2","11.941","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-c421febe19727b446c06f370729e47ce8d6d4672","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-59f33e7be084d5eb9f837d7f8b7efc57fa8f11bf"
"Air Force Active","9","0.204","9","0.204","20","0.452","6","0.135","21","0.466","","","","","2","0.045","9","0.204","","","21b292cf6c6abee07374aa359f4f727f23b5accd-0-9bf7e072fa80ff8c6034b03d95b0e1c648340148","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-d2630182cae71164487209c59da8d3abe2bdc0ee"
"Air National Guard","9","0.204","9","0.204","","","","","","","","","","","","","8","0.181","","","21b292cf6c6abee07374aa359f4f727f23b5accd-1-efba4e96afc83e413ff793d79347ca6e572d5c30","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-d2630182cae71164487209c59da8d3abe2bdc0ee"
"Air Force Reserve","7","0.158","7","0.158","","","","","","","","","","","","","8","0.181","","","21b292cf6c6abee07374aa359f4f727f23b5accd-2-66ae7b60924fbdcd9b279fc175ebfc2fe98a8b98","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-d2630182cae71164487209c59da8d3abe2bdc0ee"
"Air Force Active","6","0.3","6","0.3","10","0.5","10","0.5","8","0.4","5","0.25","","","","","28","2.7","","","21b292cf6c6abee07374aa359f4f727f23b5accd-0-f475b57875ce3f0b16f0bc1a7ec9b391a95b7070","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-3c742b94b8395a30ac221d8da2b4f18316200271"
"Air National Guard","5","0.25","5","0.25","5","0.25","7","0.35","","","","","","","","","","","","","21b292cf6c6abee07374aa359f4f727f23b5accd-1-e266808a728416dc7792d330aa3d5b97accd9e20","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-3c742b94b8395a30ac221d8da2b4f18316200271"
"Air Force Reserve","5","0.25","5","0.25","5","0.25","5","0.25","","","","","","","","","","","","","21b292cf6c6abee07374aa359f4f727f23b5accd-2-d1029c84a7944d6d1b152d70a8515210a5d97293","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-3c742b94b8395a30ac221d8da2b4f18316200271"
"Air Force Active","49","3.16","49","3.16","73","3.198","115","5.824","138","7.781","125","5.474","","","","","6","1.038","","","243848b289cde74724b57b7a20a2699c5b50464b-0-c3faddc52dc27e7674a334262a0364f0ef23d89c","243848b289cde74724b57b7a20a2699c5b50464b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","243848b289cde74724b57b7a20a2699c5b50464b-0-403440a884b75ab10f01eb55dfa1c4c840d5ff8e"
"Air Force Active","2","33.942","2","33.942","4","53.765","5","52.095","4","44.813","5","49.887","0","6.339","2","44.107","2","46.652","","","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-677d603758e5a982141c5075f0d0f29f9af717f4","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-e040a7f5e7f81d2e699a0dc75cca1a460f9c4002"
"Air Force Active","14","1.069","14","1.069","","","","","","","","","","","14","1.05","14","1.047","","","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-37aa2b0f95191bd98c09d255874f15e5c839146a","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-4298eea71786d0a2a50102fa1cb8c39a0411b1b8"
"Air Force Active","1","0.1","1","0.1","1","0.075","1","0.075","1","0.075","1","0.075","","","","","","","","","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-f74e55f1ed51c80856f5cdddce79cbab67777090","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-7db87f2935140eb6a2130ba31bc9f345a20ddb96"
"Air Force Active","1","1.519","1","1.519","","","","","","","","","","","","","1","0.16","","","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-fd4a9ce33ebdbf73e33aafe023b1625b52d729b2","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-0c6602321d8830ca9fe8a671b242359a13428325"
"Air Force Active","10","1.349","10","1.349","40","5.511","0","0.000","","","","","","","","","","","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-2e072c94c5b55c12965ae2e020566451ed02d0ff","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-5bc5f9f96a3cc853f48b2fd469cf8e0d69b768f1"
"Air Force Active","","","","","2","0.3","2","0.2","2","0.2","1","0.2","","","","","","","","","59be73e034389a010dbcc3a981c4115536ebaee8-0-7be969dba95435aeb0b9c38aa168c180c272ff58","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","59be73e034389a010dbcc3a981c4115536ebaee8-0-e19815e12c4eb441b2a45a793c36a0e9e4754dc7"
"Air Force Active","1","0.6","1","0.6","1","1.804","1","2.053","","","","","","","","","1","0.606","","","59be73e034389a010dbcc3a981c4115536ebaee8-0-d1e83097b8625f25fdac1cc19c26292e7c28bbd7","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","59be73e034389a010dbcc3a981c4115536ebaee8-0-6fcc691c8c673a6951fca7ff56273e1350e87a2d"
"Air Force Active","12","0.000","12","0.000","8","0.000","6","0.000","","","","","","","12","0.000","13","0.000","","","774511d4a3470732389a6f7ea6920e28e9168865-0-52745e0a22c0b8a073d6e245eeaabe4cc36e18f0","774511d4a3470732389a6f7ea6920e28e9168865","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","774511d4a3470732389a6f7ea6920e28e9168865-0-40f19cc2024b23cd0f5c3868e8257f5abaac194a"
"Air Force Active","9","1.804","9","1.804","32","5.969","24","4.317","27","4.812","16","2.356","","","","","","","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-0952aea9607f8a45d9a647272e1b09069f77bb7c","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-97d8b3e5a53afb67045b9f7690246c3def54a845"
"Air Force Active","","","","","12","6.265","12","6.458","12","6.658","12","6.863","","","","","","","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-928e63da549c40a99507287452cef2666fd0b72e","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-744a1e279e0d2ce8f8c0028ce3e0b23f6bcb0ecc"
"Air Force Active","20","7.469","20","7.469","32","6.908","32","4.548","26","3.243","0","0.42","","","","","0","0.098","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-bdadc43a22f77d74679ce22e0ce061045191a5b1","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-b993e931a33d166440712ecfdcaacdc9bc234c8a"
"Air Force Active","49","2.209","49","2.209","","","","","","","","","","","","","45","2.028","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-166eecf683d7130aece85740d2179ce31420c6c6","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-e9a748cfff9001299012c578f14663b09c9f9a32"
"Air Force Active","35","5.412","35","5.412","42","5.642","1","1.11","","","","","","","","","","","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-2060c219f4b157afec816225f88fd771519582ea","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-5159712a36953d7f389cebcafe5637e33a95bd84"
"Air Force Active","","","","","","","5","0.244","20","0.931","20","0.959","","","","","","","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-8513f4ae73d7eec101867f195db23703acc1fd5d","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-55a1ed9bcbf7cf7db47e3b813bddf80afa7985ec"
"Air Force Active","57","2.679","57","2.679","6","2.659","61","2.143","","","","","","","","","106","8.343","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-aa2362949f0712b31c83462a9101b8f31f917cab","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-58d3063b504a9c5b1c355f406038f614677b1799"
"Air Force Active","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","","","1","0.000","1","0.000","","","81fec39e367b83589f17cef5412d90681667d36f-0-fde95796adbe249221f5d2784a6c9725f0bd3f7f","81fec39e367b83589f17cef5412d90681667d36f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","81fec39e367b83589f17cef5412d90681667d36f-0-a22e2ebb3a88fc6097477faee69e2eb656714e05"
"Air Force Active","13","33.839","13","33.839","4","10.292","4","10.803","1","2.709","1","2.754","55","129.871","12","26.481","6","14.539","","","8c8ae26141464ecd714278ca073e0e9447d4198a-0-a39e3981dbcc73d5ca790113ccc5756181edbddb","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-794bc233f75f5704132fc6245f185c412ca22411"
"Air Force Reserve","","","","","","","","","2","5.711","","","","","1","2.207","","","","","8c8ae26141464ecd714278ca073e0e9447d4198a-1-259b4b71f7027aab3de61bafc5316acc7361b3fc","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-794bc233f75f5704132fc6245f185c412ca22411"
"Air Force Active","","","2","0.9","","","","","","","","","","","","","","","2","0.9","8c8ae26141464ecd714278ca073e0e9447d4198a-0-91f65fdd20d3d6d746e0359c514dbf9a9d922347","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-ee22d76327bf6c5fb49ab76ca7f30864a7125ed8"
"Air Force Reserve","","","1","0.5","","","","","","","","","","","","","","","1","0.5","8c8ae26141464ecd714278ca073e0e9447d4198a-1-e79efd3973ac417d600219eead6fba8a6fdb091e","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-ee22d76327bf6c5fb49ab76ca7f30864a7125ed8"
