"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","","","","2","1.2","1","0.6","","","","","","","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-1-80133004aaed0f570b448e8b9c787315ce97fc8f","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
"Air Force Reserve","","","","","1","0.6","2","1.2","","","","","","","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-2-2dda1bc471ca1c2b9336d66914e2190458213dba","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
"Air Force Active","7","4.5","7","4.5","7","4.905","5","3.27","3","1.5","3","1.527","","","","","","","","","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-e337c73c2db1b141b4f29393337e88db8a2b257f","0f62486a86689d13a2561e5c4624b5c569c1eda9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-8e29950488f30c249c39d13e9ad5a5148e0d25b4"
"Air Force Active","8","1.596","8","1.596","8","0.794","6","0.398","","","","","21","12.474","17","4.667","4","1.125","","","159534d0b57648a4377405fd524fece23ff28718-0-9b8329f9f3cb6b891476de83573cefe05b420e9a","159534d0b57648a4377405fd524fece23ff28718","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","159534d0b57648a4377405fd524fece23ff28718-0-12b97abbcc135ac27f1d11105c6eea73a923b0b2"
"Air Force Active","1","4.05","1","4.05","1","4.05","","","","","","","","","","","1","3.95","","","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-8400cb384266227bf0077028c08845914b29f2c6","2146b39417826335bc8c06e6e86906e33c6d1dfd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-34fa183152b9d98e4341378196b584c5635ca38f"
"Air Force Active","24","0.012","24","0.012","24","0.012","23","0.012","","","","","","","","","","","","","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-eacc3897a48f3c039d2b68bc37f29cf4bfd111ac","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-b736666b5a4e7468098b5f43a0efa75ba9456ba9"
"Air Force Active","31","12.333","31","12.333","24","9.712","14","5.761","","","","","7","1.865","23","5.368","24","7.512","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-6748b97746a1694d71d5eb579c06921110f12121","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-a58090d8df482f202c96b6cd3be42b30f602a0a2"
"Air National Guard","","","","","","","18","7.407","2","0.836","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-dee63f54dfae60dc5cdeff12480e4620d5537d8c","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-a58090d8df482f202c96b6cd3be42b30f602a0a2"
"Air Force Active","1202","44.504","1202","44.504","1226","25.5","1009","27.83","964","21.553","806","17.578","955","124.989","619","63.446","441","55.726","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-fd6bc99a291a5b3c490238c8e3b60af51d4d7bdb","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air National Guard","211","6.905","211","6.905","212","3.999","25","0.601","174","3.291","154","3.234","119","18.206","77","9.141","60","9.319","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-46762fe05104ef19d769b49a4713174a002ca84f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
