"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","","0.64","0.64","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-fc8ecba41f9f14478346cfd65061004b883c68af","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-50-be13ab170a460d28c593988b2efee8bd23dcaab8"
"Air Force Active","","1.427","0.285","0.285","","","","","","","5","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-f6b6eb9208a87bd68ce5f341897b40e57b53506b","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-51-ec7335947879d7579203b3c97a44386f97dae1fb"
"Air Force Active","","0.085","0.042","0.042","","","","","","","2","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-ff32a6e27546c4c046be61100aaae2ebeffefed3","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-53-3ca845c5fd776301ea823f75a809eb2208588ae9"
"Air Force Active","","","0.106","0.106","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-bb05a464bb3b2a31ed732801231893a3ed4fcc13","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-54-35baf75e9c861f9a364f323f6cac7b8ee223ea15"
"Air National Guard","","","0.106","0.106","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-47c851b9d43ecd0d26c357a38c0ca9b481e139f6","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-54-35baf75e9c861f9a364f323f6cac7b8ee223ea15"
"Air Force Active","","","0.29","0.29","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-4897ee47b3dc332da88a4d1470101bcb432bb4e7","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-55-3e72213c0ef9927471f27fcb0555ba554addc4c9"
"Air Force Active","","1.167","1.167","1.167","","","","","","","3","","3","3","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-4f84d4e5c83c1681e6b6810c08695d5d07f31a79","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-56-f29ed63da3db66320b12e35edb0e0318da49e09d"
"Air Force Active","","","0.078","0.078","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-50ea8842a04245be54f0c86b9e8793bceb38191a","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-57-6ef2dee10f6b0dbe5a39376138eed1064cfb8fe0"
"Air Force Active","","1.057","1.585","1.585","","","","","","","2","","3","3","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-05213895ad5be199004a1d7f80b7cee18e6c0869","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-58-9c19ebca31b8c979f52ec3c43dc6802a2e627afe"
"Air Force Active","","0.476","0.173","0.173","","","","","","","11","","4","4","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-d72eb1dcfe7ef814c9133a34a14d11749069935f","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-59-e0d7ee3afd7d726b6662dcdf8fa85c61fbf0b818"
"Air Force Active","","","0.238","0.238","","","","","","","","","2","2","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-cb6a3537c5d10aa64bb5414f8aee04a109e14d55","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-60-860e6958df7e1ce85ecc9e51315451e8185731ea"
"Air Force Active","","0.624","0.624","0.624","","","","","","","1","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-4bb2527418700efa816e3157d35d12a774120daf","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-61-1cb1f4692dcce89d3a93779224c0db620245afa5"
"Air National Guard","","","0.624","0.624","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-42f159a259f5251c84799bec6127b8bd3fe30272","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-61-1cb1f4692dcce89d3a93779224c0db620245afa5"
"Air Force Active","","0.352","2.115","2.115","","","","","","","1","","6","6","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-68424c7e17e2471d0721242a61da96670007d2db","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-62-3fac756730895b22dc734e846fac718c6a9bf957"
"Air Force Active","","","0.512","0.512","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-0641239b709e5e910cbe53ddabc74f0e24217900","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-63-9758085ad08738ae9f86f02c3e4c89c269d7edaa"
"Air Force Active","","0.695","0.695","0.695","","","","","","","1","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-bcd88c22eb09581157a05584065a3f788116e22b","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-64-6b677bd8c9911ddf20e96481a6b35edd0ab9390d"
"Air Force Active","","0.196","0.196","0.196","","","","","","","1","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-cb5a7bc569d88bfc3ef1526e0375342f4aee933a","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-65-bfac98e350fc7b0d3b9b479f31c1b711e5d24c74"
"Air Force Active","","","0.266","0.266","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-2345a8b425267f2678edc7af8bbba33cef0570bb","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-66-5954bcff7690aeaacf8d9bc4e1715e352c83ef35"
"Air Force Active","","0.121","0.121","0.121","","","","","","","1","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-1ddaf583d24e7420e2071eb58fdbaa960fa4c072","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-67-6327bcb1b106d58cd6343487da23bcaaece564c9"
"Air National Guard","","0.242","","","","","","","","","2","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-849de2d1a0531537ebba7b75f8bec2ca25e5308c","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-67-6327bcb1b106d58cd6343487da23bcaaece564c9"
"Air Force Active","","","1.79","1.79","","","","","","","","","5","5","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-b0ab2d1ef82fec27041ffb6025504d84a90ab7d8","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-68-619e0919388bb16d50ddce039b12a0da6161a4da"
"Air Force Active","","0.2","0.08","0.08","","","","","","","5","","2","2","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-e151e1c17ebdb2c37716a8e2f10eb970387935ec","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-69-517a3efb92e83523d382c4e21333a0aac9b2b6af"
"Air Force Reserve","","0.08","","","","","","","","","2","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-402a4e22cc20dd5f0da542a3f987afe6990f16ac","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-69-517a3efb92e83523d382c4e21333a0aac9b2b6af"
"Air Force Active","","","0","0","","","","","","","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-f9ffc424446fcf2d6fa5b35475d037381933cd05","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-70-4cf99de134d938a95b39a395ce5b4f2533965083"
"Air National Guard","","","0.104","0.104","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-7a53f24ae18db265150129ed35355e2d1106b6c1","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-70-4cf99de134d938a95b39a395ce5b4f2533965083"
"Air Force Reserve","","0.104","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-2-bbb866241ee10ef5c9432e883f17a27d8b9a9154","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-70-4cf99de134d938a95b39a395ce5b4f2533965083"
"Air Force Active","","0.522","0.174","0.174","","","","","","","3","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-ce09e8a14bd07edbd1b49f730c7186f409d9259b","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-71-d14816f4dbfc5e7dee0ffe524f10fc149590c5d3"
"Air National Guard","","","0.174","0.174","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-bfd33f2ad80f51f5d25d8f73677cfd78107add8d","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-71-d14816f4dbfc5e7dee0ffe524f10fc149590c5d3"
"Air Force Active","","","","0","","","","","0","","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-cb3415dcf3a3ad45b618b8fe92e0a578698caa3d","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-72-2c4d82cd3d59e1fbf6566bddf17d0e1c14aebff1"
"Air National Guard","","","0.29","0.29","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-c9de8ce4d94d9c85d03f2284da810df9c0992975","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-72-2c4d82cd3d59e1fbf6566bddf17d0e1c14aebff1"
"Air Force Active","","0.501","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-1f44f3d1aa8ccea13e7fcf19101f274eece86d78","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-73-eebdb39b814d5a4a1e2aaaa0944d70758f808f59"
"Air Force Active","","0.611","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-c013295c3ab91fea31879224d1c416c023f596c1","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-74-b228e0e057f39c358298050496f230e8971b7a60"
"Air Force Active","","0.294","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-254dfda19e330b3d81f3f16463a05b3c14ca7181","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-75-af55f14b50098bfae6f36dca2cab3653a7313c61"
"Air Force Active","","0.033","","0.095","","","","","0.095","","1","2","2","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-42e881d4cc80b7a1bc80d470a638366c7f133936","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-76-c464d9230dd2e2dbb36e0c0f63e530c379271913"
"Air National Guard","","","0.036","0.036","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-cb485d3d2cba9f006c4203cbdb29cc2732546d48","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-76-c464d9230dd2e2dbb36e0c0f63e530c379271913"
"Air Force Active","","0.266","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-7bcdb145f7c00449e47bbbebb69bc687bbd4b238","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-77-3ff8a5bfcdf861bbeef8a359b84de98b0f6a0514"
"Air National Guard","","0.063","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-17eaf5ef1fdf3eade5cf03d1ac2b2bd30d8ecb7a","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-78-96871991450c00e71756abd0bb3b093fe74962a0"
"Air National Guard","","1.155","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-d065ae17633542bd031e3d2706dc36411d709337","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-79-d649b1a1452460c9964be835d0463087e6695833"
"Air Force Active","","0.274","","","","","","","","","9","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-4a875aa7063806e6dd7e52682b4d3ee32bd99a6a","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-80-06664a61fd9074e8267d05cdefb921f8d2d55f7a"
"Air Force Active","","0.874","","","","","","","","","2","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-81a6314234418dc9e6c4969883766179bceaa1fd","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-81-d5254c771e1336d470c222c5ed0d9bb71a619d77"
"Air Force Active","","0.264","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-8a0cdb3acd38084117f002f6ceb09cf9676f5585","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-82-7d1463aa63f26b4a4080a055fa0d76350a5b78a3"
"Air Force Active","","0.77","","","","","","","","","2","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-1e8413b139210c8761706c2ab938845c5149da30","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-83-aad4aac976c4d7e4687360a443cbbc248d6a3ccb"
"Air Force Active","","0.624","0.657","0.657","","","","","","","1","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-f2eef58226243355593dd277b4c9f306cd04ccea","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-84-4d12a7eb0690d2b0ce94d595e352dc48fd2ecce2"
"Air Force Active","","0.4","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-b0baa37e0870e3618a3c54a7acfd518ce1ae0268","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-85-a72b63aa14d736af69bf6dfd38982e085966bff6"
"Air Force Active","","0.554","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-7a294b193f4b7da34df9e1ae05e31b46c6d32fb3","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-86-476d21eb069815d114ebd5572e3b528987adf54c"
"Air Force Active","","0.492","","","","","","","","","2","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-46f1b71f0d4c3c3f2b0e34b55122f94b617fed86","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-87-d8ed5e1158984d57be68bddd31a91405973a8273"
"Air Force Active","","0.084","","","","","","","","","3","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-d94810dc99d3f23008ca34c7f1fda115a12ba8ca","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-88-62bd12abb3ee22caf245ff469049b1b7293b997f"
"Air Force Reserve","","","0.045","0.045","","","","","","","","","1","1","","","","","552a6429228e11211f02956a1ead2e35acd972f1-1-8b9ffbe8f96a1dc936b7d15b56f635ff8462efd2","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-88-62bd12abb3ee22caf245ff469049b1b7293b997f"
"Air Force Active","","0.139","","","","","","","","","1","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-b86426dce4624fdf09d7a70f2ea27c8018a1da1a","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-89-6e569fd203faeedaed7eb39c36b2237152d44154"
"Air Force Active","0.004","0.004","0.02","0.02","","","","","","","","","","","","","","","552a6429228e11211f02956a1ead2e35acd972f1-0-ba65b5e4fb426008274eb740c348f68f88c4d0bf","552a6429228e11211f02956a1ead2e35acd972f1","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","552a6429228e11211f02956a1ead2e35acd972f1-90-d663a85d6b5492542552dcf979b5633987d8c949"
"Air Force Active","10.014","","","","","","","","","5","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-80c22e85a8985fb2898f59f55b2941984eb15e7a","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-79bd210e734a765037147b42e7be481213a99fae"
"Air Force Active","1.714","1.835","0.2","0.2","","","","","","","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-42730f4ccb20f1242e0677545f2c7937b657dfa7","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-1-b44a0fc8f891cfd401f3848dbdaa90a7638148b5"
"Air Force Active","0.957","0.296","0.113","0.113","","","","","","","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-512a8a073dc968f7d29ce61529b347984dc46bcf","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-2-eaf5d4dcb5683b28844d0c1e12f8f40e74d4cea1"
"Air Force Active","2.118","2.108","0","0","","","","","","","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-f479d40555a627a1348c7721fce7a1bae8574d96","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-3-a944d0d7eba3b3d207106e9cd087ad04fc477e74"
"Air Force Active","27.65","4.56","0.5","0.5","","","","","","","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-0120c49f6a4e3dcba338ec50b545082c46773e60","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-643336873b8b81a504f604fbdad612310314138d"
"Air National Guard","7.58","13.911","0.35","0.35","0","","","","","","","","","","","","","","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-1-a7d19d933b903a6564e28c46b5b9cb35100e97c5","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","55b7a2ff865a7d61ebf76a0b6e31d3e74b6ccc60-0-643336873b8b81a504f604fbdad612310314138d"
"Air Force Active","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-1920dfae2861a746abe9e0079ff6862096a23fc2","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-5d7093ace7d90a4073aca88a9244961084903229"
"Air National Guard","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-1d43da9fa25d73409d08d801193658d610e89f4b","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-5d7093ace7d90a4073aca88a9244961084903229"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-2-6ed249af50972109cf5ee694cfccd8acd15050d6","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-5d7093ace7d90a4073aca88a9244961084903229"
"Air Force Active","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-0fe07b50284fac723bd482119e99a4a1f7372b80","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-2-c049a74ec2ebd5b962d289c809ec0ca89edeac3f"
"Air Force Active","10.118","","","","0.949","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-0daec18bf556f390d2b5c041f6018c30187482a1","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-4-5105588f4ae6b8bdcfaed755f7128ac8623167b0"
"Air Force Reserve","4.498","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-88c974ac8b62112aa087a9ade18085b9068f9ab6","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-4-5105588f4ae6b8bdcfaed755f7128ac8623167b0"
"Air Force Active","0.065","2.304","2.855","2.855","3.533","6.004","6.159","6.513","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-2cdaaca16dc6eebedd24aae04c07364a52e999c9","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-5-09c2937a35928a4f093195b0437982b1d4e372fc"
"Air Force Reserve","","","1.095","1.095","1.155","2.685","2.743","2.787","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-7054687e7d0d1b097c93cda6c2ad22da75d7515c","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-5-09c2937a35928a4f093195b0437982b1d4e372fc"
"Air Force Active","","","","","7.821","23.613","21.858","38.041","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-4edfa34ee8c7aaf060e7a86d5b723fe98dd94bc5","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-6-4c3fa3e3c40102eb16ef14363a45a8cd5b5e667b"
