"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","57","327.398","0","5.168","9","40.604","3","17.172","","","3","17.172","0","0.151","0","0.101","0","0.000","0","0.000","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-59678bf5d5c2afdb1c69332af4da56e25fff83c4","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-f90acb1a3fa091b75b99b2db67cc781db33a8494"
"Air National Guard","36","154.225","0","0.000","6","25.133","5","22.84","","","5","22.84","0","0.000","0","0.000","0","0.000","0","0.000","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-1-9c76c3f53978203d2315178e10042f91f37dd167","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-f90acb1a3fa091b75b99b2db67cc781db33a8494"
"Air Force Reserve","24","104.757","0","0.000","4","16.756","1","4.568","","","1","4.568","0","0.000","0","0.000","0","0.000","0","0.000","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-2-9c691b4d32bbd5a9a53479ce32e7cdb998e98d29","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-f90acb1a3fa091b75b99b2db67cc781db33a8494"
"Air Force Active","8","255.581","3","68.969","2","122.897","4","121.826","","","4","121.826","5","131.414","3","146.022","5","163.931","1","101.324","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-36f936c587f84431ee38428a33d114fca62a1cbf","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-c58f6973b0f8138b20993d87a7f083cd3463a4ad"
"Air Force Active","0","8.551","4","18.141","7","15.591","9","21.717","","","9","21.717","11","16.202","0","0.000","0","0.000","0","0.000","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-9aa8a7f92aa63b348436925f925218027844cc40","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-209bdc1dea38a6d7160febb760117a8115d57946"
"Air Force Active","0","0.000","15","31.454","8","29.977","14","19.481","","","14","19.481","18","33.189","17","24.32","17","20.033","17","20.016","862e2d15d0f822c8485aa65674eee94dde4da08d-0-6434ae6011a3933dc26d9b52facf9b3f602397d3","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","862e2d15d0f822c8485aa65674eee94dde4da08d-0-83a23e09daedce1099cebe7072cb1bf059da42f2"
"Air National Guard","0","0.000","0","0.000","8","5.738","14","9.855","","","14","9.855","19","13.367","17","12.241","17","12.471","20","14.807","862e2d15d0f822c8485aa65674eee94dde4da08d-1-60b3bbd67df078f19d2fb7d34e365a3d25d688f8","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","862e2d15d0f822c8485aa65674eee94dde4da08d-0-83a23e09daedce1099cebe7072cb1bf059da42f2"
"Air Force Reserve","0","0.000","0","0.000","3","2.151","6","4.222","","","6","4.222","8","5.626","7","5.037","6","4.399","8","5.921","862e2d15d0f822c8485aa65674eee94dde4da08d-2-54f0cba683fcec98065402ad418314e15593331e","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","862e2d15d0f822c8485aa65674eee94dde4da08d-0-83a23e09daedce1099cebe7072cb1bf059da42f2"
"Air Force Active","0","80.94","0","3.561","0","0.686","0","5.45","","","0","5.45","0","6.111","0","5.234","0","5.319","0","5.415","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-9f117654378f78f62c0e8eeb945038ee453e421a","88ef9fb261b4a437cfe8137841c62a71c40c864d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","88ef9fb261b4a437cfe8137841c62a71c40c864d-0-74926e60b4cf159da8806ee272c75f85c9c4f8cf"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","8","","","1","8","4","4.019","5","5.049","0","0.028","0","0.000","8ac92803876f93a305965d578c716110cdc62437-0-f23e91a8ad93c3bb995a364c85afffdbfb4f8ac5","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ac92803876f93a305965d578c716110cdc62437-0-2fa73cef40eae760ed6916bea411034d6024b85b"
"Air Force Active","0","0.000","0","0.000","0","20.4","7","8.3","","","7","8.3","4","3.299","2","1.49","1","1.081","1","1.128","8ac92803876f93a305965d578c716110cdc62437-0-31fdc2268c52fb8b46aa3c8afac1751c11f56754","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ac92803876f93a305965d578c716110cdc62437-0-96990bc87952f325cf5523085349f613618511cd"
"Air Force Active","12","561.794","11","723.112","6","463.411","0","172.708","","","0","172.708","0","70.286","0","0.000","0","0.000","0","0.000","9282c1681681500f80124b54352c8721ab25cc67-0-755a64f16cb50c70abe1e824e22289e4810e62e3","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9282c1681681500f80124b54352c8721ab25cc67-0-e60d01610c7a9056eafae2282de5ae9b715d3e88"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","9282c1681681500f80124b54352c8721ab25cc67-1-72af86e573ee668f973bc4b0949e55cf9b736ee1","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9282c1681681500f80124b54352c8721ab25cc67-0-e60d01610c7a9056eafae2282de5ae9b715d3e88"
"Air Force Reserve","0","0.000","0","0.000","5","259.53","11","576.744","","","11","576.744","0","33.726","0","0.000","0","0.000","0","0.000","9282c1681681500f80124b54352c8721ab25cc67-2-da5738d6acfb39a59e453be60e67f015b4b3ed7a","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9282c1681681500f80124b54352c8721ab25cc67-0-e60d01610c7a9056eafae2282de5ae9b715d3e88"
"Air Force Active","0","0.000","0","0.000","25","38.9","32","51.136","","","32","51.136","0","14.16","0","0.000","0","0.000","0","0.000","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-b46dcdc0fbac2f2160afbec976346a730c1f59c8","9de970bd63155a8bb67dc6d2bcb69d63844fb920","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-314e1a6b571876d1eaed3cc8021105021af76207"
"Air Force Active","0","9.924","0","5.709","0","6.383","0","5.065","","","0","5.065","0","5.489","0","3.429","0","0.01","0","2.702","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-5cd8522a7123a62986682045bc49416803e60bd1","9de970bd63155a8bb67dc6d2bcb69d63844fb920","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-22b66072853ce870846bf6920095018f5cbd2fd4"
"Air Force Active","23","15.215","13","25.979","15","11.467","13","9.076","","","13","9.076","27","14.567","26","13.976","8","8.09","0","2.369","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-4a80cae6ae77f1afc087bc338e2a9a8f6234b071","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-7602c53885a05b4db2acfb26354239d92842a583"
"Air Force Active","96","412.759","0","1.202","0","34.156","0","0.938","","","0","0.938","0","4.129","0","4.028","0","1.535","0","4.362","a28e603a31ab3a36341c9e22da942c39ec237c28-0-79abf2a69787f9c8761e1590fb40dcdfd7c6fbec","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-b191ef57698bce3c67f9a0d63bd9f96d725cc65b"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-1-6d54b2514532d2ead84d63b2361a4d412214267a","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-b191ef57698bce3c67f9a0d63bd9f96d725cc65b"
"Air Force Reserve","1","3.489","0","0.000","0","0.000","3","14.198","","","3","14.198","0","0.000","1","4.878","1","4.964","2","10.11","a28e603a31ab3a36341c9e22da942c39ec237c28-2-9cf3a8eb90eb2358472f731b8310bdf310384733","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-b191ef57698bce3c67f9a0d63bd9f96d725cc65b"
"Air Force Active","0","0.000","131","7.412","0","0.791","0","2.739","","","0","2.739","0","0.569","0","0.000","0","0.000","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-0-9d83b36f950924e5c6e204192e8a3f09a83e887a","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-58a08e46773c7527209d00e653d7726cdc7e05bc"
"Air National Guard","0","0.000","101","11.274","48","7.678","5","1.255","","","5","1.255","0","0.000","0","0.000","0","0.000","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-1-eef63122bb65ad8e8ec9c09fcadacaa613521533","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-58a08e46773c7527209d00e653d7726cdc7e05bc"
"Air Force Reserve","0","0.000","71","7.88","19","3.271","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-2-c1e0e0055b5e0b85d2cea1b37deb1c744f56cc07","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-58a08e46773c7527209d00e653d7726cdc7e05bc"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","6.778","","","2","6.778","0","0.000","0","0.000","0","0.000","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-0-2633c8f37f9bb8b19315f7df7e41fcc60e107afe","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-c299fbe58405a7aeb08fda9e90088ac48deeebb2"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","3.547","","","0","3.547","0","2.447","0","2.747","0","2.147","0","0.55","a28e603a31ab3a36341c9e22da942c39ec237c28-0-5d668959bd6c1152ffcc243f66ab2cb8a23f1fe5","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-d92999ec1e7330d003f251295f2c6f14d425057f"
"Air National Guard","0","0.000","0","0.000","0","0.000","24","4","","","24","4","23","2.875","28","3.5","17","2.125","16","2","a28e603a31ab3a36341c9e22da942c39ec237c28-1-ca17518d0d82cd58860a0c848680156b2e5ebe2b","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-d92999ec1e7330d003f251295f2c6f14d425057f"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","11","2.375","","","11","2.375","17","2.125","12","1.5","8","1","0","0.000","a28e603a31ab3a36341c9e22da942c39ec237c28-2-97285e0f458be8a730560c3d823700ed5edc52e4","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-d92999ec1e7330d003f251295f2c6f14d425057f"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","3.278","","","0","3.278","14","5.377","14","4.159","0","3.007","0","4.955","a28e603a31ab3a36341c9e22da942c39ec237c28-0-32ddce574f3844860cd9d9a95d834de9a0175df0","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-fbc18301ccfbc67c99d7bfce5bd01c571416cb15"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.5","","","0","0.5","16","1.607","12","1.08","32","2.88","48","4.32","a28e603a31ab3a36341c9e22da942c39ec237c28-1-712a82de845f121113fc8979c32e4984688ddb3a","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-fbc18301ccfbc67c99d7bfce5bd01c571416cb15"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.5","","","0","0.5","0","0.167","10","0.9","18","1.62","20","1.8","a28e603a31ab3a36341c9e22da942c39ec237c28-2-11cfd5bb37b5657092cd6bab8f3784a88fb3b2db","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-fbc18301ccfbc67c99d7bfce5bd01c571416cb15"
"Air Force Active","11","9.746","39","40.991","0","5.641","0","13.608","","","0","13.608","0","2.15","0","0.000","0","0.000","0","0.000","a2dd7a746c8265451a4f23539e93186e32b71dde-0-31f789257ff697c75f4dff902d1beed9b711ddc8","a2dd7a746c8265451a4f23539e93186e32b71dde","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a2dd7a746c8265451a4f23539e93186e32b71dde-0-52d5c9b7c1e59d261f18ce8f25ff2425d399481a"
"Air Force Active","6","85.266","14","99.299","13","98.167","22","189.439","","","22","189.439","31","233.657","27","213.898","26","202.273","25","205.325","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7cb42475b9ebf17ba1cc9c7fee4cb1df5247154e","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-a2a23d88254a72856566367fc4678a0aaa590427"
"Air Force Active","46","383.064","5","51.131","2","13.876","7","57.115","","","7","57.115","12","96.88","6","85.08","0","2.534","0","1.255","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-c38ac3a4acc20cef5e0c6d74debf4e57b734e911","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-c9373c72044672e958467c279856cc8890947f9a"
"Air National Guard","34","193.384","8","41.86","0","0.000","9","51.727","","","9","51.727","15","86.742","12","69.939","0","0.000","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-6d65b7f51241acebfccd8ca8fb1f3134a903206b","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-c9373c72044672e958467c279856cc8890947f9a"
"Air Force Active","169","64.361","0","0.000","10","4.164","35","21.17","","","35","21.17","0","12.857","0","0.000","0","0.000","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-b92423b257843f162456c263bfb6315d84c4e64c","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-e30326ee5780d86fa1b71adff9fd003c678db71f"
"Air Force Active","0","0.000","25","11.937","50","8.09","44","8.464","","","44","8.464","0","0.998","0","0.000","0","0.000","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-16271420ab5e608450e5ea22b7999965d4211c9f","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-278c2d5d9ff2c942931c0b509c7c21d13933be49"
"Air National Guard","0","0.000","25","9.81","0","0.000","0","1.56","","","0","1.56","0","5.904","0","0.000","0","0.000","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-b8ccd65e5e0aec482609607d681621b034778ba8","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-278c2d5d9ff2c942931c0b509c7c21d13933be49"
"Air Force Active","54","10.465","0","0.000","65","7.792","0","2.708","","","0","2.708","0","2.204","0","0.079","0","0.704","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-92ae581d5deda9c4bc56fdd4fb8768daf0c1e149","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-85098f9562a872a01b21173565030cab1b8a6747"
"Air National Guard","0","0.000","0","0.000","2","0.208","23","2.392","","","23","2.392","0","0.000","0","0.000","0","0.000","0","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-d8b145f520a10782df1db97fa52d6595ad3a5c0f","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-85098f9562a872a01b21173565030cab1b8a6747"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","11.675","","","1","11.675","0","0.000","0","0.000","0","0.000","0","0.000","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-fa6c35d30569a6e0312cb1af8bcfd7da9532ffa5","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-0119ed600e16f43ded48a20ce8428880a070d86f"
"Air Force Active","0","0.000","8","3.652","14","6.103","14","9.488","","","14","9.488","14","10.597","14","9.982","14","1.66","0","0.000","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-a49c19b0b8de4ac02279e3564e516013a7c17909","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-b0b646b06851fc77c27241e938fd861b5b4f43dc"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","4.349","","","1","4.349","1","3.734","1","4.606","1","5.662","1","7.442","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-968864ada383e189e469425d8117cce5d95a3afc","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-eb5ee3219b504b319bf5400ccccef3d9d12c34ea"
"Air Force Active","0","0.000","0","0.000","0","0.000","11","63.42","","","11","63.42","13","81.695","16","91.893","5","25.48","0","0.000","b8a3170d05dde8629ded4b7b78f578982e21c224-0-9627f4f828c07c4c7cabda7e36940d3b2c6cac36","b8a3170d05dde8629ded4b7b78f578982e21c224","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b8a3170d05dde8629ded4b7b78f578982e21c224-0-9cfed8ce7d387e52b2b076446e51c701e5fc99cf"
"Air Force Active","0","0.000","0","0.000","0","141.512","0","94.357","","","0","94.357","0","162.906","0","122.671","0","223.386","0","248.02","b8a3170d05dde8629ded4b7b78f578982e21c224-0-e994be6d4ed827773b892842b65179398330e45d","b8a3170d05dde8629ded4b7b78f578982e21c224","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b8a3170d05dde8629ded4b7b78f578982e21c224-0-5af4542d6525608df1e2fbf795bd71c00d8db698"
"Air Force Active","0","0.000","0","0.383","0","36.075","0","12.519","","","0","12.519","0","11.415","0","1.455","0","0.805","0","0.000","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-f4a8dcd9c699cc04430d1a803d4c6fc140115549","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-ea1fded76f44ac16b416e3d3feab7bb5db8b4ec8"
"Air National Guard","0","0.000","0","0.000","5","19.96","9","35.017","","","9","35.017","0","0.000","0","0.000","0","0.000","0","0.000","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-1-1f4d67d0b69db7e784020ddcaa5632e9e0e3b2a8","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-ea1fded76f44ac16b416e3d3feab7bb5db8b4ec8"
"Air Force Active","4","56.891","9","56.451","10","50.907","10","42.674","","","10","42.674","10","41.677","10","41.631","4","29.52","4","19.567","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-85633ed3c93f53f8c6d5a22e623fbef2dde5c0a9","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-c5dba91ca4b2dfbbe0374b3ed03c45f39a57ecda"
"Air Force Active","4","19.172","9","14.713","10","14.294","10","9.975","","","10","9.975","10","12.059","10","11.335","4","8.243","4","7.054","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-7ca58d418397d2e7c1b56cc42dea1588d98551a3","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-653992532a6b7c8e56bd48b3c725e8672cf06597"
"Air Force Active","17","13.563","31","33.411","12","14.955","0","2.166","","","0","2.166","0","1.873","0","0.000","0","0.000","0","0.000","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-dc2bda1f1bf129e8eecdb593483fdd6f8349786d","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-07272f7f18d4a5b40e7cfe6b2eb86685eac1f789"
"Air Force Active","4","28.723","9","31.243","10","27.572","10","24.268","","","10","24.268","10","24.834","10","24.214","4","17.501","4","16.598","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-bc869d053ea419a447fee419df99724add89b12f","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-d736d2d535bfaac3e9a373ce5c80424a53881d32"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","3.1","","","2","3.1","6","2.3","18","4.45","18","4.45","18","4.544","d0084e59e4867559e7ac78e9cf9ff395619df604-0-623c633749961ace7a4de52055d7b553ae33d752","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0084e59e4867559e7ac78e9cf9ff395619df604-0-5a011aedae395ab9fd986c375f5dc6084eeb9315"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","6","","","2","6","2","1.15","0","0.000","0","0.000","0","0.000","e6a0308838296a51cfadac2f82cd2894ae494d84-0-917c87cd9864431831ecf0c340b91b2cc1ee61b4","e6a0308838296a51cfadac2f82cd2894ae494d84","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","e6a0308838296a51cfadac2f82cd2894ae494d84-0-cf5d9e26b0e240865a4994fcee129f530e61a105"
"Air Force Active","6","0.000","7","0.000","9","35.685","2","7.747","","","2","7.747","0","7.194","1","6.926","1","7.625","1","7.952","fb54e06467b731bf13ac60b5c589758d4131acbd-0-7ff342209fab04f65e43c1be58586fe37980ea01","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-84cc05dc7af8ea56abf74b87ecc60860018f18f1"
"Air National Guard","2","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","fb54e06467b731bf13ac60b5c589758d4131acbd-1-55ed989e672fdd1a9dbe59a97103ee8a788544e4","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-84cc05dc7af8ea56abf74b87ecc60860018f18f1"
"Air Force Active","0","0.000","0","0.000","2","13.493","1","13.465","","","1","13.465","1","15.172","1","15.003","1","15.344","1","15.637","fb54e06467b731bf13ac60b5c589758d4131acbd-0-88839b939ff6ca7c3e71cd780bfaa6eb50c0ad30","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c6c3bd766f742f2b686fe48ff31758de3df43447"
