"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-0c40888d194c171ea918795cea8a525651bc4150","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-74c809763435486d20092276cd6da5825c0fffc3"
"Air Force Active","0","0.000","0","0.000","2","91.277","1","20.191","0","11.3","1","31.491","1","41.3","1","17.533","2","31.3","1","23.935","623b26c75395e99c34d94c512302e43728d68e67-0-a7b2fc88f5fd79a6cf9cb4be0f5314740db1024d","623b26c75395e99c34d94c512302e43728d68e67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","623b26c75395e99c34d94c512302e43728d68e67-0-48392706e5eeb2e62bf2ed51dbb2a07973c1e311"
"Air Force Active","0","0.000","1","10.331","1","5.424","1","5.347","0","0.000","1","5.347","1","5.185","1","5.188","1","5.139","1","5.194","ca16302675076d2663282e9f2cfbe844250f4edc-0-95a1fae221cc50c9f2d5329568685d99cb01a7d7","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ca16302675076d2663282e9f2cfbe844250f4edc-0-e901c1453473ed79dd458fb97826fdf6c95f3c95"
"Air Force Active","0","0.000","4","141.784","4","110.19","4","106.697","0","2.7","4","109.397","4","108.403","4","110.996","4","112.908","4","115.833","ca16302675076d2663282e9f2cfbe844250f4edc-0-db698e0de95213a15e57afbb58b57a75745ce482","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ca16302675076d2663282e9f2cfbe844250f4edc-0-5b9a0c9bafde8ef5b259d7cfa82e4da699d1764c"
"Air Force Active","0","0.000","1","10.096","1","5.149","1","5.368","0","0.000","1","5.368","1","5.438","1","5.152","1","5.176","1","5.241","ca16302675076d2663282e9f2cfbe844250f4edc-0-69d937017b06b3f946d038ba712899c92c951c4a","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ca16302675076d2663282e9f2cfbe844250f4edc-0-fc25eaf300585a4cdec207cc2a1536459fa3e463"
"Air Force Active","0","0.000","5","50.318","11","52.684","0","2.066","","","0","2.066","0","0.778","0","0.000","0","0.000","0","0.000","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-7c229f1a4e35da7514946654215d874839885781","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-bbcc9c4c958efe12f7808af05324c5913251262e"
"Air Force Active","0","33.614","0","0.000","0","9.103","0","5.006","","","0","5.006","0","6.477","0","6.63","0","7.776","0","7.916","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-b6a60197c36f51cf61b563642defdcc34de6630e","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-b6f4853b449dffb12d5199a45481a5c6455991ff"
"Air Force Active","14","8.4","70","10.039","92","15.489","187","17.289","","","187","17.289","219","95.896","111","64.066","191","68.681","129","69.617","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-3c71dd028f6b234b54aef3e0baa341d260f55f8e","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-3e9fef8ee873554b453f4fa610e14107b194e148"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0424d8adc0de12753a0a7dc939dc55b0785cce8b-1-37d73229eeddff99718fa74df3dddfdc41f4bc4d","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-3e9fef8ee873554b453f4fa610e14107b194e148"
"Air Force Active","0","0.000","0","0.000","115","5","93","5","","","93","5","141","7","0","0.000","0","0.000","0","0.000","0593702e97cb22fb5dac4af4cc107adb19630efe-0-fc64d6bb1217867d5136ea0b9f6890ebe3e15ee7","0593702e97cb22fb5dac4af4cc107adb19630efe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0593702e97cb22fb5dac4af4cc107adb19630efe-0-4715cf1bcae6ae84c46435bc5d28b4a4d324fd5b"
