"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"6","Engineer and Other Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e4b59098af93805c9821c557825d8234470b8b24-2-58b72f67ab868eaefccd28c081774cd28a410fc8","e4b59098af93805c9821c557825d8234470b8b24-2-2596eecc61deb4186a56236c7b762e0dc704d92e","e4b59098af93805c9821c557825d8234470b8b24","root","e4b59098af93805c9821c557825d8234470b8b24-956a38334a928604068055be450e6fa0448d236e"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-592e156fe13b3469c31929cc1a670cab756125d8-0-e1e8a705cf3cfef7e29b7fa2348f0e578ee1cb51","592e156fe13b3469c31929cc1a670cab756125d8-0-1601c3d5b5e99aa5a9f6c7eaf5bd63bd1fe9a07c","592e156fe13b3469c31929cc1a670cab756125d8","root","592e156fe13b3469c31929cc1a670cab756125d8-f1945d264dcbfc8d28775f3a188a1c9381cc15b7"
"1","Combat Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e3e6625d345ed65c214a1834fe1e7bf32de12b53-0-143d98c2c4c65267149ceb3884e9f164d5bb6192","e3e6625d345ed65c214a1834fe1e7bf32de12b53-0-edd14bd5d86655ee885b3c55a81cd2b79fa5645d","e3e6625d345ed65c214a1834fe1e7bf32de12b53","root","e3e6625d345ed65c214a1834fe1e7bf32de12b53-60da64e0adb53e9b2ee84c9cfc03dcdc5c3ce222"
"3","Trainer Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e3e6625d345ed65c214a1834fe1e7bf32de12b53-1-2abf3201c206b4c3c3dd11c4160d1a03a07a1c9d","e3e6625d345ed65c214a1834fe1e7bf32de12b53-1-19c0d0a67e035cb63b14e48eb91e424e96f88884","e3e6625d345ed65c214a1834fe1e7bf32de12b53","root","e3e6625d345ed65c214a1834fe1e7bf32de12b53-60da64e0adb53e9b2ee84c9cfc03dcdc5c3ce222"
"4","Other Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e3e6625d345ed65c214a1834fe1e7bf32de12b53-2-3abc41cfe7db543f9ab25ab8340768457feab69a","e3e6625d345ed65c214a1834fe1e7bf32de12b53-2-930faf9745e889b76e4485a8810ebe60b4518a37","e3e6625d345ed65c214a1834fe1e7bf32de12b53","root","e3e6625d345ed65c214a1834fe1e7bf32de12b53-60da64e0adb53e9b2ee84c9cfc03dcdc5c3ce222"
"5","Modification of Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e3e6625d345ed65c214a1834fe1e7bf32de12b53-3-7cce6420309bafe6aff3f0481132eaf41bfe9886","e3e6625d345ed65c214a1834fe1e7bf32de12b53-3-3b8a2a864038f5ab940b4d4d8a3d74f087111558","e3e6625d345ed65c214a1834fe1e7bf32de12b53","root","e3e6625d345ed65c214a1834fe1e7bf32de12b53-60da64e0adb53e9b2ee84c9cfc03dcdc5c3ce222"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e3e6625d345ed65c214a1834fe1e7bf32de12b53-4-e2f3709c023a41894c89d3b534d9a52b2f4fd060","e3e6625d345ed65c214a1834fe1e7bf32de12b53-4-89df1f00b03fec4f288d36d0270d1ac20640605d","e3e6625d345ed65c214a1834fe1e7bf32de12b53","root","e3e6625d345ed65c214a1834fe1e7bf32de12b53-60da64e0adb53e9b2ee84c9cfc03dcdc5c3ce222"
"2","Special Operations Command","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-11732b4207d55ee6f4d69f8cc8ef1068f4e8c6ca-0-123d69857b3b4cd588fd79da5892c730b75f5f1b","11732b4207d55ee6f4d69f8cc8ef1068f4e8c6ca-0-fbbf0f06c0cba6726d7fe185052416a6e0c39fd0","11732b4207d55ee6f4d69f8cc8ef1068f4e8c6ca","root","11732b4207d55ee6f4d69f8cc8ef1068f4e8c6ca-e6cb0f6c044c4f7b2c3f26c093c8588d1ba5e8b0"
"2","Weapons and combat vehicles","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-3d5b90083b16634e8d01486e1fc3807ad057a988-0-51bfa45fa033fc85e74200f0a122f40ea1e04908","3d5b90083b16634e8d01486e1fc3807ad057a988-0-47caae031e80020b2c0989b46e3b019c9f3ba586","3d5b90083b16634e8d01486e1fc3807ad057a988","root","3d5b90083b16634e8d01486e1fc3807ad057a988-21fe6116cff1503ef43bc8e488e19ea4dd81d756"
"3","Guided missiles and equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-3d5b90083b16634e8d01486e1fc3807ad057a988-1-42ceaca9fc1143d4aebe25be1576e426079df850","3d5b90083b16634e8d01486e1fc3807ad057a988-1-d3422c23ffb32676ad3d26f5ed047bd2d6195da8","3d5b90083b16634e8d01486e1fc3807ad057a988","root","3d5b90083b16634e8d01486e1fc3807ad057a988-21fe6116cff1503ef43bc8e488e19ea4dd81d756"
