"Name_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","SCNProductionLeadtime_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_Continuing_val","Cost_Total_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"EGI","3","2","12","66.489","10.79","6.354","7.705","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-3-95e4c7321b6bb12fe8fd6d571f471eb9284e0ab0","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-3-f42674ab94ae67a4476c30da3009c3fd0290c595","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Heads Up Display AVS-7","3","1","9","21.773","3.263","1.922","2.341","","","","","","","","See End Item P-5A/NA","See End Item P-5A","9","9","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-4-f2c72ecf5957b622a324b0b65c92dc89e1d37e8e","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-4-bcef9b7057300dfe5724e7206e7236f82e50f8ed","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Hover Infrared Suppressor","1","","1","28.959","","0","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","1","1","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-5-27f017f00bb227ec86233ba370e0e3d56ec91f18","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-5-a220992af631fb597deba298ec031fbb537aaf7b","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Miscellaneous","1","","1","15.651","","0","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","1","1","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-6-79cc89ff1b1802fa6d268824476f8156599f7fa5","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-6-2ad518072a22a7932e8e0652616022470e5ae1f3","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Guidance Section LL Items (LRIP 1)","23","1","14","","","24.8","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e82d5e005819708e697e1329817e365d91902322-0-49d5e7efcf8792c1c346f7659dac8d70e3c92393","","e82d5e005819708e697e1329817e365d91902322-0-7babc3164197883eff5b4b6956c7b9499a6fdfa0","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item","e82d5e005819708e697e1329817e365d91902322-0-9c5ef6a2003a5abf3ab999bbee5228320cb465f5"
"HELLFIRE Backend LL Items (LRIP 1)","23","1","18","","","2.938","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e82d5e005819708e697e1329817e365d91902322-1-03bb0293f1dd8b9e1358a19a51089bc5efceec0d","","e82d5e005819708e697e1329817e365d91902322-1-6bf1df24cde6d8a4b7d591a43e75c60facecc44a","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item","e82d5e005819708e697e1329817e365d91902322-0-9c5ef6a2003a5abf3ab999bbee5228320cb465f5"
"Guidance Section LL Items (LRIP 2)","23","1","14","","","0","28.1","","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e82d5e005819708e697e1329817e365d91902322-2-406adac6b4e0367f0bb918389b3f195859e2f325","","e82d5e005819708e697e1329817e365d91902322-2-28d804ce9568d31e09cc60fd330b095e99bd99c1","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item","e82d5e005819708e697e1329817e365d91902322-0-9c5ef6a2003a5abf3ab999bbee5228320cb465f5"
"HELLFIRE Backend LL Items (LRIP 2)","23","1","18","","","0","9","","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e82d5e005819708e697e1329817e365d91902322-3-b5653bf08086d4bd3e5bdf6b08b423b2148a64b7","","e82d5e005819708e697e1329817e365d91902322-3-3f4a05a7283694e6b29894566a08ed225f58f9c6","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item","e82d5e005819708e697e1329817e365d91902322-0-9c5ef6a2003a5abf3ab999bbee5228320cb465f5"
"AH-64E Apache New Build","12","","","84.264","146.121","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f-0-a6a3c96b6467a7abcaaf2010e591d42944b2ec63","","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f-0-973393d153a9a479db88a616e36d835853dfaf22","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f","root.record.ItemExhibitList.P5Item","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f-0-d8b690a63c751c958c42a6f1fcb13f15a62cebcc"
"MK72 Boosters","29","1","","","","","20.58","20.971","20.861","26.442","26.944","true","","","TBD","TBD","29","29","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-963298f377d229afa6fb9d64de038041088be7fb-0-6238ae02b776327d7421e4bbb0c60e3093c44ea5","2016","963298f377d229afa6fb9d64de038041088be7fb-0-1492e9a16f499af361698ffb3e35e08c78b9d84f","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item","963298f377d229afa6fb9d64de038041088be7fb-0-744db44c55cb558e5f40d7d255fdbb04666a4b61"
"MK 104 Dual Thrust Rocket Motors","26","1","","","","","13.86","14.123","14.049","17.808","18.146","true","","","TBD","TBD","26","26","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-963298f377d229afa6fb9d64de038041088be7fb-1-ca0c97d127117734a2b0fda32b6225c28f52560e","2016","963298f377d229afa6fb9d64de038041088be7fb-1-c0c79d0507156273780061d0a65c6e67bd623963","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item","963298f377d229afa6fb9d64de038041088be7fb-0-744db44c55cb558e5f40d7d255fdbb04666a4b61"
"Integrated Dewar Assemblies","35","1","","","","","18.06","18.404","18.306","23.204","23.645","true","","","TBD","TBD","35","35","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-963298f377d229afa6fb9d64de038041088be7fb-2-b7aee5600de16ec4e38c6897a9d788323fbdd30f","2016","963298f377d229afa6fb9d64de038041088be7fb-2-9366acbfb8479dfc13a368b8faa41b8da18c6226","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item","963298f377d229afa6fb9d64de038041088be7fb-0-744db44c55cb558e5f40d7d255fdbb04666a4b61"
