"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0305103K","3343bc995e76dad9a617e6272c8f1b8ad738e69d-0-7d71505ab9392898b2290d464969467b04441b84","3343bc995e76dad9a617e6272c8f1b8ad738e69d","root","3343bc995e76dad9a617e6272c8f1b8ad738e69d-80915d7bc1f0854cda6b05c1153222b304178109"
"0207417F","34b520609a66f831fcd9ecb426d03fba535a8b9d-0-c85507de45204d9d1576aa4f32e5341be727a6a6","34b520609a66f831fcd9ecb426d03fba535a8b9d","root","34b520609a66f831fcd9ecb426d03fba535a8b9d-e96d34a3b1fc8f0b290bdd2176442d139e0cc809"
"0603884C","356f361facf4de38ddc5a30fa41a25ba299cc06d-0-1f00e4aee331039644323f98d47e9f6614aad6b6","356f361facf4de38ddc5a30fa41a25ba299cc06d","root","356f361facf4de38ddc5a30fa41a25ba299cc06d-8a904cfef21ad32e9319108d1f9d6d6849e5f7f7"
"0603881C","356f361facf4de38ddc5a30fa41a25ba299cc06d-1-e9a07e987919471a73b1e78a55965f7adb5a7c6f","356f361facf4de38ddc5a30fa41a25ba299cc06d","root","356f361facf4de38ddc5a30fa41a25ba299cc06d-8a904cfef21ad32e9319108d1f9d6d6849e5f7f7"
"0654804A","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-3a2f2861c4fdb7ef4cf30798c7bc23d1fdc16f6f","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5","root","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-5f48d957cd23bca1ff8556c53966cdf49befeb1d"
"0207224F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-be77b2a69d488a62f7014b8864d09d51a5c0cac4","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0207249F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-1-76331635aa0a60451db5cf5e1886280a1670fc17","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0207448F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-2-6ca98d30d4bfc54048c4670c42ab0464788a133e","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0207701F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-3-a33185400268d54b201a706162b4230822d6ce3b","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0303001F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-4-db692f91cd289f566511c36bfddc048b5aeedae3","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
