"Name_@footnote","Name_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Reference footnote (1)","Automated Data Processor (ADP)","0.433","2","0.866","0.482","2","0.964","0.466","1","0.466","0.466","1","0.466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-30d3433ac448dffa2b817f0d04d525af50f1e93f","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-34b1f092260b2570562038b71e899e5da7ef454a"
"Reference footnote (1)","ADP Testbed","","","0.000","","","0.000","0.934","2","1.867","0.934","2","1.867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-54fc27dd9f8102c5015bf6cf0ce9abe136c89d06","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-34b1f092260b2570562038b71e899e5da7ef454a"
"","ADP","","","","0.576","7","4.033","0.628","1","0.628","0.628","1","0.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-0-33305c512cae6daa9fb16edbdae1f1d3c72b9013","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-174a5d82b9aa7f890bf4fa2a5a41c6d8d1c4d4a8"
"","REMOTE EQUIPMENT SHELTER","3.997","1","3.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-1693298a2674831f69a13cb22242128698e55425","0b8d428318fab41f98b8c9507d0eea30181ac03e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0b8d428318fab41f98b8c9507d0eea30181ac03e-1-174a5d82b9aa7f890bf4fa2a5a41c6d8d1c4d4a8"
"Reference footnote (1)","Automated Data Processor (ADP)","","","","","","","","","","","","","2","2","1","1","1.644","1.059","0.3","0.3","0.822","0.53","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-15193a4c08bd62fb25574f3c5397c15e36561c0f","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-447406907c55d39fe42876b2d19cce7a15e454b6"
"","ADP + Spares","","","","","","","","","","","","","2","","2","2","2.166","","3.307","3.307","1.083","","1.654","1.654","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-0-3b2c951f0c0a1c1a4229395e1bfb593ac2a57c31","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-f26d7f90c6fc2199975a965604b39dbde8c3d4ac"
"","ADP Testbed","","","","","","","","","","","","","","2","","","","1.5","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-5c9466ced1b4c3c94c9f7d213991c8faeb7c88eb","b717569e7c6fbc6d94ea886ad37cb094a63d4d94","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","b717569e7c6fbc6d94ea886ad37cb094a63d4d94-1-f26d7f90c6fc2199975a965604b39dbde8c3d4ac"
"","RFTS SYSTEM","2.6","1","2.6","2.6","1","2.6","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-ffd76f8c7679866d3966d50137052fa201d2eaba","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","DATA","","","0.65","","","0.65","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-1-9a1beecf29a6cee36a8084f4f2bd0a7d2d174a61","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","GOVERNMENT COSTS","","","1","","","3.15","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-2-2e19c233d56f48560220116962bd8bac7ded36ca","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","PRODUCTION SUPPORT SERVICES","","","2","","","2","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-3-272e4218eba62e31423d4ed227e9fbad5eaa28fb","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","ENGINEERING","","","1.45","","","1.45","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-4-983be3a00d034e3f3b9f9333aeba3792acdba6b7","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-265f47db4a5d0c684cc53a043c814d92ef4ba994"
"","LOAD, ASSEMBLE, PACK","8332.84","2118","17.649","6401.28","780","4.993","9567.79","1930","18.466","9568.05","1947","18.629","","","","","","","","","","","","","0.000","","","0.163","9567.79","17","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-e2394d26bff315214583ce5a5ca1fabcce2cdb4a","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-9548cc837a7bb9178266f7c2e6d118869e370802"
"","BOMB BODY, 2000LB BLU-109/B","18452.16","2129","39.285","18765.99","1235","23.176","20811.37","1939","40.353","20811.35","1956","40.707","","","","","","","","","","","","","0.000","","","0.354","20811.37","17","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-7f35302517a4a863c4c047c309a253a839efda9c","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-9548cc837a7bb9178266f7c2e6d118869e370802"
"","CONTAINER, CNU-417/E","2482.73","1069","2.654","2482.3","452","1.122","2744.3","973","2.67","2744.4","982","2.695","","","","","","","","","","","","","0.000","","","0.025","2744.3","9","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-2-022b268755fb4f84d09087869a62fb3c74454072","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-9548cc837a7bb9178266f7c2e6d118869e370802"
"","CXM-AF-5","18.34","360036","6.603","22.31","621005","13.854","18.74","328100","6.149","18.74","330990","6.203","","","","","","","","","","","","","0.000","","","0.054","18.74","2890","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-3-e951053fbe699afc5bc8a921908e83ade4c3f1cc","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-9548cc837a7bb9178266f7c2e6d118869e370802"
"","RECEIPT OF GFM MATERIAL FOR 2000LB BOMB","19.48","2113","0.041","19.65","967","0.019","19.96","1939","0.039","19.94","1956","0.039","","","","","","","","","","","","","0.000","","","0.000","19.96","17","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-4-73e07a5fc7059b268d50de7571edbea91a02e988","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-9548cc837a7bb9178266f7c2e6d118869e370802"
"","LOAD, ASSEMBLE, PACK","2589.96","270","0.699","","","0.000","2847.17","200","0.569","2845","200","0.569","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-50ae70b86d3da0933dc1122d5e77453ee7b1fbd6","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","RECEIPT OF GFM","19.78","275","0.005","","","0.000","21.01","204","0.004","19.61","204","0.004","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-8880b3a43a592a399ed42a569a646a4f818612dc","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","BOMB BODY BLU-110B/B","3242.56","275","0.892","","","0.000","3315.87","204","0.676","3313.73","204","0.676","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-2-a4ad950f281fc577f2e61819ff6153739a9ada1d","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","LUG SUSPENSION MS3314","23.22","545","0.013","","","0.000","23.96","404","0.01","24.75","404","0.01","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-3-7ec437f77229f6a8fffb31f37286554415ec0713","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","PALLET MHU-187","704","92","0.065","","","0.000","803.12","68","0.055","808.82","68","0.055","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-4-a7685b6998b7e754b93edfbb3de86fec97c69b7b","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","CXM-7 (LB)","12.78","73170","0.935","","","0.000","18.71","54200","1.014","18.71","54200","1.014","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-5-2e0666200d22e6256c87cd706089c370faaab470","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-0b788d12606dbd16b8fa1498fb7a41c4a211b40d"
"","LOAD, ASSEMBLE, PACK (LAP)","1485","4149","6.161","813.55","4768","3.879","1542.25","1728","2.665","1542.06","3293","5.078","","","","","","","","","","","","","0.000","","","2.413","1541.85","1565","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-ec3b328e93018d15c45db865b4e8e81e43637652","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","LUG SUSP ACFT ORD MS3314","23.21","8384","0.195","23.6","9661","0.228","23.96","3464","0.083","23.96","6636","0.159","","","","","","","","","","","","","0.000","","","0.076","23.96","3172","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-37e3a9c44f4e3966a62325a6a6ab9e2142162a09","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","CXM-7","12.78","580860","7.423","18.57","532526","9.889","18.71","241903","4.526","18.71","461091","8.627","","","","","","","","","","","","","0.000","","","4.101","18.71","219188","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-2-f20e02c61ee61a2e99ed58f873e362813562ae70","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","BOMB BODY 500 LB MK82 MOD 6 IM","1842.56","4235","7.803","1894.18","3988","7.554","1926.22","1762","3.394","1926.15","3358","6.468","","","","","","","","","","","","","0.000","","","3.074","1926.07","1596","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-3-4337db26fec42dda897fa2a208ac688b5ccfd1d6","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","PALLET MHU-122/E","","","0.000","154.08","1324","0.204","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-4-4244e0e5afd74cd615c1434a9881dc5768791c06","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","RECEIPT BOMB MK82-1 500LB","4.64","4235","0.02","10.17","4719","0.048","10.62","1789","0.019","10.62","3390","0.036","","","","","","","","","","","","","0.000","","","0.017","10.62","1601","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-5-515c6abd9b1d6277a348559f07d84adb18c3722e","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","PALLET MHU-149/E","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-6-8356b80f60e4e629e17d31da147fbc2de58366a2","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","PALLET INSPECTION, MHU-149/E","156.33","702","0.11","143.56","808","0.116","155.93","295","0.046","155.91","558","0.087","","","","","","","","","","","","","0.000","","","0.041","155.89","263","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-7-c8dc3638ffca8c0ef9de4fd7ac527000e57210b3","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-37f63297bba0b6ba0e2acc9fe9b52c57183645f2"
"","LOAD, ASSEMBLE, PACK","4729.6","1446","6.839","3943.94","553","2.181","4729.85","334","1.58","4730.59","631","2.985","","","","","","","","","","","","","0.000","","","1.405","4729.85","297","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-c3f509d654fb4734bb9623c92b3fcafcc971d0e9","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
"","LUG SUSP ACFT ORD MK3-0","61.28","2921","0.179","60.39","1126","0.068","61.27","674","0.041","61.22","1274","0.078","","","","","","","","","","","","","0.000","","","0.037","61.27","600","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-1-f6a263292d2e1e8d6a48f4cc64c0747fdaa0ec31","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
"","BOMB BODY 2000LB MK84 MOD 10 IM","5167.8","1472","7.607","5084.96","565","2.873","5167.8","340","1.757","5167.96","643","3.323","","","","","","","","","","","","","0.000","","","1.566","5167.8","303","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-2-33dc9d49e58d7249c82aaf1f3b721566e586c1ae","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
"","CXM-AF7","18.88","939936","17.746","18.57","359558","6.677","18.88","217100","4.099","18.88","410150","7.744","","","","","","","","","","","","","0.000","","","3.645","18.88","193050","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-3-54e2310736d0edc5c65f8f83ba40bcf3b4299bfb","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
"","PALLET MK79-1","861.64","730","0.629","784.95","279","0.219","862.09","169","0.146","862.07","319","0.275","","","","","","","","","","","","","0.000","","","0.129","862.09","150","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-4-bfc8f863be2b987ab666bf27531557ad3c11a945","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
"","RECEIPT BOMB MK84-4 2000LB MOD 10 IM","18.01","1444","0.026","17.73","564","0.01","18","340","0.006","17.11","643","0.011","","","","","","","","","","","","","0.000","","","0.005","18","303","","","","","","","","","","","","","","","","","","","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-5-1464462b354306ecf28d0ade79249c32e73a2dcb","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","52e8afbcdbe56abfd9c7a3fabed0c3c103486fbc-0-1132444e47329cdd875ba3dbc3901f082ea02076"
