"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"(WIPC)  Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1794","1","1.794","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-7-3854611b59d7fb46e460a21a8b2a28a3bbe58674","","571239ea242e1e673bae4fee7eb23020af5fa084-7-ce058b9a4f1dccfeea00132631438b0412866387","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(ACCHR) Software NonRecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","1672","1","1.672","1672","1","1.672","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-0-7c997f5fc405345779b32ebdd541719d73b47ce5","","571239ea242e1e673bae4fee7eb23020af5fa084-0-f3b5b5edef3afbb15b309c982ee0f4911b5ca9c2","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-6-7ba95566da8c2fe0ed380d1a9b7dca2c7b8e6296"
"(IPPS-A) Software NonRecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1056","1","1.056","22589","1","22.589","22589","1","22.589","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-1-cc0bbf2e27a3ee75f6abc607f283454bdd3553dd","","571239ea242e1e673bae4fee7eb23020af5fa084-1-bfee04dce653f2eae27d6642ed7bd96f7430c9d8","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-6-7ba95566da8c2fe0ed380d1a9b7dca2c7b8e6296"
"2.1 S2E2 Software Non-Recurring","","","","","","","","","","","","","","","","","","","","","","","","6.3","1","6.3","14.35","1","14.35","9.4","1","9.4","1.2","1","1.2","1.2","1","1.2","0.000","0","0.000","7.813","4","31.25","","","","A","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f-0-84502f5a9f69d0c624ae858aa7dfdff7c661be86","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f","root.record.ItemExhibitList.P5Item","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f-2-8d7868b3b709ab4ac2b38520a1e4f9b4b6c68646"
"3.1 SBIRS UHF Radio Upgrade Software Maint Facility Upgrade","","","","","","","","","","","","","","","","","","","","","","","","4.685","1","4.685","","","0.000","","","0.000","","","0.000","","","0.000","0.000","0","0.000","4.685","1","4.685","","","","A","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f-0-da8af1ead0f32dcc95f145cd32da15d2bcc89afb","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f","root.record.ItemExhibitList.P5Item","7f8d22ba4c1b17c064e47f19f0e52c9d3c13551f-3-9f97813c8f9874f152900e45d4c141b255d4cd26"
"2.2.1) 64 Bit ECP","","","","","","","","","","","","1.215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146148c520477c894d8b11d61f35959d13c05fb7-0-7201b36b2edff73a825588cf35e603d51a9fda33","146148c520477c894d8b11d61f35959d13c05fb7","root.record.ItemExhibitList.P5Item","146148c520477c894d8b11d61f35959d13c05fb7-0-f28179aadc0c85e635afe825c63d2a1f988c9f2d"
"2.2.2) GEOINT S/W","","","","","","212","212","","","","","","","2.915","2.915","","","","","","13750","13750","","","","","","","","","","","","","","","","","","","","","","","","","","","146148c520477c894d8b11d61f35959d13c05fb7-1-591daae1eef55ccc755c522bbe65a59960be7fe7","146148c520477c894d8b11d61f35959d13c05fb7","root.record.ItemExhibitList.P5Item","146148c520477c894d8b11d61f35959d13c05fb7-0-f28179aadc0c85e635afe825c63d2a1f988c9f2d"
"2.2.3) GEOINT S/W - Reserves","","","","","","8","8","","","","","","","0.11","0.11","","","","","","13750","13750","","","","","","","","","","","","","","","","","","","","","","","","","","","146148c520477c894d8b11d61f35959d13c05fb7-2-79711267d3803ed7eafc192fc125f72f2d25eab8","146148c520477c894d8b11d61f35959d13c05fb7","root.record.ItemExhibitList.P5Item","146148c520477c894d8b11d61f35959d13c05fb7-0-f28179aadc0c85e635afe825c63d2a1f988c9f2d"
"2.2.4) VIP-MC S/W","","","","","","","","","","","","","","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146148c520477c894d8b11d61f35959d13c05fb7-3-548f9bf6732e054a9cce95b81e17dca51787375c","146148c520477c894d8b11d61f35959d13c05fb7","root.record.ItemExhibitList.P5Item","146148c520477c894d8b11d61f35959d13c05fb7-0-f28179aadc0c85e635afe825c63d2a1f988c9f2d"
"3.1.1) Training Aids, Devices, Simulators and Simulations","","","","","","","","","","","","","","0.77","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175667988b08e024136cd06c22ae39aabab20536-0-39e5bcbfb0a85a3e93bed03cab8c9bc0cfad78bc","175667988b08e024136cd06c22ae39aabab20536","root.record.ItemExhibitList.P5Item","175667988b08e024136cd06c22ae39aabab20536-0-bdb337c730b15cc73b2022b3977daca36a9f2c56"
