"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Rate/Misc Adjustments","0.000","0.000","5.512","5.512","","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-1-9290eef0783f99469e660fb5c1e98814a77ae1da","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa","root","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-986ee7567d1f687365232736fc382060e7abb57d"
"Other Adjustments","0.000","0.000","0.000","0.000","","06c01ff9a9cdb7ca9807e259e0b9291ed311fe1b-0-5076ef9a9b1b78c32a60e49ac4c7bf2684d764a3","06c01ff9a9cdb7ca9807e259e0b9291ed311fe1b","root","06c01ff9a9cdb7ca9807e259e0b9291ed311fe1b-4308b39a8093457324d31de31dbdf470cd4e1c89"
"Other Adjustments","0.000","0.000","0.000","0.000","","06def0fc93bc7145cea4fccedbb5373c54b7ee9b-0-596d081c76c9fff70a8cc3913b907b5ab2fc3f5e","06def0fc93bc7145cea4fccedbb5373c54b7ee9b","root","06def0fc93bc7145cea4fccedbb5373c54b7ee9b-c00dba376b4f025a86f28f972ef646ba3f412a39"
"Other Adjustments","0.000","0.000","-4.236","-4.236","","0789447651dbca20ea05f9ab1033846bb83321c5-0-ba0fbdb979430a61835a81fb6ebaf148d1177433","0789447651dbca20ea05f9ab1033846bb83321c5","root","0789447651dbca20ea05f9ab1033846bb83321c5-c31c67a89369a81fb828d7179e95c7f146c184fc"
"Rate/Misc Adjustments","0.000","0.000","-0.302","-0.302","","07c34d828ace109b7a4fd3487334665323eef549-0-3b7c75a3a476f9a7c883178b82cdb5ed85ad029a","07c34d828ace109b7a4fd3487334665323eef549","root","07c34d828ace109b7a4fd3487334665323eef549-2b7afb5ad5379e3bcd062699d6578c994c57188f"
"Adjustments to Budget Years","","","9.661","9.661","","08a28597fc4163aa278d5246fd84385ac5c7a6b1-0-7b553945c92f3b84cdf1ad5fd90b159b5fa4eed7","08a28597fc4163aa278d5246fd84385ac5c7a6b1","root","08a28597fc4163aa278d5246fd84385ac5c7a6b1-63d4331388edd1915fbaffcc9ad19f5c0bf0b6ab"
"Rate/Misc Adjustments","0.000","0.000","1.000","1.000","","08ad352fa7c9f7fd98c2c1eba100842ac4cfa969-0-e46c03c2e9b4cbe14e1763b079a44615aa65887d","08ad352fa7c9f7fd98c2c1eba100842ac4cfa969","root","08ad352fa7c9f7fd98c2c1eba100842ac4cfa969-2231201490375b4cb79e50798356991f79920765"
"Other Adjustments","0.000","0.000","-3.542","-3.542","","08b9b20d7e82d07de2312c418c062c2e706b5fab-0-bbe80228d1014302862fd09eff84dfd82e6bb9ee","08b9b20d7e82d07de2312c418c062c2e706b5fab","root","08b9b20d7e82d07de2312c418c062c2e706b5fab-ad7b0023d54e65ea5ac8301423da3608d0352195"
"Adjustments","-0.025","","-1.623","-1.623","","08e601baa8f001dd6b9f04786499c4c434177771-0-0f6e4eda5713d898fb0d19838a0f906403ad8ea6","08e601baa8f001dd6b9f04786499c4c434177771","root","08e601baa8f001dd6b9f04786499c4c434177771-07f323ac2d6b72c31f506b793d893e8a263ed1e0"
"Other Adjustments","0.000","0.000","-17.084","-17.084","","0a368757844f99b1ad004b243b853a07f8babda6-0-691137091459d2fb0b25e2df0fb7ccfaf1a8e8c2","0a368757844f99b1ad004b243b853a07f8babda6","root","0a368757844f99b1ad004b243b853a07f8babda6-5b3122819d2e0f61249692bff694d0c81445e73e"
"Program Adjustments","0.000","0.000","-11.264","-11.264","","0a4b269922de8ca240aaaa86a4b526b897573553-0-a6281873bcdb120e97f51fdd4fd95f7980ddd34a","0a4b269922de8ca240aaaa86a4b526b897573553","root","0a4b269922de8ca240aaaa86a4b526b897573553-4b5074c4dd5c9330fcc96dfdd2e4ec1480a383da"
"Rate/Misc Adjustments","0.000","0.000","-1.604","-1.604","","0a4b269922de8ca240aaaa86a4b526b897573553-1-63a59c222d69f3b3a16008a24ed2344756a409da","0a4b269922de8ca240aaaa86a4b526b897573553","root","0a4b269922de8ca240aaaa86a4b526b897573553-4b5074c4dd5c9330fcc96dfdd2e4ec1480a383da"
