"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Sequestration","-0.186","","","","","1dd7cc14ea61939aa6bb69e98d22cad1dbf94652-1-0a1da4ad4d9c6af411405e66973d642e7d55e5ca","1dd7cc14ea61939aa6bb69e98d22cad1dbf94652","root","1dd7cc14ea61939aa6bb69e98d22cad1dbf94652-cb54d77d8833462b160a4258224dc7bae4fe3e72"
"Adjustments to Budget Years","1.256","-0.013","-13.071","-13.071","","1e4b0ceceaad4bdb6bafff7f24d7944136e42629-0-1067b2135671f5d54502750907c4e2dcda096743","1e4b0ceceaad4bdb6bafff7f24d7944136e42629","root","1e4b0ceceaad4bdb6bafff7f24d7944136e42629-0f5372f338fb3c4d53174fd61e4b1186fb636356"
"Program Adjustments","0.000","0.000","-24.400","-24.400","","1e4f3c6bc43661226e86327a30b84d167000dbba-0-ea6efb02b3c094c8e0365e5675decc3117d76291","1e4f3c6bc43661226e86327a30b84d167000dbba","root","1e4f3c6bc43661226e86327a30b84d167000dbba-cf6eb23f1ae517d7254da765b564b1562754d3bf"
"Rate/Misc Adjustments","-0.001","0.000","-2.444","-2.444","","1e4f3c6bc43661226e86327a30b84d167000dbba-1-849fb3b633cfb5427fbb9e7649019d179887f4b0","1e4f3c6bc43661226e86327a30b84d167000dbba","root","1e4f3c6bc43661226e86327a30b84d167000dbba-cf6eb23f1ae517d7254da765b564b1562754d3bf"
"Congressional General Reductions Adjustments","-4.121","","","","","1e4f3c6bc43661226e86327a30b84d167000dbba-2-312db22e1aae715fb04efb41c9d1a780e59a7e74","1e4f3c6bc43661226e86327a30b84d167000dbba","root","1e4f3c6bc43661226e86327a30b84d167000dbba-cf6eb23f1ae517d7254da765b564b1562754d3bf"
"Congressional Directed Reductions Adjustments","-15.500","","","","","1e4f3c6bc43661226e86327a30b84d167000dbba-3-a3294fa03a2c8d6b115e0ec085d7319c06f5f6bc","1e4f3c6bc43661226e86327a30b84d167000dbba","root","1e4f3c6bc43661226e86327a30b84d167000dbba-cf6eb23f1ae517d7254da765b564b1562754d3bf"
"Other Adjustments","-0.426","","-4.100","-4.100","","1e98657258e61b73a1634b3088edf640fb33bc8e-0-d94853e69dbd2805672bce3fa6a6785da7400bad","1e98657258e61b73a1634b3088edf640fb33bc8e","root","1e98657258e61b73a1634b3088edf640fb33bc8e-37347d493f7325822b887489153b6193c24a1002"
"Other Adjustments","-44.245","0.000","39.613","39.613","","1f7a83ee9d35d0a42dafb0add196a0acfc9591aa-0-444834d24a21805fccd7c78d3df4ed6eb90020a1","1f7a83ee9d35d0a42dafb0add196a0acfc9591aa","root","1f7a83ee9d35d0a42dafb0add196a0acfc9591aa-662f2a91befbff5083774eedb2eb692434a46321"
"Adjustments to Balance","-0.098","-0.001","-0.004","-0.004","","1f84e5610c0b19ff2af075ea246caf283d91f3c5-0-5cabe5a4e32d82cc00f813dc3a1d844dd70b0d44","1f84e5610c0b19ff2af075ea246caf283d91f3c5","root","1f84e5610c0b19ff2af075ea246caf283d91f3c5-4acbf21c090d90815ca2343a689c7a7e4e19a884"
"Other Adjustments 2","","","-0.214","-0.214","","1f84e5610c0b19ff2af075ea246caf283d91f3c5-1-6ffc71f5fea254a13a72a2a346a4bd0a7805669a","1f84e5610c0b19ff2af075ea246caf283d91f3c5","root","1f84e5610c0b19ff2af075ea246caf283d91f3c5-4acbf21c090d90815ca2343a689c7a7e4e19a884"
"Rate/Misc Adjustments","0.000","0.000","-0.087","-0.087","","1fdc002366a8c3a558717925246c1c3dcd62af69-0-882106d7c2a35c3c2c540152f3d889b5a71906bb","1fdc002366a8c3a558717925246c1c3dcd62af69","root","1fdc002366a8c3a558717925246c1c3dcd62af69-9de677750c3d8e18a2d8098a5554fab7b2357fce"
"Congressional General Reductions Adjustments","-0.126","","","","","1fdc002366a8c3a558717925246c1c3dcd62af69-1-9c4eb3e504a31d0e3d0a7cd7e8420ababa729cb3","1fdc002366a8c3a558717925246c1c3dcd62af69","root","1fdc002366a8c3a558717925246c1c3dcd62af69-9de677750c3d8e18a2d8098a5554fab7b2357fce"
"Adjustments to Budget Years","","","-1.118","-1.118","","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9-0-a0c0be3a9490833d09ad5850adc1f27c35e4c07b","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9","root","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9-2a74e5d74c0164dab746e4c3e598f377f4780bc0"
"Other Adjustments","-1.400","","","","","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9-1-48f6f2a647c4b336ce1cf4084d035fafa5b5ae60","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9","root","206a09781d9c9072e85c4e0cd4e7f0dd0960c7f9-2a74e5d74c0164dab746e4c3e598f377f4780bc0"
"Other Adjustments","-11.518","0.000","-164.362","-164.362","","20f3a4ff757ecbb53f341a1c96acf47366817f08-0-c0487790a0227a04081cdac407451104515722d2","20f3a4ff757ecbb53f341a1c96acf47366817f08","root","20f3a4ff757ecbb53f341a1c96acf47366817f08-b9361eade76051cdc165e350a1eec28f2b542fd0"
"Adjustments to Budget Years","","","-0.430","-0.430","","2122821b3afa179f56ba2eb827b4134162daf073-0-914b319c4910d2f0ad7da5dfa75867c439621341","2122821b3afa179f56ba2eb827b4134162daf073","root","2122821b3afa179f56ba2eb827b4134162daf073-536ba596c472d0913556469ea72d98d3266a870c"
"Other Adjustments","-0.131","","","","","2122821b3afa179f56ba2eb827b4134162daf073-1-8520de997db6c6719a5a305a4cbb9651bca73b98","2122821b3afa179f56ba2eb827b4134162daf073","root","2122821b3afa179f56ba2eb827b4134162daf073-536ba596c472d0913556469ea72d98d3266a870c"
"Adjustments to Budget Years","","-23.006","-57.692","-57.692","","216febd7c48fa1ffa489e166c7f00b9033f846ad-0-d01c6bc55a19ee06ef4f50ba4725d12bd0076f7d","216febd7c48fa1ffa489e166c7f00b9033f846ad","root","216febd7c48fa1ffa489e166c7f00b9033f846ad-cdc991c2154bffd3afed988b25a43aa8967f1f51"
"Other Adjustments","-0.586","0.000","-17.224","-17.224","","21e8b853a3c3eb34f427eceaa5a9f9e4f9f9f1bd-0-d21c3c846350e025c4fe3265fe27b33014a32ea8","21e8b853a3c3eb34f427eceaa5a9f9e4f9f9f1bd","root","21e8b853a3c3eb34f427eceaa5a9f9e4f9f9f1bd-abc59096cba4c73d4a43585acdc699dfcdc758b7"
"Adjustments to Budget Years","","","0.003","0.003","","22212d11f9e54bf64f2b298c0905a4a0392cd214-0-c0aa96e737edcf611b1b1abe0229d5ed0b458cb7","22212d11f9e54bf64f2b298c0905a4a0392cd214","root","22212d11f9e54bf64f2b298c0905a4a0392cd214-a679868b302cc12c656edcf455cf5e864d81e271"
"Sequestration","-0.354","","","","","22212d11f9e54bf64f2b298c0905a4a0392cd214-1-ac39194235a82731cba20e0ad2787b32a15a9b59","22212d11f9e54bf64f2b298c0905a4a0392cd214","root","22212d11f9e54bf64f2b298c0905a4a0392cd214-a679868b302cc12c656edcf455cf5e864d81e271"
"Other Adjustments","-0.589","0.000","0.000","0.000","","2236078776440b8118d6b0435fbc0e1a44fbd55d-0-1ef2d77bed753420d716ad5d815c78db9f9c355b","2236078776440b8118d6b0435fbc0e1a44fbd55d","root","2236078776440b8118d6b0435fbc0e1a44fbd55d-f8ce81aba390ed92957b85fdcf7d65651587dbc7"
"Other Program Adjustments","","","2.257","2.257","","23d754e6ece63ac1ff132fd68e41344db98a2e20-0-7376ffcfaa3ddbaad250a19705564bc20d81dea0","23d754e6ece63ac1ff132fd68e41344db98a2e20","root","23d754e6ece63ac1ff132fd68e41344db98a2e20-3573e8e8b89e26d37e6b7b249e9abb408af9488a"
"Program Adjustments","0.000","0.000","0.000","0.000","","23ee0fc91d5ab138dd5aa011cda16899b986375d-0-7eabe583425bb2a5f22aea2001147b8553335d11","23ee0fc91d5ab138dd5aa011cda16899b986375d","root","23ee0fc91d5ab138dd5aa011cda16899b986375d-d1e23c3df13a58c837d2f8fe2b6ce0fbce654937"
"Rate/Misc Adjustments","0.000","0.000","0.000","0.000","","23ee0fc91d5ab138dd5aa011cda16899b986375d-1-8e2a1fb2f107cf5f733946301e980db88d3199ef","23ee0fc91d5ab138dd5aa011cda16899b986375d","root","23ee0fc91d5ab138dd5aa011cda16899b986375d-d1e23c3df13a58c837d2f8fe2b6ce0fbce654937"
"Program Adjustments","0.000","0.000","-39.765","-39.765","","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-0-7b36fb051a3d3315439a6ad76630d1d93b6e9933","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7","root","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-bdded9459deae2d2930a15b8c2e7f8b5066a167c"
"Rate/Misc Adjustments","0.001","0.000","-20.184","-20.184","","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-1-0720e236d1812129e7f824570c2557d48045baf5","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7","root","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-bdded9459deae2d2930a15b8c2e7f8b5066a167c"
"Congressional General Reductions Adjustments","-15.796","","","","","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-2-9e65396b3c1bf2cf1bc4f1abc89025f96cec96ec","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7","root","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-bdded9459deae2d2930a15b8c2e7f8b5066a167c"
"Congressional Directed Reductions Adjustments","-2.000","","","","","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-3-d8519ce503337319a881f0ddd6eddab9ff8c1581","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7","root","2419bd4080a460b1ac2cb29ca5887a3898c0b8e7-bdded9459deae2d2930a15b8c2e7f8b5066a167c"
"Adjustments to Budget Years","-2.203","-0.015","-9.769","-9.769","","244ad72dcfb0633ef6b61d829b9c28a88b3d305a-0-40e46c7816121de64dc3b0e536fa89fd0366512e","244ad72dcfb0633ef6b61d829b9c28a88b3d305a","root","244ad72dcfb0633ef6b61d829b9c28a88b3d305a-1b348a982c637b9352a425abccdbd4be2839be25"
"Adjustments to Budget Years","","","9.930","9.930","","2471e3028c123ea1729393d0427d1095d64f356f-0-09d058ff7818ddbc00a4793ecaf9056e2b6ed96c","2471e3028c123ea1729393d0427d1095d64f356f","root","2471e3028c123ea1729393d0427d1095d64f356f-2f5a2664e6d7aae6b3027c628e963f4a18e5791b"
"Program Adjustments","0.000","0.000","0.278","0.278","","24751cb749fa7af3d721e1c63d4de0b922c8ad79-0-7b2f7c46a6314c02a089941766600077a5f78d49","24751cb749fa7af3d721e1c63d4de0b922c8ad79","root","24751cb749fa7af3d721e1c63d4de0b922c8ad79-b2a37a5ea1d5c3c6489522e1b91238473b86c6a2"
"Rate/Misc Adjustments","0.001","0.000","-0.023","-0.023","","24751cb749fa7af3d721e1c63d4de0b922c8ad79-1-485611bd3e1ac68eac875c450df3c2aaed41e71b","24751cb749fa7af3d721e1c63d4de0b922c8ad79","root","24751cb749fa7af3d721e1c63d4de0b922c8ad79-b2a37a5ea1d5c3c6489522e1b91238473b86c6a2"
"Congressional General Reductions Adjustments","-4.121","","","","","24751cb749fa7af3d721e1c63d4de0b922c8ad79-2-9a1452311442aa78fe1365e29f81787509b8e305","24751cb749fa7af3d721e1c63d4de0b922c8ad79","root","24751cb749fa7af3d721e1c63d4de0b922c8ad79-b2a37a5ea1d5c3c6489522e1b91238473b86c6a2"
"Program Adjustments","0.000","0.000","2.204","2.204","","24aea20b9bda96e1dc3f01be35024b9883bd958f-0-43e893ddc4d454e331ff999de5d30b72e02d13fb","24aea20b9bda96e1dc3f01be35024b9883bd958f","root","24aea20b9bda96e1dc3f01be35024b9883bd958f-a7fe82751754e9c545eee758ea25b5b9cbe7ea90"
"Rate/Misc Adjustments","0.000","0.000","0.254","0.254","","24aea20b9bda96e1dc3f01be35024b9883bd958f-1-4dc39eb3dcab353dcbed2d1235094684b2c30d5c","24aea20b9bda96e1dc3f01be35024b9883bd958f","root","24aea20b9bda96e1dc3f01be35024b9883bd958f-a7fe82751754e9c545eee758ea25b5b9cbe7ea90"
"Congressional General Reductions Adjustments","-0.169","","","","","24aea20b9bda96e1dc3f01be35024b9883bd958f-2-5984f837c41c0fad829288bea71c7156199ab28c","24aea20b9bda96e1dc3f01be35024b9883bd958f","root","24aea20b9bda96e1dc3f01be35024b9883bd958f-a7fe82751754e9c545eee758ea25b5b9cbe7ea90"
"Congressional Add Adjustments","9.000","","","","","24aea20b9bda96e1dc3f01be35024b9883bd958f-3-35efb081e44c51d9f09796f9efa582653f1e9896","24aea20b9bda96e1dc3f01be35024b9883bd958f","root","24aea20b9bda96e1dc3f01be35024b9883bd958f-a7fe82751754e9c545eee758ea25b5b9cbe7ea90"
"TotalOtherAdjustments","","","-11.500","-11.500","","24b55c731764981186d52425a680f0c6f8819b0c-0-1e7472ad43521c5478f6092e3642229722407ea0","24b55c731764981186d52425a680f0c6f8819b0c","root","24b55c731764981186d52425a680f0c6f8819b0c-3cc83091a5143d7ada49d7115c326a1119389fa3"
"Adjustments to Budget Years","","","-3.115","-3.115","","252a614c500b19b229ecb253d09e6b999dc4ec06-0-4524d7692f3075ad8cb06b30ae923f4425650622","252a614c500b19b229ecb253d09e6b999dc4ec06","root","252a614c500b19b229ecb253d09e6b999dc4ec06-c6484cd1f980b27d446f2588cfc0ece09abeaaa7"
"Other Adjustments","-0.430","","","","","252a614c500b19b229ecb253d09e6b999dc4ec06-1-ca791e436ce2c9b7d5c5df313cc41ae6597668b8","252a614c500b19b229ecb253d09e6b999dc4ec06","root","252a614c500b19b229ecb253d09e6b999dc4ec06-c6484cd1f980b27d446f2588cfc0ece09abeaaa7"
"Program Change","-0.823","","-0.007","-0.007","","25587274b40efd9fbb882b25842e94667343aacb-0-3d1fa2ae9bdd7fbc26e1a05469f1a8c90ab3051c","25587274b40efd9fbb882b25842e94667343aacb","root","25587274b40efd9fbb882b25842e94667343aacb-107b1a9dba4745710289adfd50cef1c334a4bd4a"
"Strategic Efficiency Reduction","","","-1.413","-1.413","","256430a066e86998e7a0b6c949a9ba0f6a6ebadc-0-39dc70d4bd6a08e74b2be3086fd168fa8e7f4cac","256430a066e86998e7a0b6c949a9ba0f6a6ebadc","root","256430a066e86998e7a0b6c949a9ba0f6a6ebadc-8d3e933bf504d0638fdc148ed4ffcfd5f8f8faf7"
"Other Adjustments","0.000","0.000","-58.909","-58.909","","258b8ed03e0c9069fceb027acd8adf7d5507ac50-0-208585825393422374beb158e8fffca23c03f818","258b8ed03e0c9069fceb027acd8adf7d5507ac50","root","258b8ed03e0c9069fceb027acd8adf7d5507ac50-a71bc1bcebe35ac7472ca0be4708320aa111450c"
"Rate/Misc Adjustments","0.001","0.000","-2.420","-2.420","","26239c4356e9eb87ccb232d3635fa652d1ceab05-0-3f2bf0e5b17f1eb19fff94c63921b423a170b8a0","26239c4356e9eb87ccb232d3635fa652d1ceab05","root","26239c4356e9eb87ccb232d3635fa652d1ceab05-f12cb30d057c16300e7fc6b30face4faa914db80"
"Congressional General Reductions Adjustments","-3.882","","","","","26239c4356e9eb87ccb232d3635fa652d1ceab05-1-e4c7c41dc73c765172e6f01769c20cf3c193be1d","26239c4356e9eb87ccb232d3635fa652d1ceab05","root","26239c4356e9eb87ccb232d3635fa652d1ceab05-f12cb30d057c16300e7fc6b30face4faa914db80"
"Other Adjustments","-6.762","0.000","-2.277","-2.277","","265b57e323dcc85560fb7e2e3dea2d15f9b5c2df-0-be656267b08514375e4fc3f3099c971389cec7fd","265b57e323dcc85560fb7e2e3dea2d15f9b5c2df","root","265b57e323dcc85560fb7e2e3dea2d15f9b5c2df-07451cb8c8c97d9918f7c3b1a11c2c69f83866e4"
"Other Adjustments","-11.894","0.000","-24.165","-24.165","","26cc8b138526c4a2615b3d1f8baf6efe09e754ef-0-6ac0dfaed32981cd1574fb3e66d7a2cf3f730517","26cc8b138526c4a2615b3d1f8baf6efe09e754ef","root","26cc8b138526c4a2615b3d1f8baf6efe09e754ef-544b6a89e956943e2082505a6c1888e43c8c10f1"
"Program Adjustments","0.000","0.000","7.730","7.730","","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-0-58c856c660b21c382a1907e9eb96bf000db834de","26f046506e253c9e7c2d3072ce8dacefb0d5e90c","root","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-368ebf68ec260d6477b630224f03ccfc616c8724"
"Rate/Misc Adjustments","0.000","0.000","-0.403","-0.403","","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-1-32e9b5904833a97d050e68d272ec046166190192","26f046506e253c9e7c2d3072ce8dacefb0d5e90c","root","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-368ebf68ec260d6477b630224f03ccfc616c8724"
"Congressional General Reductions Adjustments","-0.059","","","","","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-2-0ab2ff458189870fce4c7596b1b339dc0aba685f","26f046506e253c9e7c2d3072ce8dacefb0d5e90c","root","26f046506e253c9e7c2d3072ce8dacefb0d5e90c-368ebf68ec260d6477b630224f03ccfc616c8724"
"Rate/Misc Adjustments","0.000","0.000","-0.602","-0.602","","26fcb2648600760c6818fa3effac1a079be57af7-0-502680a3a1772e463a7d1e83dd27c192677e3c9e","26fcb2648600760c6818fa3effac1a079be57af7","root","26fcb2648600760c6818fa3effac1a079be57af7-5c1d59d9586b3b0eb94f7a96fd48db0597d2b6b3"
"Congressional General Reductions Adjustments","-1.079","","","","","26fcb2648600760c6818fa3effac1a079be57af7-1-9f9048bcf0aae61f7030c70f834a007049cdec1a","26fcb2648600760c6818fa3effac1a079be57af7","root","26fcb2648600760c6818fa3effac1a079be57af7-5c1d59d9586b3b0eb94f7a96fd48db0597d2b6b3"
"Other Adjustments","0.000","0.000","85.938","85.938","","270858392f64582c0bae97098fcc3f82509f3e4c-0-1d7e591f93a2c4ce1ace562a8f90fceceb6ea9c4","270858392f64582c0bae97098fcc3f82509f3e4c","root","270858392f64582c0bae97098fcc3f82509f3e4c-d93af07d63d4539bcef51f3986ea3e898ec43108"
"Sequestration","-0.316","","","","","279c9cc66de01ec7aef66e153db3f87971596da6-0-efcc20f528440807e8cba7ef59fa611f849640a7","279c9cc66de01ec7aef66e153db3f87971596da6","root","279c9cc66de01ec7aef66e153db3f87971596da6-2818500c606c27bddcbe3b1f22107086eb006853"
"Other Program Reduction","","","-5.031","-5.031","","279c9cc66de01ec7aef66e153db3f87971596da6-1-74ec3b973db71372d667d656fc30e2343661e67d","279c9cc66de01ec7aef66e153db3f87971596da6","root","279c9cc66de01ec7aef66e153db3f87971596da6-2818500c606c27bddcbe3b1f22107086eb006853"
"Other Adjustments 1","","","5.425","5.425","","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-0-bc27925ea777541159bb021b50fd20aec4eda59c","27d710a8f513861da3f64eb0c7c97d7b67d1ad67","root","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-94d65d245da98c9d3d04711d51bab50ac8488559"
"Other Adjustments 2","","","15.441","15.441","","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-1-3bee5762018a8d99c12f5386a11d8e52089f03cd","27d710a8f513861da3f64eb0c7c97d7b67d1ad67","root","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-94d65d245da98c9d3d04711d51bab50ac8488559"
"Other Adjustments 3","","","3.505","3.505","","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-2-bf9825f3735ed431bdc021acc2487ddf344fc03c","27d710a8f513861da3f64eb0c7c97d7b67d1ad67","root","27d710a8f513861da3f64eb0c7c97d7b67d1ad67-94d65d245da98c9d3d04711d51bab50ac8488559"
"Program Adjustment","-0.513","","","","","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-0-961babf14e07c95f54ef10134207939ca31ed480","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a","root","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-233ea5cc2b5befd0781dd8badd520db3d02f4e4d"
"FFRDC","","-0.011","","","","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-1-5c8713a227e54de684ab57dfa88f48de5a493d74","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a","root","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-233ea5cc2b5befd0781dd8badd520db3d02f4e4d"
"Efficiency Reduction Adjustments","","","-0.273","-0.273","","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-2-2ba207dd8f15757e23ba5c838cd5af945868e12f","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a","root","27e8e54f27e2c7f73fd4086cda80fd91aa8c0c3a-233ea5cc2b5befd0781dd8badd520db3d02f4e4d"
"Other Adjustments","-5.902","0.000","-1.955","-1.955","","280a6940ed2309a16bee44c109365aa4318298ac-0-c69d406ad33997f8a437c85513d52f3b3d408f77","280a6940ed2309a16bee44c109365aa4318298ac","root","280a6940ed2309a16bee44c109365aa4318298ac-a599444d4e74fd856e972cebab12198d58d9da46"
"Rate/Misc Adjustments","0.000","0.000","-0.008","-0.008","","283b6ae2786df39e9474de36e13dc10f924bd005-0-35f03d3cd2f4cfcf4ee566491c044b11757b6298","283b6ae2786df39e9474de36e13dc10f924bd005","root","283b6ae2786df39e9474de36e13dc10f924bd005-53c6987a106c4fd0fd907e7e39791e0fe1cd8259"
"Congressional General Reductions Adjustments","-0.610","","","","","283b6ae2786df39e9474de36e13dc10f924bd005-1-bbd333ca62b8990b99f83ee48e33cf32e4955365","283b6ae2786df39e9474de36e13dc10f924bd005","root","283b6ae2786df39e9474de36e13dc10f924bd005-53c6987a106c4fd0fd907e7e39791e0fe1cd8259"
"Congressional Directed Reductions Adjustments","-1.500","","","","","283b6ae2786df39e9474de36e13dc10f924bd005-2-e10818a7bf469c67fcf1de7656106fcb3cbc7513","283b6ae2786df39e9474de36e13dc10f924bd005","root","283b6ae2786df39e9474de36e13dc10f924bd005-53c6987a106c4fd0fd907e7e39791e0fe1cd8259"
"Other Adjustments","0.000","0.000","73.088","73.088","","286a27be9d873d83ab65f0d3bad8de2ccc622b58-0-757478ddd3b5d2123c17999d6a6c63f967561946","286a27be9d873d83ab65f0d3bad8de2ccc622b58","root","286a27be9d873d83ab65f0d3bad8de2ccc622b58-a127113593f4adaf9c955309ab21c9eb4b9fbef8"
"Other Adjustments 1","-23.493","-30.010","-9.062","-9.062","","28764b46377aff42109d73616e5083d16e76a044-0-e2e1d5585eeff4b018dbb168df2c8695a988c752","28764b46377aff42109d73616e5083d16e76a044","root","28764b46377aff42109d73616e5083d16e76a044-f229658676f9c3c25fb6b985502ef6319a416003"
"Other Adjustments 2","","","-3.704","-3.704","","28764b46377aff42109d73616e5083d16e76a044-1-3ad4943f269d4d7d730ac81a2cff69bf14840d45","28764b46377aff42109d73616e5083d16e76a044","root","28764b46377aff42109d73616e5083d16e76a044-f229658676f9c3c25fb6b985502ef6319a416003"
"Program Adjustments","0.000","0.000","-2.012","-2.012","","297863f00153435af03e857d0e4f1d8168b2859e-0-0d76906385a64be220945106c7929fd96197d147","297863f00153435af03e857d0e4f1d8168b2859e","root","297863f00153435af03e857d0e4f1d8168b2859e-4f25dc16e5a7b9ee0925b4ecdf2b7005e4e9b632"
"Rate/Misc Adjustments","0.000","0.000","-0.015","-0.015","","297863f00153435af03e857d0e4f1d8168b2859e-1-4343f90f3a6b9fbc1c6bd045f05c854a37abda10","297863f00153435af03e857d0e4f1d8168b2859e","root","297863f00153435af03e857d0e4f1d8168b2859e-4f25dc16e5a7b9ee0925b4ecdf2b7005e4e9b632"
"Congressional General Reductions Adjustments","-3.719","","","","","297863f00153435af03e857d0e4f1d8168b2859e-2-8d0148b21326df804ecf5f4f099b1ddba380d047","297863f00153435af03e857d0e4f1d8168b2859e","root","297863f00153435af03e857d0e4f1d8168b2859e-4f25dc16e5a7b9ee0925b4ecdf2b7005e4e9b632"
"Other Adjustments","0.000","0.000","0.022","0.022","","2a1e3597e9161b052c134a49e8d5e8167d75b89b-0-a2babdca74745ecd7e4bd759d42fc3971369a0c1","2a1e3597e9161b052c134a49e8d5e8167d75b89b","root","2a1e3597e9161b052c134a49e8d5e8167d75b89b-9626597f4af500db24651729c4105d98612d6f3d"
"Other Adjustment","-1.894","0.000","0.000","0.000","","2a3d2b42f2e4e795fdb75f0d1f535d963fdefc21-0-2f468a97f7b4b8f67dae13c942fc4901dd64054c","2a3d2b42f2e4e795fdb75f0d1f535d963fdefc21","root","2a3d2b42f2e4e795fdb75f0d1f535d963fdefc21-abf9a408eac632be63f4860c542d03039cea1ec3"
"Adjustments to Budget Years","","-0.033","3.548","3.548","","2a611e018a323e928479dd18257442a47b3bea38-0-64401f961077b348a7540d17ede07e31426f68e1","2a611e018a323e928479dd18257442a47b3bea38","root","2a611e018a323e928479dd18257442a47b3bea38-c0f592f8f0b8020eb1d107efadd99734bc52dad4"
"Other Adjustments","0.000","","","","","2abac4233a681cf6fecb8a22ce7d5139ebe98dc8-0-2bc1ea16831f8d88b2d932ad515777c50b2dcac8","2abac4233a681cf6fecb8a22ce7d5139ebe98dc8","root","2abac4233a681cf6fecb8a22ce7d5139ebe98dc8-3fd6b02d1316e721213f1a1e75ab4fc63239546b"
"Other Adjustment","0.000","0.000","45.110","45.110","","2b13268d7e84e8ede4aed904f25630657b773131-0-07443472fdda1cb2c16e3dbe3672cd376df7e2c8","2b13268d7e84e8ede4aed904f25630657b773131","root","2b13268d7e84e8ede4aed904f25630657b773131-3e0198819a667c5ba765ed1bcd41586a8f1a743b"
"Rate/Misc Adjustments","0.000","0.000","-0.001","-0.001","","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79-0-669aac3479019c8308409a792b8d7e585dbbe87e","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79","root","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79-9a600207d060dca8d6086d7d4e54e06d92df1430"
"Congressional General Reductions Adjustments","-0.239","","","","","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79-1-667c2f99ba478ce90187f0a808d68a0264042f25","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79","root","2c2bdfee8783ddb6ea29f5e885f27255f31a7d79-9a600207d060dca8d6086d7d4e54e06d92df1430"
"Program Adjustments","0.000","0.000","76.780","76.780","","2df94aad93b117ea6d659cea3576bde1e0212b8e-0-f6056e22dbfadd7f626bb23251f67d7baca7e109","2df94aad93b117ea6d659cea3576bde1e0212b8e","root","2df94aad93b117ea6d659cea3576bde1e0212b8e-b34176db8c8ed3a5fb0b1719a2f1d75d0eeb08e6"
"Rate/Misc Adjustments","0.000","0.000","35.538","35.538","","2df94aad93b117ea6d659cea3576bde1e0212b8e-1-ff7e0a9089649748f71aea55aedde0de8cb85c55","2df94aad93b117ea6d659cea3576bde1e0212b8e","root","2df94aad93b117ea6d659cea3576bde1e0212b8e-b34176db8c8ed3a5fb0b1719a2f1d75d0eeb08e6"
"Congressional General Reductions Adjustments","-27.165","","","","","2df94aad93b117ea6d659cea3576bde1e0212b8e-2-8fb3f63c778d399b821df88b019a86ae0a5417f2","2df94aad93b117ea6d659cea3576bde1e0212b8e","root","2df94aad93b117ea6d659cea3576bde1e0212b8e-b34176db8c8ed3a5fb0b1719a2f1d75d0eeb08e6"
"Efficiency Reduction","","","-2.125","-2.125","","2e2f37b43afd5ad8dc44d363afe0422528e49e90-0-7ccde864b3560d48b06202c696338cff93906f8f","2e2f37b43afd5ad8dc44d363afe0422528e49e90","root","2e2f37b43afd5ad8dc44d363afe0422528e49e90-b002f422f02bd7ad3e96fd002e30c1f41295acd5"
